* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 12, 2022 1:01:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRI iOne MP L
* Measurement: TRI iOne MP L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.807	14.7861
20.299999	102.812	14.1728
20.600000	102.817	13.5626
20.900000	102.821	12.9537
21.200001	102.822	12.3500
21.400000	102.821	11.9550
21.799999	102.817	11.1888
22.000000	102.814	10.8193
22.400000	102.809	10.1053
22.700001	102.806	9.5840
23.000000	102.803	9.0668
23.299999	102.801	8.5497
23.600000	102.798	8.0328
24.000000	102.791	7.3488
24.299999	102.785	6.8452
24.700001	102.775	6.1907
25.000000	102.767	5.7126
25.400000	102.757	5.0891
25.799999	102.746	4.4771
26.200001	102.734	3.8754
26.500000	102.725	3.4327
26.900000	102.711	2.8569
27.200001	102.701	2.4371
27.600000	102.688	1.8920
28.000000	102.674	1.3599
28.500000	102.659	0.7050
29.000000	102.643	0.0569
29.500000	102.625	-0.5824
30.000000	102.606	-1.2087
30.400000	102.590	-1.6996
30.700001	102.578	-2.0630
31.100000	102.562	-2.5432
31.500000	102.546	-3.0200
32.000000	102.524	-3.6110
32.500000	102.500	-4.1931
33.000000	102.476	-4.7628
33.500000	102.450	-5.3192
34.000000	102.424	-5.8632
34.500000	102.398	-6.3964
35.000000	102.371	-6.9193
35.500000	102.344	-7.4320
36.000000	102.316	-7.9342
36.500000	102.288	-8.4252
37.000000	102.259	-8.9039
37.500000	102.230	-9.3707
38.200001	102.190	-10.0073
38.700001	102.160	-10.4526
39.500000	102.113	-11.1488
40.000000	102.082	-11.5731
40.599998	102.045	-12.0726
41.200001	102.008	-12.5635
41.799999	101.970	-13.0438
42.500000	101.924	-13.5851
43.099998	101.885	-14.0329
43.700001	101.847	-14.4719
44.400002	101.803	-14.9791
45.000000	101.765	-15.4088
45.500000	101.733	-15.7614
46.200001	101.687	-16.2461
46.799999	101.648	-16.6540
47.500000	101.601	-17.1203
48.200001	101.554	-17.5758
48.700001	101.520	-17.8950
49.400002	101.472	-18.3312
50.000000	101.429	-18.6888
50.799999	101.373	-19.1370
51.500000	101.327	-19.5128
52.200001	101.281	-19.8856
53.000000	101.229	-20.3061
53.799999	101.175	-20.7073
54.500000	101.129	-21.0390
55.200001	101.085	-21.3569
56.000000	101.037	-21.7130
57.000000	100.981	-22.1649
58.000000	100.927	-22.6360
59.000000	100.871	-23.1234
60.000000	100.811	-23.6112
60.799999	100.761	-23.9893
61.500000	100.717	-24.3110
62.200001	100.673	-24.6279
63.000000	100.622	-24.9854
64.000000	100.554	-25.4188
65.000000	100.485	-25.8265
66.000000	100.415	-26.2054
67.000000	100.346	-26.5562
68.000000	100.279	-26.8867
69.000000	100.215	-27.2130
70.000000	100.151	-27.5348
71.000000	100.089	-27.8389
