* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 12, 2022 12:38:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRI iOne R
* Measurement: TRI iOne R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.076	-164.3761
20.299999	103.081	-164.9956
20.600000	103.084	-165.6068
20.900000	103.087	-166.2088
21.200001	103.088	-166.7997
21.400000	103.089	-167.1863
21.799999	103.088	-167.9413
22.000000	103.087	-168.3098
22.400000	103.084	-169.0302
22.700001	103.082	-169.5585
23.000000	103.080	-170.0786
23.299999	103.077	-170.5913
23.600000	103.073	-171.0962
24.000000	103.067	-171.7555
24.299999	103.062	-172.2379
24.700001	103.054	-172.8645
25.000000	103.047	-173.3234
25.400000	103.039	-173.9241
25.799999	103.031	-174.5163
26.200001	103.021	-175.1021
26.500000	103.013	-175.5361
26.900000	103.001	-176.1047
27.200001	102.991	-176.5218
27.600000	102.978	-177.0645
28.000000	102.964	-177.5937
28.500000	102.946	-178.2413
29.000000	102.929	-178.8777
29.500000	102.911	-179.5034
30.000000	102.892	179.8826
30.400000	102.876	179.3994
30.700001	102.865	179.0410
31.100000	102.849	178.5678
31.500000	102.832	178.1000
32.000000	102.810	177.5245
32.500000	102.787	176.9607
33.000000	102.764	176.4091
33.500000	102.739	175.8694
34.000000	102.713	175.3423
34.500000	102.687	174.8292
35.000000	102.660	174.3294
35.500000	102.633	173.8401
36.000000	102.605	173.3600
36.500000	102.576	172.8908
37.000000	102.546	172.4359
37.500000	102.515	171.9968
38.200001	102.470	171.4113
38.700001	102.438	171.0173
39.500000	102.390	170.4305
40.000000	102.363	170.0793
40.599998	102.335	169.6533
41.200001	102.309	169.2112
41.799999	102.283	168.7567
42.500000	102.250	168.2205
43.099998	102.221	167.7591
43.700001	102.190	167.2987
44.400002	102.151	166.7698
45.000000	102.117	166.3260
45.500000	102.087	165.9606
46.200001	102.044	165.4567
46.799999	102.004	165.0408
47.500000	101.956	164.5829
48.200001	101.909	164.1447
48.700001	101.876	163.8350
49.400002	101.829	163.4060
50.000000	101.787	163.0523
50.799999	101.733	162.6051
51.500000	101.686	162.2220
52.200001	101.639	161.8379
53.000000	101.581	161.4153
53.799999	101.519	161.0377
54.500000	101.466	160.7485
55.200001	101.416	160.4890
56.000000	101.362	160.2182
57.000000	101.302	159.8996
58.000000	101.250	159.5691
59.000000	101.204	159.2076
60.000000	101.160	158.8115
60.799999	101.127	158.4651
61.500000	101.096	158.1435
62.200001	101.063	157.8135
63.000000	101.023	157.4370
64.000000	100.970	156.9772
65.000000	100.914	156.5328
66.000000	100.855	156.1074
67.000000	100.793	155.7091
68.000000	100.731	155.3446
69.000000	100.670	155.0113
70.000000	100.611	154.6984
71.000000	100.554	154.3934
72.000000	100.498	154.0852
