* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 6:00:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN BA5
* Measurement: Jun 24 18:00:40
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	75.174	26.737
20.586	75.185	26.381
20.885	75.199	26.130
21.189	75.195	25.897
21.497	75.197	25.636
21.810	75.216	25.321
22.127	75.232	24.948
22.449	75.233	24.535
22.776	75.231	24.109
23.107	75.231	23.697
23.443	75.227	23.308
23.784	75.229	22.931
24.130	75.241	22.545
24.481	75.263	22.136
24.837	75.282	21.699
25.198	75.287	21.245
25.565	75.299	20.790
25.937	75.319	20.345
26.314	75.336	19.917
26.697	75.359	19.503
27.085	75.374	19.103
27.479	75.372	18.719
27.879	75.381	18.357
28.284	75.379	18.020
28.696	75.383	17.706
29.113	75.399	17.405
29.537	75.405	17.105
29.966	75.409	16.794
30.402	75.408	16.467
30.844	75.412	16.126
31.293	75.427	15.772
31.748	75.434	15.408
32.210	75.436	15.038
32.678	75.416	14.670
33.154	75.415	14.303
33.636	75.431	13.926
34.125	75.441	13.523
34.621	75.453	13.102
35.125	75.462	12.695
35.636	75.471	12.324
36.154	75.493	11.978
36.680	75.521	11.625
37.214	75.540	11.266
37.755	75.538	10.942
38.304	75.526	10.678
38.861	75.524	10.442
39.427	75.507	10.175
40.000	75.488	9.853
40.582	75.495	9.496
41.172	75.495	9.141
41.771	75.483	8.809
42.379	75.477	8.502
42.995	75.488	8.200
43.620	75.507	7.884
44.255	75.516	7.560
44.898	75.517	7.237
45.552	75.513	6.916
46.214	75.514	6.613
46.886	75.514	6.342
47.568	75.508	6.071
48.260	75.500	5.792
48.962	75.479	5.530
49.674	75.455	5.244
50.397	75.449	4.916
51.130	75.449	4.653
51.874	75.467	4.451
52.628	75.491	4.123
53.394	75.474	3.705
54.170	75.451	3.423
54.958	75.461	3.217
55.758	75.473	2.925
56.569	75.475	2.634
57.391	75.481	2.389
58.226	75.484	2.094
59.073	75.483	1.758
59.932	75.483	1.431
60.804	75.473	1.151
61.688	75.463	0.869
62.586	75.458	0.531
63.496	75.454	0.230
64.420	75.450	-0.038
65.357	75.441	-0.319
66.307	75.424	-0.643
67.272	75.414	-0.906
68.250	75.415	-1.165
69.243	75.408	-1.330
70.250	75.423	-1.566
71.272	75.385	-1.891
72.309	75.379	-1.962
73.360	75.350	-2.575
74.427	75.284	-2.463
75.510	75.336	-2.577
76.608	75.287	-2.935
77.723	75.325	-2.800
78.853	75.412	-3.513
80.000	75.399	-4.168
81.164	75.436	-4.740
82.344	75.369	-5.296
83.542	75.398	-5.085
84.757	75.444	-5.750
85.990	75.372	-6.171
87.241	75.301	-6.095
88.510	75.266	-6.328
89.797	75.211	-6.482
91.103	75.150	-7.139
92.428	75.120	-6.876
93.773	75.199	-7.416
95.137	75.178	-7.659
96.520	75.203	-7.607
97.924	75.161	-7.946
99.349	75.106	-7.668
100.794	75.026	-8.039
102.260	75.145	-8.114
103.747	75.004	-9.307
105.256	75.099	-8.653
106.787	75.079	-9.157
108.340	75.035	-9.622
109.916	74.992	-10.105
111.515	74.970	-10.646
113.137	74.980	-10.581
114.783	74.892	-10.404
116.452	74.823	-10.802
