* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 17, 2021 9:06:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN CS2
* Measurement: edx L Oct 17
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.6	48.9499
20.299999	100.7	48.1680
20.600000	100.7	47.3766
20.900000	100.8	46.5760
21.200001	100.8	45.7754
21.400000	100.8	45.2516
21.799999	100.9	44.2456
22.000000	100.9	43.7703
22.400000	100.9	42.8795
22.700001	101.0	42.2522
23.000000	101.0	41.6412
23.299999	101.0	41.0297
23.600000	101.1	40.4098
24.000000	101.1	39.5714
24.299999	101.2	38.9471
24.700001	101.2	38.1444
25.000000	101.2	37.5762
25.400000	101.2	36.8629
25.799999	101.3	36.1786
26.200001	101.3	35.4913
26.500000	101.3	34.9602
26.900000	101.4	34.2280
27.200001	101.4	33.6683
27.600000	101.4	32.9241
28.000000	101.4	32.1992
28.500000	101.5	31.3305
29.000000	101.5	30.4945
29.500000	101.5	29.6782
30.000000	101.5	28.8792
30.400000	101.5	28.2568
30.700001	101.6	27.8013
31.100000	101.6	27.2072
31.500000	101.6	26.6235
32.000000	101.6	25.9015
32.500000	101.6	25.1864
33.000000	101.6	24.4830
33.500000	101.7	23.7957
34.000000	101.7	23.1256
34.500000	101.7	22.4722
35.000000	101.7	21.8339
35.500000	101.7	21.2062
36.000000	101.7	20.5841
36.500000	101.7	19.9706
37.000000	101.7	19.3812
37.500000	101.7	18.8292
38.200001	101.7	18.1005
38.700001	101.7	17.5705
39.500000	101.7	16.6541
40.000000	101.7	16.0641
40.599998	101.7	15.3828
41.200001	101.7	14.7455
41.799999	101.7	14.1384
42.500000	101.7	13.4489
43.099998	101.7	12.8663
43.700001	101.7	12.2860
44.400002	101.7	11.6088
45.000000	101.7	11.0289
45.500000	101.6	10.5491
46.200001	101.6	9.8970
46.799999	101.6	9.3776
47.500000	101.6	8.8251
48.200001	101.6	8.2955
48.700001	101.6	7.9074
49.400002	101.6	7.3435
50.000000	101.6	6.8555
50.799999	101.6	6.2226
51.500000	101.5	5.7006
52.200001	101.5	5.2150
53.000000	101.5	4.6970
53.799999	101.5	4.2051
54.500000	101.5	3.7938
55.200001	101.4	3.3952
56.000000	101.4	2.9306
57.000000	101.4	2.2943
58.000000	101.4	1.5877
59.000000	101.4	0.8475
60.000000	101.3	0.1357
60.799999	101.3	-0.3845
61.500000	101.3	-0.7977
62.200001	101.2	-1.1631
63.000000	101.2	-1.5163
64.000000	101.1	-1.8796
65.000000	101.1	-2.1754
66.000000	101.1	-2.4091
67.000000	101.0	-2.5936
68.000000	101.0	-2.7856
69.000000	100.9	-3.0866
70.000000	100.9	-3.5082
71.000000	100.9	-4.0317
72.000000	100.9	-4.6219
73.000000	100.9	-5.1577
74.000000	100.9	-5.6273
75.000000	100.9	-6.1113
76.199997	100.9	-6.7007
77.500000	100.8	-7.2852
78.800003	100.8	-7.8309
80.000000	100.8	-8.3524
81.199997	100.7	-8.9104
82.500000	100.7	-9.5254
83.800003	100.6	-10.1119
85.000000	100.6	-10.6298
86.199997	100.6	-11.1227
87.500000	100.5	-11.6124
88.500000	100.5	-11.9608
90.000000	100.4	-12.4529
91.199997	100.3	-12.8306
92.500000	100.3	-13.2305
93.800003	100.2	-13.6152
95.000000	100.2	-13.9507
96.199997	100.1	-14.2669
97.500000	100.1	-14.5928
98.800003	100.0	-14.9093
100.000000	100.0	-15.1962
101.500000	99.9	-15.5439
103.000000	99.9	-15.8771
104.400002	99.8	-16.1789
106.000000	99.8	-16.5157
107.500000	99.7	-16.8221
109.000000	99.6	-17.1227
110.599998	99.6	-17.4468
112.000000	99.5	-17.7380
113.800003	99.5	-18.1010
115.000000	99.4	-18.3038
117.199997	99.3	-18.5425
118.000000	99.3	-18.5977
120.599998	99.2	-18.7769
122.000000	99.2	-18.8753
124.099998	99.1	-19.0287
125.000000	99.0	-19.1141
126.500000	99.0	-19.2905
128.000000	99.0	-19.4971
131.500000	98.9	-20.0204
132.000000	98.8	-20.0973
134.000000	98.8	-20.4085
136.000000	98.7	-20.7151
138.000000	98.6	-20.9945
140.000000	98.6	-21.2312
143.000000	98.4	-21.5112
145.000000	98.4	-21.6622
147.500000	98.3	-21.8154
150.000000	98.2	-21.9158
152.500000	98.1	-21.9510
155.000000	98.0	-21.9368
157.500000	97.9	-21.9145
160.000000	97.9	-21.9310
162.500000	97.8	-22.0081
165.000000	97.7	-22.1309
167.500000	97.7	-22.2633
170.000000	97.6	-22.3726
172.500000	97.5	-22.4512
175.000000	97.5	-22.5170
177.500000	97.4	-22.5902
180.000000	97.3	-22.6777
182.500000	97.3	-22.7762
185.000000	97.2	-22.8774
187.500000	97.1	-22.9728
190.000000	97.1	-23.0589
192.500000	97.0	-23.1343
195.000000	96.9	-23.1949
197.500000	96.9	-23.2345
200.000000	96.8	-23.2472
203.000000	96.7	-23.2299
206.000000	96.6	-23.2015
209.000000	96.6	-23.1869
212.000000	96.5	-23.1813
214.000000	96.4	-23.1680
218.000000	96.3	-23.0820
220.000000	96.3	-23.0090
224.000000	96.2	-22.8463
227.000000	96.1	-22.7363
230.000000	96.0	-22.6370
233.000000	96.0	-22.5413
236.000000	95.9	-22.4486
240.000000	95.8	-22.3303
243.000000	95.7	-22.2368
