* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 28, 2021 7:46:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Yinyoo IM2
* Measurement: Jun 28 19:46:28
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	79.249	29.362
20.586	79.274	28.818
20.885	79.298	28.360
21.189	79.299	27.913
21.497	79.304	27.453
21.810	79.323	26.965
22.127	79.341	26.442
22.449	79.349	25.888
22.776	79.358	25.313
23.107	79.373	24.728
23.443	79.382	24.137
23.784	79.396	23.534
24.130	79.416	22.912
24.481	79.440	22.273
24.837	79.459	21.626
25.198	79.463	20.985
25.565	79.474	20.363
25.937	79.495	19.761
26.314	79.514	19.173
26.697	79.540	18.592
27.085	79.556	18.017
27.479	79.555	17.455
27.879	79.564	16.916
28.284	79.562	16.399
28.696	79.566	15.898
29.113	79.581	15.398
29.537	79.585	14.891
29.966	79.586	14.373
30.402	79.581	13.845
30.844	79.580	13.306
31.293	79.591	12.757
31.748	79.595	12.202
32.210	79.594	11.640
32.678	79.573	11.068
33.154	79.569	10.484
33.636	79.577	9.892
34.125	79.575	9.304
34.621	79.577	8.727
35.125	79.579	8.165
35.636	79.582	7.615
36.154	79.593	7.080
36.680	79.607	6.565
37.214	79.617	6.066
37.755	79.613	5.569
38.304	79.597	5.066
38.861	79.583	4.550
39.427	79.544	4.024
40.000	79.502	3.500
40.582	79.493	2.983
41.172	79.486	2.452
41.771	79.468	1.886
42.379	79.448	1.313
42.995	79.438	0.793
43.620	79.438	0.320
44.255	79.437	-0.177
44.898	79.423	-0.708
45.552	79.400	-1.209
46.214	79.387	-1.676
46.886	79.373	-2.166
47.568	79.345	-2.673
48.260	79.312	-3.160
48.962	79.265	-3.646
49.674	79.208	-4.113
50.397	79.180	-4.535
51.130	79.178	-5.008
51.874	79.171	-5.571
52.628	79.144	-6.071
53.394	79.105	-6.494
54.170	79.078	-6.956
54.958	79.060	-7.406
55.758	79.042	-7.816
56.569	79.025	-8.268
57.391	79.003	-8.725
58.226	78.975	-9.216
59.073	78.937	-9.766
59.932	78.900	-10.251
60.804	78.862	-10.734
61.688	78.811	-11.232
62.586	78.774	-11.658
63.496	78.753	-12.134
64.420	78.720	-12.598
65.357	78.680	-13.040
66.307	78.626	-13.515
67.272	78.581	-13.875
68.250	78.554	-14.284
69.243	78.508	-14.725
70.250	78.466	-15.110
71.272	78.418	-15.609
72.309	78.349	-16.093
73.360	78.295	-16.463
74.427	78.274	-16.860
75.510	78.237	-17.297
76.608	78.183	-17.659
77.723	78.141	-17.988
78.853	78.108	-18.435
80.000	78.046	-18.863
81.164	78.009	-19.261
82.344	77.951	-19.802
83.542	77.907	-20.381
84.757	77.816	-21.072
85.990	77.740	-21.252
87.241	77.683	-21.646
88.510	77.616	-21.881
89.797	77.534	-22.222
91.103	77.445	-22.353
92.428	77.390	-22.720
93.773	77.306	-22.970
95.137	77.275	-23.563
96.520	77.205	-23.714
97.924	77.183	-24.215
99.349	77.116	-24.082
100.794	77.009	-24.628
102.260	76.938	-24.436
103.747	76.864	-25.162
105.256	76.697	-25.825
106.787	76.758	-24.774
108.340	76.736	-26.358
109.916	76.653	-26.148
111.515	76.490	-26.755
113.137	76.419	-27.094
114.783	76.421	-27.712
116.452	76.252	-27.038
118.146	76.211	-27.625
119.865	76.876	-24.487
121.608	75.991	-28.259
123.377	75.900	-27.371
125.171	75.743	-26.813
126.992	75.492	-27.402
128.839	75.640	-26.957
130.713	75.672	-27.246
132.615	75.558	-27.256
134.543	75.744	-27.752
136.500	75.774	-28.022
138.486	75.510	-29.002
140.500	75.256	-28.772
142.544	75.241	-29.205
144.617	75.248	-29.377
146.721	75.141	-29.104
148.855	74.949	-29.015
151.020	74.836	-29.265
153.217	75.050	-28.054
155.445	74.719	-27.815
157.706	74.674	-27.053
160.000	74.529	-28.498
162.327	74.908	-27.973
164.688	75.601	-41.556
167.084	75.271	-30.956
169.514	74.900	-28.852
171.980	74.618	-30.387
174.481	74.550	-30.640
177.019	74.445	-30.394
179.594	74.222	-30.525
182.206	74.098	-31.085
184.856	74.093	-31.360
187.545	74.039	-31.254
190.273	73.965	-31.193
193.041	73.864	-31.705
195.849	73.765	-31.712
198.697	73.659	-31.794
201.587	73.520	-31.816
204.520	73.425	-31.587
207.494	73.349	-31.523
210.512	73.229	-31.543
213.574	73.104	-31.532
216.681	72.978	-31.530
219.833	72.832	-31.095
223.030	72.715	-30.678
226.274	72.592	-30.256
229.565	72.423	-29.603
232.905	72.511	-29.390
236.292	72.528	-28.654
239.729	72.582	-28.759
243.216	72.534	-29.160
246.754	72.446	-29.526
250.343	72.342	-29.595
253.984	72.225	-29.752
257.678	72.101	-29.258
261.426	72.068	-29.252
265.229	71.974	-29.253
269.087	71.858	-29.270
273.001	71.744	-29.013
276.972	71.653	-28.791
281.000	71.541	-28.502
285.088	71.456	-28.187
289.234	71.416	-27.758
293.441	71.364	-27.869
297.710	71.248	-27.855
302.040	71.147	-27.649
306.433	71.064	-27.371
310.890	70.988	-27.079
315.412	70.904	-26.865
320.000	70.774	-26.699
324.655	70.679	-26.278
329.377	70.603	-25.935
334.168	70.511	-25.529
339.028	70.492	-25.173
343.959	70.336	-24.869
348.962	70.231	-24.500
354.038	70.164	-24.093
359.188	70.090	-23.695
364.412	70.002	-23.273
369.713	69.907	-22.860
375.090	69.813	-22.414
380.546	69.736	-21.951
386.081	69.656	-21.471
391.697	69.577	-20.997
397.395	69.502	-20.512
403.175	69.415	-19.971
409.039	69.351	-19.447
414.989	69.262	-19.028
421.025	69.173	-18.497
427.149	69.089	-17.927
433.362	69.040	-17.132
439.665	68.977	-16.663
446.060	68.895	-16.016
452.548	68.846	-15.293
459.131	68.851	-15.010
465.809	68.729	-14.691
472.584	68.650	-14.095
479.458	68.568	-13.377
486.432	68.534	-12.720
493.507	68.414	-12.491
500.686	68.333	-11.484
507.968	68.286	-10.710
515.357	68.234	-10.085
522.853	68.173	-9.424
530.458	68.056	-8.787
538.174	68.028	-7.770
546.002	67.958	-7.190
553.943	67.903	-6.235
562.001	67.863	-5.393
570.175	67.814	-4.685
578.469	67.742	-3.894
586.883	67.724	-2.987
595.419	67.611	-2.229
604.080	67.578	-1.181
612.866	67.549	-0.221
621.780	67.528	0.517
630.824	67.408	1.449
640.000	67.446	2.741
649.309	67.381	3.640
658.753	67.333	4.810
668.335	67.414	6.038
678.056	67.397	6.709
687.919	67.379	7.729
697.925	67.344	8.493
708.076	67.312	9.654
718.376	67.320	10.693
728.825	67.306	11.757
739.426	67.303	12.843
750.181	67.298	13.952
761.093	67.298	15.111
772.163	67.297	16.277
783.394	67.313	17.567
794.789	67.330	18.606
806.349	67.329	20.007
818.078	67.381	21.251
829.977	67.436	22.911
842.050	67.519	23.509
854.297	67.521	24.702
866.724	67.584	25.730
879.330	67.560	27.804
892.120	67.778	29.328
905.097	67.862	29.727
918.262	67.933	30.967
931.618	67.974	32.476
945.169	68.128	33.907
958.917	68.265	35.189
972.864	68.391	35.994
987.015	68.543	37.084
1001.371	68.700	37.660
1015.937	68.810	38.976
1030.714	68.904	39.852
1045.706	69.118	41.222
1060.916	69.271	41.887
1076.347	69.428	42.409
1092.003	69.588	43.284
1107.887	69.741	43.934
1124.001	69.924	44.582
1140.350	70.089	45.254
1156.937	70.227	46.004
1173.765	70.403	46.459
1190.838	70.548	47.245
1208.159	70.783	48.401
1225.732	70.975	48.269
1243.561	71.190	48.486
1261.649	71.335	49.171
1280.000	71.502	49.192
1298.618	71.663	49.769
1317.507	71.848	50.385
1336.670	72.033	50.794
1356.113	72.203	50.977
1375.838	72.434	51.176
1395.850	72.565	51.616
1416.153	72.726	52.720
1436.751	73.010	52.891
1457.649	73.254	52.909
1478.851	73.514	53.168
1500.362	73.785	53.279
1522.185	74.071	53.331
1544.326	74.396	53.416
1566.789	74.695	53.442
1589.578	75.104	53.820
1612.699	75.430	53.829
1636.156	75.603	53.071
1659.955	75.658	52.424
1684.099	75.682	51.891
1708.595	75.764	51.307
1733.447	75.910	50.304
1758.661	76.098	49.078
1784.241	76.345	47.822
1810.193	76.673	47.301
1836.523	76.969	45.764
1863.236	77.255	44.120
1890.338	77.512	42.187
1917.833	77.736	40.154
1945.729	77.876	37.785
1974.030	78.069	36.006
2002.743	78.182	33.412
2031.873	78.261	30.767
2061.428	78.238	28.323
2091.412	78.239	25.916
2121.832	78.116	23.565
2152.695	77.939	20.815
2184.007	77.673	19.182
2215.774	77.471	17.537
2248.003	77.244	15.968
2280.701	76.959	14.556
2313.874	76.662	13.425
2347.530	76.324	13.294
2381.676	76.022	12.902
2416.318	75.750	13.141
2451.464	75.500	13.384
2487.122	75.277	14.041
2523.298	75.176	14.450
2560.000	74.963	14.660
2597.236	74.831	15.004
2635.014	74.660	15.170
2673.341	74.475	15.510
2712.226	74.192	15.923
2751.676	74.034	16.855
2791.700	73.849	17.978
2832.306	73.678	18.751
2873.503	73.540	20.239
2915.299	73.404	20.531
2957.703	73.268	22.205
3000.724	73.132	23.742
3044.370	73.036	25.257
3088.652	72.926	26.452
3133.577	72.881	28.313
3179.156	72.901	30.189
3225.398	72.918	31.875
3272.312	72.999	33.644
3319.909	73.013	34.893
3368.198	73.090	36.635
3417.190	73.190	38.394
3466.894	73.296	39.723
3517.321	73.386	41.619
3568.482	73.534	43.596
3620.387	73.706	45.405
3673.046	74.035	46.858
3726.472	74.278	48.245
3780.675	74.609	49.550
3835.666	75.031	50.252
3891.457	75.438	50.899
3948.060	75.897	51.596
4005.486	76.440	51.828
4063.747	77.068	50.473
4122.855	77.557	48.973
4182.824	78.033	46.828
4243.664	78.406	43.013
4305.390	78.584	39.212
4368.013	78.597	34.491
4431.547	78.465	30.791
4496.005	78.131	26.613
4561.401	77.689	23.745
4627.749	77.283	21.014
4695.061	76.731	18.964
4763.352	76.161	17.936
4832.637	75.675	17.889
4902.929	75.165	17.903
4974.244	74.726	18.828
5046.596	74.333	19.610
5120.000	74.006	21.178
5194.472	73.654	23.721
5270.027	73.410	26.008
5346.682	73.220	28.940
5424.451	73.121	31.444
5503.352	73.011	34.269
5583.399	72.925	38.006
5664.612	73.011	41.374
5747.006	73.194	44.980
5830.598	73.548	48.214
5915.406	74.013	50.646
6001.447	74.718	53.081
6088.740	75.511	54.298
6177.303	76.588	53.970
6267.154	77.799	51.252
6358.312	78.914	45.085
6450.796	79.791	34.688
6544.625	79.957	22.105
6639.818	79.244	9.802
6736.397	77.879	0.987
6834.380	76.386	-3.893
6933.789	74.981	-5.225
7034.643	73.794	-4.803
7136.964	72.701	-2.738
7240.773	71.782	-0.049
7346.093	71.058	3.646
7452.944	70.560	7.302
7561.350	70.196	11.617
7671.332	69.872	15.681
7782.915	69.850	20.061
7896.120	69.853	23.868
8010.971	70.086	27.087
8127.493	70.395	30.790
8245.711	71.117	33.051
8365.647	72.063	33.958
8487.328	73.217	32.144
8610.779	74.640	27.180
8736.026	75.996	15.840
8863.095	76.449	-2.492
8992.011	75.382	-20.106
9122.803	73.430	-31.646
9255.497	71.347	-37.760
9390.121	69.425	-38.890
9526.704	67.850	-37.500
9665.273	66.483	-35.682
9805.857	65.402	-32.411
9948.487	64.493	-27.990
10093.191	63.809	-24.025
10240.000	63.303	-19.428
10388.944	63.099	-14.520
10540.055	62.868	-10.431
10693.363	62.919	-5.736
10848.902	63.143	-1.680
11006.703	63.524	2.002
11166.799	64.347	6.125
11329.224	65.375	8.155
11494.012	66.618	9.259
11661.195	68.369	7.383
11830.812	70.416	0.506
12002.895	72.325	-13.808
12177.480	73.005	-35.852
12354.606	71.943	-55.144
12534.309	70.276	-66.914
12716.624	68.728	-72.115
12901.592	67.689	-75.156
13089.250	66.843	-77.596
13279.637	66.447	-80.584
13472.794	66.005	-85.923
13668.760	65.355	-93.312
13867.577	64.035	-101.938
14069.285	62.159	-108.950
14273.928	60.103	-112.983
14481.547	57.976	-113.034
14692.186	56.133	-111.015
14905.889	54.397	-105.538
15122.700	52.730	-99.721
15342.664	51.263	-91.636
15565.829	49.665	-82.525
15792.239	47.789	-71.370
16021.942	45.608	-57.205
16254.986	43.769	-33.120
16491.422	45.255	0.602
16731.295	49.842	5.961
16974.656	50.879	-1.113
17221.559	50.830	-0.350
17472.053	50.995	5.167
17726.189	51.378	11.113
17984.021	51.930	17.878
18245.605	52.424	23.981
18510.994	51.745	36.575
18780.242	59.145	74.128
19053.408	64.521	25.490
19330.547	62.934	-9.384
19611.715	60.545	-26.610
19896.975	58.358	-40.827
