* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 2, 2022 11:43:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN Kirin Ref L
* Measurement: KZ EDX Ultra Jul 2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.381	48.6508
20.299999	89.410	47.9187
20.600000	89.440	47.2449
20.900000	89.475	46.5962
21.200001	89.515	45.9414
21.400000	89.544	45.4933
21.799999	89.605	44.5732
22.000000	89.635	44.1072
22.400000	89.693	43.1849
22.700001	89.734	42.5181
23.000000	89.774	41.8806
23.299999	89.816	41.2665
23.600000	89.859	40.6627
24.000000	89.917	39.8485
24.299999	89.958	39.2173
24.700001	90.002	38.3516
25.000000	90.024	37.7040
25.400000	90.041	36.8777
25.799999	90.050	36.1182
26.200001	90.060	35.4123
26.500000	90.068	34.8928
26.900000	90.075	34.1885
27.200001	90.075	33.6544
27.600000	90.064	32.9678
28.000000	90.048	32.3627
28.500000	90.040	31.7432
29.000000	90.064	31.1709
29.500000	90.116	30.4830
30.000000	90.173	29.6029
30.400000	90.207	28.8083
30.700001	90.226	28.2051
31.100000	90.244	27.4393
31.500000	90.259	26.7355
32.000000	90.278	25.9274
32.500000	90.299	25.1639
33.000000	90.322	24.4260
33.500000	90.347	23.7140
34.000000	90.374	23.0251
34.500000	90.399	22.3458
35.000000	90.420	21.6667
35.500000	90.430	21.0044
36.000000	90.429	20.4050
36.500000	90.420	19.9188
37.000000	90.412	19.5564
37.500000	90.415	19.2622
38.200001	90.437	18.7792
38.700001	90.454	18.2925
39.500000	90.457	17.3105
40.000000	90.443	16.6658
40.599998	90.423	15.9354
41.200001	90.408	15.2614
41.799999	90.403	14.6111
42.500000	90.406	13.8419
43.099998	90.411	13.1780
43.700001	90.414	12.5432
44.400002	90.414	11.8606
45.000000	90.415	11.3086
45.500000	90.413	10.8547
46.200001	90.405	10.2285
46.799999	90.392	9.7153
47.500000	90.372	9.1449
48.200001	90.349	8.5694
48.700001	90.330	8.1339
49.400002	90.297	7.4920
50.000000	90.265	6.9457
50.799999	90.223	6.2876
51.500000	90.195	5.7982
52.200001	90.179	5.3635
53.000000	90.169	4.8965
53.799999	90.162	4.4654
54.500000	90.159	4.1337
55.200001	90.161	3.8320
56.000000	90.163	3.4854
57.000000	90.153	3.0282
58.000000	90.127	2.5862
59.000000	90.103	2.1233
60.000000	90.082	1.5002
60.799999	90.057	0.8910
61.500000	90.026	0.3492
62.200001	89.994	-0.1548
63.000000	89.961	-0.6688
64.000000	89.929	-1.2203
65.000000	89.902	-1.6895
66.000000	89.877	-2.1163
67.000000	89.848	-2.5516
68.000000	89.805	-3.0112
69.000000	89.745	-3.4554
70.000000	89.677	-3.8370
71.000000	89.618	-4.1418
72.000000	89.589	-4.4459
73.000000	89.585	-4.8690
74.000000	89.582	-5.3717
75.000000	89.576	-5.8164
76.199997	89.577	-6.3146
77.500000	89.564	-6.9741
78.800003	89.512	-7.6369
80.000000	89.453	-8.1420
81.199997	89.403	-8.6328
82.500000	89.357	-9.2393
83.800003	89.310	-9.8885
85.000000	89.261	-10.4653
86.199997	89.205	-10.9860
87.500000	89.137	-11.4769
88.500000	89.082	-11.8051
90.000000	88.999	-12.2162
91.199997	88.942	-12.4926
92.500000	88.891	-12.7759
93.800003	88.843	-13.0453
95.000000	88.800	-13.2681
96.199997	88.756	-13.4830
97.500000	88.703	-13.7325
98.800003	88.643	-13.9989
100.000000	88.585	-14.2490
101.500000	88.518	-14.5505
103.000000	88.463	-14.8270
104.400002	88.419	-15.0581
106.000000	88.373	-15.3075
107.500000	88.327	-15.5595
109.000000	88.279	-15.8631
110.599998	88.226	-16.2604
112.000000	88.174	-16.6146
113.800003	88.091	-16.9287
115.000000	88.022	-16.9863
117.199997	87.874	-16.7540
118.000000	87.822	-16.5974
120.599998	87.707	-16.3673
122.000000	87.666	-16.6172
124.099998	87.601	-17.2099
125.000000	87.574	-17.4520
126.500000	87.531	-17.7959
128.000000	87.485	-18.0664
131.500000	87.365	-18.4560
132.000000	87.352	-18.4889
134.000000	87.326	-18.6005
136.000000	87.326	-18.7402
138.000000	87.293	-18.8719
140.000000	87.188	-18.7166
143.000000	87.004	-17.9766
145.000000	86.932	-17.6536
147.500000	86.904	-17.5618
150.000000	86.917	-17.5679
152.500000	86.921	-17.6395
155.000000	86.892	-17.8785
157.500000	86.843	-18.2905
160.000000	86.787	-18.7177
162.500000	86.716	-19.0739
165.000000	86.623	-19.3497
167.500000	86.524	-19.5712
170.000000	86.425	-19.7725
172.500000	86.314	-19.9440
175.000000	86.192	-20.0494
177.500000	86.076	-20.1173
180.000000	85.981	-20.1838
182.500000	85.911	-20.2441
185.000000	85.863	-20.2950
187.500000	85.824	-20.3430
190.000000	85.784	-20.3825
192.500000	85.736	-20.3921
195.000000	85.679	-20.3621
197.500000	85.616	-20.3074
200.000000	85.550	-20.2375
203.000000	85.473	-20.1350
206.000000	85.402	-20.0313
209.000000	85.330	-19.9452
212.000000	85.253	-19.8586
214.000000	85.199	-19.7876
218.000000	85.089	-19.6333
220.000000	85.037	-19.5652
224.000000	84.941	-19.4206
227.000000	84.875	-19.2739
230.000000	84.814	-19.1094
233.000000	84.755	-18.9423
236.000000	84.697	-18.7733
240.000000	84.618	-18.5499
243.000000	84.558	-18.3960
247.000000	84.474	-18.2052
250.000000	84.410	-18.0391
254.000000	84.331	-17.7504
258.000000	84.265	-17.4255
262.000000	84.206	-17.1461
265.000000	84.161	-16.9740
269.000000	84.094	-16.7443
272.000000	84.042	-16.5446
276.000000	83.974	-16.2415
280.000000	83.913	-15.9175
285.000000	83.850	-15.5248
290.000000	83.798	-15.2061
295.000000	83.742	-14.9757
300.000000	83.676	-14.7538
304.000000	83.622	-14.5406
307.000000	83.583	-14.3628
311.000000	83.530	-14.1155
315.000000	83.475	-13.8633
320.000000	83.403	-13.5276
325.000000	83.334	-13.1512
