* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 2, 2022 11:46:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN Kirin Ref R
* Measurement: KZ EDX Ultra Jul 2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.090	50.5059
20.299999	89.132	49.7429
20.600000	89.170	48.9904
20.900000	89.204	48.2437
21.200001	89.235	47.5097
21.400000	89.256	47.0337
21.799999	89.303	46.1131
22.000000	89.330	45.6624
22.400000	89.393	44.7546
22.700001	89.444	44.0446
23.000000	89.492	43.3005
23.299999	89.532	42.5410
23.600000	89.564	41.7976
24.000000	89.595	40.8856
24.299999	89.615	40.2870
24.700001	89.645	39.5925
25.000000	89.674	39.1127
25.400000	89.721	38.4686
25.799999	89.773	37.7762
26.200001	89.820	37.0394
26.500000	89.851	36.4796
26.900000	89.884	35.7491
27.200001	89.905	35.2195
27.600000	89.929	34.5291
28.000000	89.953	33.8395
28.500000	89.979	32.9702
29.000000	90.002	32.1113
29.500000	90.021	31.2825
30.000000	90.038	30.4809
30.400000	90.053	29.8503
30.700001	90.064	29.3818
31.100000	90.080	28.7660
31.500000	90.094	28.1633
32.000000	90.109	27.4302
32.500000	90.120	26.7224
33.000000	90.129	26.0521
33.500000	90.141	25.4298
34.000000	90.161	24.8423
34.500000	90.188	24.2524
35.000000	90.219	23.6306
35.500000	90.246	22.9779
36.000000	90.268	22.3174
36.500000	90.281	21.6693
37.000000	90.284	21.0505
37.500000	90.275	20.4872
38.200001	90.250	19.8442
38.700001	90.237	19.4730
39.500000	90.240	18.8372
40.000000	90.251	18.3309
40.599998	90.260	17.6431
41.200001	90.264	16.9553
41.799999	90.268	16.2943
42.500000	90.276	15.5253
43.099998	90.281	14.8732
43.700001	90.281	14.2648
44.400002	90.279	13.6147
45.000000	90.278	13.0834
45.500000	90.276	12.6497
46.200001	90.276	12.0458
46.799999	90.277	11.5002
47.500000	90.273	10.7985
48.200001	90.254	10.0602
48.700001	90.233	9.5485
49.400002	90.199	8.8833
50.000000	90.175	8.3586
50.799999	90.153	7.7052
51.500000	90.141	7.1619
52.200001	90.128	6.6491
53.000000	90.107	6.1244
53.799999	90.086	5.6593
54.500000	90.071	5.2601
55.200001	90.056	4.8373
56.000000	90.034	4.3185
57.000000	89.998	3.6262
58.000000	89.951	2.9235
59.000000	89.905	2.2833
60.000000	89.875	1.7357
60.799999	89.863	1.3342
61.500000	89.858	0.9978
62.200001	89.852	0.6921
63.000000	89.843	0.4109
64.000000	89.831	0.1605
65.000000	89.820	-0.0627
66.000000	89.809	-0.3739
