* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 1, 2022 1:56:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN Kirin Transparent L
* Measurement: TRN Kirin Transparent L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.416	50.2679
20.299999	88.465	49.5441
20.600000	88.512	48.8340
20.900000	88.557	48.1235
21.200001	88.601	47.4033
21.400000	88.630	46.9180
21.799999	88.687	45.9460
22.000000	88.714	45.4663
22.400000	88.768	44.5345
22.700001	88.807	43.8651
23.000000	88.847	43.2185
23.299999	88.887	42.5864
23.600000	88.928	41.9614
24.000000	88.981	41.1313
24.299999	89.018	40.5110
24.700001	89.061	39.6922
25.000000	89.090	39.0885
25.400000	89.123	38.2991
25.799999	89.154	37.5244
26.200001	89.183	36.7610
26.500000	89.203	36.1977
26.900000	89.225	35.4653
27.200001	89.238	34.9352
27.600000	89.253	34.2576
28.000000	89.270	33.6077
28.500000	89.297	32.8131
29.000000	89.330	32.0126
29.500000	89.364	31.1984
30.000000	89.394	30.3823
30.400000	89.415	29.7389
30.700001	89.431	29.2648
31.100000	89.452	28.6443
31.500000	89.470	28.0366
32.000000	89.488	27.2960
32.500000	89.500	26.5791
33.000000	89.510	25.8853
33.500000	89.521	25.2098
34.000000	89.532	24.5480
34.500000	89.545	23.8985
35.000000	89.558	23.2601
35.500000	89.574	22.6277
36.000000	89.592	21.9966
36.500000	89.608	21.3702
37.000000	89.621	20.7607
37.500000	89.630	20.1758
38.200001	89.635	19.3851
38.700001	89.635	18.8217
39.500000	89.626	17.9216
40.000000	89.618	17.3824
40.599998	89.614	16.7693
41.200001	89.617	16.1704
41.799999	89.623	15.5630
42.500000	89.629	14.8544
43.099998	89.633	14.2730
43.700001	89.638	13.7136
44.400002	89.642	13.0649
45.000000	89.640	12.5105
45.500000	89.636	12.0602
46.200001	89.627	11.4506
46.799999	89.618	10.9377
47.500000	89.601	10.3513
48.200001	89.581	9.7845
48.700001	89.565	9.3826
49.400002	89.543	8.8048
50.000000	89.523	8.3016
50.799999	89.499	7.6528
51.500000	89.483	7.1079
52.200001	89.468	6.5638
53.000000	89.445	5.9533
53.799999	89.418	5.3995
54.500000	89.401	4.9667
55.200001	89.392	4.5474
56.000000	89.386	4.0515
57.000000	89.372	3.4224
58.000000	89.350	2.8149
59.000000	89.320	2.2131
60.000000	89.277	1.6237
60.799999	89.235	1.1993
61.500000	89.196	0.8795
62.200001	89.161	0.6018
63.000000	89.128	0.3196
