* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 3:31:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN M10
* Measurement: Jun 27 15:31:04
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	75.578	-124.160
20.586	75.640	-124.910
20.885	75.701	-125.556
21.189	75.737	-126.180
21.497	75.777	-126.806
21.810	75.834	-127.455
22.127	75.892	-128.143
22.449	75.939	-128.878
22.776	75.986	-129.650
23.107	76.034	-130.437
23.443	76.072	-131.212
23.784	76.112	-131.963
24.130	76.162	-132.697
24.481	76.221	-133.438
24.837	76.278	-134.209
25.198	76.321	-135.014
25.565	76.368	-135.835
25.937	76.417	-136.640
26.314	76.459	-137.410
26.697	76.508	-138.144
27.085	76.549	-138.852
27.479	76.574	-139.543
27.879	76.611	-140.213
28.284	76.637	-140.859
28.696	76.673	-141.491
29.113	76.723	-142.140
29.537	76.761	-142.827
29.966	76.791	-143.546
30.402	76.810	-144.262
30.844	76.832	-144.951
31.293	76.869	-145.618
31.748	76.904	-146.295
32.210	76.935	-147.004
32.678	76.943	-147.739
33.154	76.965	-148.479
33.636	76.998	-149.214
34.125	77.021	-149.940
34.621	77.045	-150.644
35.125	77.070	-151.306
35.636	77.101	-151.935
36.154	77.149	-152.578
36.680	77.201	-153.279
37.214	77.238	-154.021
37.755	77.248	-154.732
38.304	77.242	-155.371
38.861	77.244	-155.968
39.427	77.230	-156.580
40.000	77.212	-157.222
40.582	77.223	-157.860
41.172	77.233	-158.476
41.771	77.239	-159.098
42.379	77.249	-159.750
42.995	77.270	-160.411
43.620	77.292	-161.047
44.255	77.308	-161.664
44.898	77.316	-162.286
45.552	77.318	-162.907
46.214	77.327	-163.512
46.886	77.332	-164.116
47.568	77.326	-164.722
48.260	77.317	-165.306
48.962	77.299	-165.890
49.674	77.274	-166.516
50.397	77.266	-167.146
51.130	77.271	-167.734
51.874	77.284	-168.321
52.628	77.289	-168.933
53.394	77.268	-169.523
54.170	77.253	-170.059
54.958	77.258	-170.536
55.758	77.274	-171.037
56.569	77.286	-171.677
57.391	77.271	-172.339
58.226	77.243	-172.873
59.073	77.229	-173.397
59.932	77.222	-173.969
60.804	77.210	-174.509
61.688	77.200	-175.109
62.586	77.185	-175.777
63.496	77.169	-176.342
64.420	77.157	-176.872
65.357	77.125	-177.444
66.307	77.082	-177.900
67.272	77.072	-178.364
68.250	77.048	-178.960
69.243	77.012	-179.282
70.250	77.033	-179.661
71.272	77.017	179.594
72.309	76.969	179.167
73.360	76.976	178.754
74.427	76.979	178.113
75.510	76.954	177.719
76.608	76.960	177.260
77.723	76.925	176.475
78.853	76.879	176.086
80.000	76.861	175.512
81.164	76.827	175.066
82.344	76.804	174.374
83.542	76.735	174.084
84.757	76.784	173.421
85.990	76.685	172.503
87.241	76.635	172.179
88.510	76.587	171.545
89.797	76.515	171.154
91.103	76.483	170.770
92.428	76.431	170.356
93.773	76.392	169.879
95.137	76.322	169.614
96.520	76.318	169.091
97.924	76.260	168.680
99.349	76.220	168.177
100.794	76.173	167.785
102.260	76.103	167.225
103.747	76.060	166.972
105.256	76.050	166.687
106.787	76.013	166.138
108.340	75.962	165.820
109.916	75.895	165.412
111.515	75.825	164.878
113.137	75.788	164.292
114.783	75.739	163.927
116.452	75.652	163.433
118.146	75.579	163.223
119.865	75.650	164.855
121.608	75.476	162.560
123.377	75.425	162.614
125.171	75.346	162.332
126.992	75.304	161.717
128.839	75.271	161.450
130.713	75.186	161.309
132.615	75.106	160.945
134.543	75.062	160.594
136.500	74.995	160.209
138.486	74.958	159.847
140.500	74.872	159.456
142.544	74.805	159.290
144.617	74.738	159.059
146.721	74.692	158.791
148.855	74.613	158.317
151.020	74.549	158.169
153.217	74.408	157.865
155.445	74.374	157.573
157.706	74.347	157.233
160.000	74.334	157.339
162.327	74.227	157.646
164.688	74.280	161.235
167.084	73.993	157.574
169.514	73.903	156.594
171.980	73.830	156.369
