* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 18, 2021 5:44:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN ST2
* Measurement: edx L Oct 18
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.6	42.0853
20.299999	100.6	41.3415
20.600000	100.6	40.7084
20.900000	100.6	40.1767
21.200001	100.6	39.7031
21.400000	100.6	39.3824
21.799999	100.7	38.6716
22.000000	100.8	38.2613
22.400000	100.8	37.3261
22.700001	100.9	36.5609
23.000000	100.9	35.7884
23.299999	101.0	35.0408
23.600000	101.0	34.3297
24.000000	101.0	33.4356
24.299999	101.0	32.7919
24.700001	101.1	31.9561
25.000000	101.1	31.3459
25.400000	101.1	30.5612
25.799999	101.1	29.8123
26.200001	101.1	29.0879
26.500000	101.1	28.5497
26.900000	101.1	27.8295
27.200001	101.2	27.2871
27.600000	101.2	26.5673
28.000000	101.2	25.8602
28.500000	101.2	25.0032
29.000000	101.2	24.1773
29.500000	101.2	23.3806
30.000000	101.2	22.6036
30.400000	101.2	21.9857
30.700001	101.2	21.5201
31.100000	101.2	20.8975
31.500000	101.2	20.2806
32.000000	101.2	19.5347
32.500000	101.2	18.8265
33.000000	101.2	18.1479
33.500000	101.2	17.4844
34.000000	101.2	16.8292
34.500000	101.2	16.1855
35.000000	101.2	15.5574
35.500000	101.2	14.9443
36.000000	101.2	14.3452
36.500000	101.2	13.7610
37.000000	101.2	13.1929
37.500000	101.2	12.6381
38.200001	101.2	11.8733
38.700001	101.2	11.3298
39.500000	101.2	10.4620
40.000000	101.1	9.9211
40.599998	101.1	9.2760
41.200001	101.1	8.6419
41.799999	101.1	8.0270
42.500000	101.1	7.3396
43.099998	101.1	6.7747
43.700001	101.0	6.2261
44.400002	101.0	5.5990
45.000000	101.0	5.0707
45.500000	101.0	4.6399
46.200001	101.0	4.0565
46.799999	100.9	3.5751
47.500000	100.9	3.0312
48.200001	100.9	2.5040
48.700001	100.9	2.1362
49.400002	100.9	1.6299
50.000000	100.8	1.2010
50.799999	100.8	0.6359
51.500000	100.8	0.1493
52.200001	100.7	-0.3272
53.000000	100.7	-0.8545
53.799999	100.7	-1.3629
54.500000	100.7	-1.7994
55.200001	100.6	-2.2373
56.000000	100.6	-2.7482
57.000000	100.6	-3.3953
58.000000	100.6	-4.0002
59.000000	100.5	-4.5454
60.000000	100.5	-5.0851
60.799999	100.4	-5.5166
61.500000	100.4	-5.8818
62.200001	100.4	-6.2405
63.000000	100.3	-6.6548
64.000000	100.3	-7.1821
65.000000	100.2	-7.6857
66.000000	100.1	-8.1252
67.000000	100.1	-8.5439
68.000000	100.1	-8.9840
69.000000	100.0	-9.4119
70.000000	100.0	-9.8255
71.000000	100.0	-10.2277
72.000000	100.0	-10.5955
73.000000	99.9	-10.9382
74.000000	99.9	-11.2822
75.000000	99.9	-11.6569
76.199997	99.8	-12.1069
77.500000	99.8	-12.4990
78.800003	99.7	-12.8659
80.000000	99.7	-13.2823
81.199997	99.6	-13.7764
82.500000	99.6	-14.3380
83.800003	99.5	-14.8745
85.000000	99.5	-15.3279
86.199997	99.4	-15.7418
87.500000	99.3	-16.1521
88.500000	99.3	-16.4423
90.000000	99.2	-16.8328
91.199997	99.2	-17.1110
92.500000	99.1	-17.3945
93.800003	99.0	-17.6790
95.000000	99.0	-17.9534
96.199997	98.9	-18.2397
97.500000	98.9	-18.5582
98.800003	98.8	-18.8746
100.000000	98.8	-19.1517
101.500000	98.7	-19.4672
103.000000	98.6	-19.7483
104.400002	98.6	-19.9928
106.000000	98.5	-20.2731
107.500000	98.5	-20.5453
109.000000	98.4	-20.8204
110.599998	98.3	-21.1044
112.000000	98.3	-21.3391
113.800003	98.2	-21.6193
115.000000	98.1	-21.7877
117.199997	98.0	-22.0245
118.000000	97.9	-22.0777
120.599998	97.8	-22.1731
122.000000	97.8	-22.2601
124.099998	97.7	-22.4951
125.000000	97.7	-22.6166
126.500000	97.7	-22.8166
128.000000	97.6	-23.0011
131.500000	97.5	-23.3860
132.000000	97.4	-23.4372
134.000000	97.4	-23.6320
136.000000	97.3	-23.8110
138.000000	97.2	-23.9760
140.000000	97.1	-24.1268
143.000000	97.0	-24.3201
145.000000	97.0	-24.4310
147.500000	96.9	-24.5568
150.000000	96.8	-24.6661
152.500000	96.7	-24.7405
155.000000	96.6	-24.7634
157.500000	96.5	-24.7562
160.000000	96.4	-24.7646
162.500000	96.3	-24.8065
165.000000	96.2	-24.8619
167.500000	96.1	-24.9002
170.000000	96.1	-24.9042
172.500000	96.0	-24.8789
175.000000	95.9	-24.8381
177.500000	95.8	-24.7930
180.000000	95.7	-24.7526
182.500000	95.6	-24.7224
185.000000	95.6	-24.7043
187.500000	95.5	-24.7027
190.000000	95.4	-24.7231
192.500000	95.4	-24.7448
195.000000	95.3	-24.7157
197.500000	95.2	-24.6125
200.000000	95.1	-24.4643
203.000000	95.1	-24.2793
206.000000	95.0	-24.1240
209.000000	94.9	-24.0100
212.000000	94.8	-23.9169
214.000000	94.8	-23.8475
218.000000	94.7	-23.6470
220.000000	94.6	-23.5129
224.000000	94.5	-23.2219
227.000000	94.4	-23.0204
230.000000	94.4	-22.8384
233.000000	94.3	-22.6664
236.000000	94.2	-22.4986
240.000000	94.1	-22.2761
243.000000	94.1	-22.1023
247.000000	94.0	-21.8429
250.000000	93.9	-21.6156
254.000000	93.8	-21.2607
258.000000	93.7	-20.8834
262.000000	93.7	-20.5515
265.000000	93.6	-20.3365
269.000000	93.5	-20.0516
272.000000	93.5	-19.8153
276.000000	93.4	-19.4667
280.000000	93.4	-19.0961
285.000000	93.3	-18.6422
290.000000	93.2	-18.2654
295.000000	93.2	-17.9724
300.000000	93.1	-17.6789
304.000000	93.0	-17.4095
307.000000	93.0	-17.1912
311.000000	92.9	-16.8895
315.000000	92.8	-16.5807
320.000000	92.8	-16.1718
325.000000	92.7	-15.7240
330.000000	92.6	-15.2538
335.000000	92.5	-14.7872
340.000000	92.5	-14.3380
345.000000	92.4	-13.8970
350.000000	92.3	-13.4468
355.000000	92.3	-12.9843
360.000000	92.2	-12.5154
365.000000	92.1	-12.0435
370.000000	92.1	-11.5684
375.000000	92.0	-11.0889
382.000000	91.9	-10.4084
387.000000	91.9	-9.9160
395.000000	91.8	-9.1213
400.000000	91.8	-8.6257
406.000000	91.7	-8.0386
412.000000	91.7	-7.4579
418.000000	91.6	-6.8668
425.000000	91.5	-6.1431
431.000000	91.5	-5.5029
437.000000	91.4	-4.8695
444.000000	91.4	-4.1561
450.000000	91.4	-3.5818
455.000000	91.4	-3.1458
462.000000	91.3	-2.5868
468.000000	91.3	-2.1022
475.000000	91.2	-1.4900
482.000000	91.2	-0.8486
487.000000	91.1	-0.3878
494.000000	91.1	0.2778
500.000000	91.0	0.8820
508.000000	91.0	1.6991
515.000000	91.0	2.3926
522.000000	90.9	3.0770
530.000000	90.9	3.8796
538.000000	90.9	4.7040
545.000000	90.8	5.4273
552.000000	90.8	6.1490
560.000000	90.8	6.9630
570.000000	90.8	7.9561
580.000000	90.7	8.9462
590.000000	90.7	9.9495
600.000000	90.7	10.9770
608.000000	90.7	11.8043
615.000000	90.7	12.5216
622.000000	90.6	13.2432
630.000000	90.6	14.0936
640.000000	90.6	15.1899
650.000000	90.6	16.2936
660.000000	90.6	17.3779
670.000000	90.7	18.3862
680.000000	90.7	19.3125
690.000000	90.7	20.2153
700.000000	90.7	21.1417
710.000000	90.7	22.1000
720.000000	90.8	23.0665
730.000000	90.8	24.0287
740.000000	90.8	24.9912
750.000000	90.8	25.9586
762.000000	90.9	27.1260
775.000000	90.9	28.3910
788.000000	91.0	29.6505
800.000000	91.0	30.8220
812.000000	91.1	31.9981
825.000000	91.2	33.2104
838.000000	91.3	34.2915
850.000000	91.4	35.1977
862.000000	91.4	36.0741
875.000000	91.5	37.0310
885.000000	91.5	37.7850
900.000000	91.6	38.9573
912.000000	91.7	39.9573
925.000000	91.8	41.0971
938.000000	91.9	42.2357
950.000000	92.0	43.2328
962.000000	92.1	44.1660
975.000000	92.2	45.1216
988.000000	92.3	46.0387
1000.000000	92.4	46.8670
1015.000000	92.5	47.9028
1030.000000	92.7	48.9264
1044.000000	92.8	49.8152
1060.000000	93.0	50.6982
1075.000000	93.2	51.4265
1090.000000	93.3	52.1122
1106.000000	93.5	52.8209
1120.000000	93.6	53.4296
1138.000000	93.8	54.2119
1150.000000	93.9	54.7418
1172.000000	94.1	55.7508
1180.000000	94.2	56.1342
1206.000000	94.5	57.3924
1220.000000	94.6	58.0282
1241.000000	94.9	58.9202
1250.000000	95.0	59.2862
1265.000000	95.2	59.8636
1280.000000	95.3	60.3740
1315.000000	95.8	61.2361
1320.000000	95.8	61.3256
1340.000000	96.1	61.6359
1360.000000	96.3	61.9300
1380.000000	96.5	62.2733
1400.000000	96.8	62.6964
1430.000000	97.1	63.3715
1450.000000	97.4	63.7424
1475.000000	97.7	64.1188
1500.000000	98.0	64.4484
1525.000000	98.3	64.7650
1550.000000	98.6	65.0884
1575.000000	98.9	65.3980
1600.000000	99.2	65.5950
1625.000000	99.5	65.6202
1650.000000	99.7	65.5128
1675.000000	100.0	65.3177
1700.000000	100.3	65.0417
1725.000000	100.6	64.6697
1750.000000	100.9	64.2128
1775.000000	101.2	63.7046
1800.000000	101.5	63.1402
