* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 6, 2022 11:52:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN ST5 L
* Measurement: TRN ST5 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.746	50.6783
20.299999	102.805	49.9208
20.600000	102.862	49.1733
20.900000	102.918	48.4352
21.200001	102.971	47.7068
21.400000	103.005	47.2279
21.799999	103.070	46.2894
22.000000	103.101	45.8313
22.400000	103.161	44.9394
22.700001	103.204	44.2902
23.000000	103.247	43.6541
23.299999	103.289	43.0267
23.600000	103.330	42.4059
24.000000	103.381	41.5887
24.299999	103.416	40.9875
24.700001	103.460	40.2084
25.000000	103.491	39.6440
25.400000	103.532	38.9161
25.799999	103.572	38.2081
26.200001	103.612	37.5103
26.500000	103.641	36.9906
26.900000	103.678	36.3032
27.200001	103.704	35.7946
27.600000	103.737	35.1287
28.000000	103.769	34.4768
28.500000	103.808	33.6768
29.000000	103.846	32.8874
29.500000	103.881	32.1082
30.000000	103.914	31.3437
30.400000	103.940	30.7444
30.700001	103.958	30.3017
31.100000	103.982	29.7193
31.500000	104.005	29.1441
32.000000	104.033	28.4334
32.500000	104.059	27.7319
33.000000	104.083	27.0416
33.500000	104.104	26.3651
34.000000	104.124	25.7045
34.500000	104.143	25.0580
35.000000	104.160	24.4230
35.500000	104.175	23.7977
36.000000	104.188	23.1843
36.500000	104.200	22.5864
37.000000	104.210	22.0057
37.500000	104.219	21.4407
38.200001	104.230	20.6704
38.700001	104.238	20.1328
39.500000	104.247	19.2953
40.000000	104.253	18.7860
40.599998	104.258	18.1886
41.200001	104.263	17.6060
41.799999	104.267	17.0378
42.500000	104.273	16.3895
43.099998	104.278	15.8397
43.700001	104.284	15.2918
44.400002	104.288	14.6581
45.000000	104.290	14.1249
45.500000	104.291	13.6884
46.200001	104.292	13.0875
46.799999	104.291	12.5809
47.500000	104.288	12.0023
48.200001	104.283	11.4380
48.700001	104.278	11.0424
49.400002	104.271	10.4976
50.000000	104.263	10.0403
50.799999	104.252	9.4473
51.500000	104.243	8.9407
52.200001	104.233	8.4388
53.000000	104.219	7.8730
53.799999	104.204	7.3351
54.500000	104.190	6.8981
55.200001	104.177	6.4852
56.000000	104.166	6.0276
57.000000	104.153	5.4602
58.000000	104.138	4.8892
59.000000	104.118	4.3253
60.000000	104.092	3.8002
60.799999	104.072	3.4263
61.500000	104.057	3.1273
62.200001	104.047	2.8409
63.000000	104.040	2.5206
64.000000	104.038	2.1230
65.000000	104.043	1.6976
66.000000	104.051	1.2174
67.000000	104.055	0.6943
68.000000	104.053	0.1479
69.000000	104.047	-0.4083
70.000000	104.037	-0.9670
71.000000	104.022	-1.5188
72.000000	104.004	-2.0373
73.000000	103.988	-2.5160
74.000000	103.975	-2.9844
75.000000	103.960	-3.4563
76.199997	103.938	-4.0065
77.500000	103.911	-4.5754
78.800003	103.884	-5.1426
80.000000	103.858	-5.6830
81.199997	103.831	-6.2447
82.500000	103.797	-6.8701
83.800003	103.758	-7.4904
85.000000	103.716	-8.0331
86.199997	103.672	-8.5325
87.500000	103.624	-9.0278
88.500000	103.588	-9.3858
90.000000	103.533	-9.8889
91.199997	103.489	-10.2570
92.500000	103.442	-10.6273
93.800003	103.397	-10.9882
95.000000	103.356	-11.3296
96.199997	103.314	-11.6846
97.500000	103.266	-12.0731
98.800003	103.217	-12.4471
100.000000	103.173	-12.7700
101.500000	103.119	-13.1391
103.000000	103.065	-13.4740
104.400002	103.016	-13.7723
106.000000	102.959	-14.1054
107.500000	102.910	-14.4039
109.000000	102.867	-14.6988
110.599998	102.823	-14.9939
112.000000	102.786	-15.2393
113.800003	102.735	-15.6167
115.000000	102.693	-15.9160
117.199997	102.611	-16.5431
118.000000	102.581	-16.7830
120.599998	102.494	-17.3572
122.000000	102.467	-17.5096
124.099998	102.440	-17.7237
125.000000	102.424	-17.8391
126.500000	102.387	-18.0608
128.000000	102.342	-18.3104
131.500000	102.239	-18.9819
132.000000	102.225	-19.0826
134.000000	102.166	-19.4637
136.000000	102.099	-19.7829
138.000000	102.030	-20.0610
140.000000	101.963	-20.3453
143.000000	101.866	-20.7952
145.000000	101.802	-21.0814
147.500000	101.719	-21.4105
150.000000	101.631	-21.7093
152.500000	101.539	-21.9436
155.000000	101.452	-22.0972
157.500000	101.377	-22.2249
160.000000	101.311	-22.3974
162.500000	101.244	-22.6288
165.000000	101.170	-22.8787
167.500000	101.090	-23.1075
170.000000	101.007	-23.2926
172.500000	100.924	-23.4314
175.000000	100.846	-23.5425
177.500000	100.772	-23.6439
180.000000	100.698	-23.7404
182.500000	100.626	-23.8292
185.000000	100.554	-23.9072
187.500000	100.482	-23.9722
190.000000	100.409	-24.0197
192.500000	100.338	-24.0420
195.000000	100.269	-24.0328
197.500000	100.205	-23.9954
200.000000	100.146	-23.9443
203.000000	100.083	-23.8922
206.000000	100.030	-23.8765
209.000000	99.984	-23.9149
212.000000	99.935	-24.0080
214.000000	99.898	-24.0867
218.000000	99.809	-24.2242
220.000000	99.762	-24.2725
224.000000	99.674	-24.3555
227.000000	99.610	-24.4238
230.000000	99.547	-24.4944
233.000000	99.481	-24.5582
236.000000	99.413	-24.6146
240.000000	99.321	-24.6857
243.000000	99.250	-24.7304
247.000000	99.151	-24.7529
250.000000	99.076	-24.7253
254.000000	98.980	-24.6226
258.000000	98.896	-24.4875
262.000000	98.821	-24.3911
265.000000	98.764	-24.3495
269.000000	98.682	-24.2930
272.000000	98.619	-24.2265
276.000000	98.538	-24.1006
280.000000	98.463	-23.9478
285.000000	98.380	-23.7579
290.000000	98.306	-23.6362
295.000000	98.226	-23.5981
300.000000	98.134	-23.5569
304.000000	98.057	-23.4819
307.000000	97.999	-23.4053
311.000000	97.923	-23.2904
315.000000	97.848	-23.1682
320.000000	97.752	-22.9895
325.000000	97.658	-22.7645
330.000000	97.570	-22.5092
335.000000	97.488	-22.2520
340.000000	97.409	-22.0078
345.000000	97.329	-21.7692
350.000000	97.249	-21.5193
355.000000	97.171	-21.2543
360.000000	97.094	-20.9789
365.000000	97.019	-20.6963
370.000000	96.945	-20.4063
375.000000	96.873	-20.1080
382.000000	96.776	-19.6785
387.000000	96.708	-19.3643
395.000000	96.603	-18.8481
400.000000	96.541	-18.5188
406.000000	96.468	-18.1244
412.000000	96.396	-17.7334
418.000000	96.324	-17.3299
425.000000	96.242	-16.8203
431.000000	96.177	-16.3590
437.000000	96.120	-15.9020
444.000000	96.060	-15.3913
450.000000	96.013	-14.9875
455.000000	95.976	-14.6913
462.000000	95.916	-14.3243
468.000000	95.857	-14.0012
475.000000	95.784	-13.5739
482.000000	95.713	-13.1121
487.000000	95.664	-12.7759
494.000000	95.593	-12.2820
500.000000	95.535	-11.8239
508.000000	95.466	-11.1960
515.000000	95.409	-10.6617
522.000000	95.352	-10.1328
530.000000	95.287	-9.5052
538.000000	95.227	-8.8514
545.000000	95.178	-8.2737
552.000000	95.133	-7.6949
560.000000	95.086	-7.0415
570.000000	95.029	-6.2445
580.000000	94.971	-5.4432
590.000000	94.915	-4.6206
600.000000	94.862	-3.7677
608.000000	94.824	-3.0769
615.000000	94.794	-2.4766
622.000000	94.763	-1.8702
630.000000	94.731	-1.1504
640.000000	94.697	-0.2180
650.000000	94.675	0.7219
660.000000	94.666	1.6427
670.000000	94.665	2.4869
680.000000	94.663	3.2500
690.000000	94.653	3.9913
700.000000	94.638	4.7568
710.000000	94.624	5.5558
720.000000	94.613	6.3678
730.000000	94.605	7.1817
740.000000	94.599	8.0005
750.000000	94.594	8.8278
762.000000	94.589	9.8341
775.000000	94.586	10.9440
788.000000	94.581	12.0883
800.000000	94.574	13.2221
812.000000	94.571	14.4893
825.000000	94.588	16.0411
838.000000	94.646	17.7508
850.000000	94.755	19.3496
862.000000	94.919	20.7309
875.000000	95.117	21.7800
885.000000	95.254	22.3062
900.000000	95.418	22.8793
912.000000	95.519	23.3281
925.000000	95.615	23.8791
938.000000	95.708	24.4818
950.000000	95.795	25.0563
962.000000	95.882	25.6392
975.000000	95.978	26.2809
988.000000	96.076	26.9309
1000.000000	96.170	27.5395
1015.000000	96.294	28.3225
1030.000000	96.434	29.1060
1044.000000	96.579	29.7730
1060.000000	96.751	30.3987
1075.000000	96.908	30.8799
1090.000000	97.059	31.3110
1106.000000	97.218	31.7356
1120.000000	97.356	32.0814
1138.000000	97.531	32.4993
1150.000000	97.648	32.7654
1172.000000	97.866	33.2361
1180.000000	97.948	33.4027
1206.000000	98.229	33.8604
1220.000000	98.385	34.0003
1241.000000	98.611	34.0830
1250.000000	98.704	34.0927
1265.000000	98.856	34.0915
1280.000000	99.007	34.0698
1315.000000	99.357	33.9059
1320.000000	99.406	33.8639
1340.000000	99.601	33.6464
1360.000000	99.786	33.3752
1380.000000	99.964	33.0930
1400.000000	100.142	32.8260
1430.000000	100.426	32.3527
1450.000000	100.618	31.8927
1475.000000	100.846	31.1698
1500.000000	101.058	30.3428
1525.000000	101.255	29.4563
1550.000000	101.443	28.5415
1575.000000	101.630	27.5886
1600.000000	101.817	26.5103
1625.000000	101.990	25.2609
1650.000000	102.138	23.8938
1675.000000	102.263	22.4691
1700.000000	102.366	21.0115
1725.000000	102.447	19.5265
1750.000000	102.504	18.0463
1775.000000	102.540	16.6231
1800.000000	102.566	15.2626
1825.000000	102.585	13.9058
1850.000000	102.589	12.5226
1875.000000	102.574	11.1387
1900.000000	102.536	9.8002
