* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 9, 2022 1:16:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN VX Pro Red L
* Measurement: TRN VX Pro Red Stock L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.996	70.9501
20.299999	94.081	70.2633
20.600000	94.160	69.5817
20.900000	94.233	68.9078
21.200001	94.304	68.2443
21.400000	94.350	67.8083
21.799999	94.446	66.9511
22.000000	94.494	66.5295
22.400000	94.592	65.6993
22.700001	94.665	65.0878
23.000000	94.738	64.4855
23.299999	94.810	63.8912
23.600000	94.881	63.3029
24.000000	94.974	62.5257
24.299999	95.039	61.9485
24.700001	95.121	61.1912
25.000000	95.177	60.6382
25.400000	95.248	59.9269
25.799999	95.318	59.2433
26.200001	95.390	58.5742
26.500000	95.443	58.0708
26.900000	95.511	57.3887
27.200001	95.558	56.8699
27.600000	95.613	56.1801
28.000000	95.663	55.5121
28.500000	95.722	54.7294
29.000000	95.785	53.9996
29.500000	95.852	53.2933
30.000000	95.921	52.5837
30.400000	95.975	52.0111
30.700001	96.015	51.5826
31.100000	96.067	51.0187
31.500000	96.118	50.4652
32.000000	96.176	49.7865
32.500000	96.230	49.1180
33.000000	96.281	48.4585
33.500000	96.331	47.8089
34.000000	96.381	47.1686
34.500000	96.430	46.5363
35.000000	96.479	45.9129
35.500000	96.528	45.3015
36.000000	96.577	44.7039
36.500000	96.626	44.1199
37.000000	96.671	43.5481
37.500000	96.712	42.9880
38.200001	96.757	42.2220
38.700001	96.781	41.6867
39.500000	96.812	40.8530
40.000000	96.832	40.3495
40.599998	96.858	39.7617
41.200001	96.889	39.1851
41.799999	96.920	38.6155
42.500000	96.957	37.9664
43.099998	96.989	37.4308
43.700001	97.021	36.9118
44.400002	97.054	36.3173
45.000000	97.076	35.8202
45.500000	97.091	35.4270
46.200001	97.111	34.9161
46.799999	97.130	34.4960
47.500000	97.153	33.9882
48.200001	97.170	33.4557
48.700001	97.179	33.0751
49.400002	97.189	32.5567
50.000000	97.201	32.1225
50.799999	97.225	31.5516
51.500000	97.251	31.0639
52.200001	97.276	30.5882
53.000000	97.300	30.0591
53.799999	97.319	29.5584
54.500000	97.335	29.1506
55.200001	97.351	28.7620
56.000000	97.368	28.3241
57.000000	97.385	27.7731
58.000000	97.395	27.2124
59.000000	97.400	26.6431
60.000000	97.402	26.0852
60.799999	97.402	25.6641
61.500000	97.402	25.3309
62.200001	97.406	25.0411
63.000000	97.416	24.7450
64.000000	97.431	24.3794
65.000000	97.437	24.0273
66.000000	97.434	23.7282
67.000000	97.438	23.4335
68.000000	97.446	23.0293
69.000000	97.443	22.5162
70.000000	97.426	22.0118
71.000000	97.409	21.5769
72.000000	97.402	21.2203
