* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 20, 2022 9:18:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN VX Pro Red L
* Measurement: TRN VX RED L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.195	48.0546
20.299999	95.235	47.3285
20.600000	95.269	46.5974
20.900000	95.296	45.8721
21.200001	95.320	45.1641
21.400000	95.336	44.7041
21.799999	95.372	43.8085
22.000000	95.391	43.3694
22.400000	95.433	42.5000
22.700001	95.464	41.8546
23.000000	95.493	41.2199
23.299999	95.521	40.6044
23.600000	95.547	40.0141
24.000000	95.580	39.2702
24.299999	95.605	38.7407
24.700001	95.638	38.0603
25.000000	95.662	37.5587
25.400000	95.694	36.8907
25.799999	95.724	36.2177
26.200001	95.751	35.5419
26.500000	95.769	35.0387
26.900000	95.787	34.3807
27.200001	95.797	33.9024
27.600000	95.807	33.2877
28.000000	95.816	32.6954
28.500000	95.830	31.9721
29.000000	95.847	31.2530
29.500000	95.862	30.5372
30.000000	95.874	29.8350
30.400000	95.883	29.2886
30.700001	95.890	28.8882
31.100000	95.898	28.3665
31.500000	95.906	27.8616
32.000000	95.912	27.2614
32.500000	95.915	26.6990
33.000000	95.923	26.1594
33.500000	95.936	25.6152
34.000000	95.952	25.0490
34.500000	95.966	24.4717
35.000000	95.977	23.9116
35.500000	95.988	23.3892
36.000000	96.005	22.8973
36.500000	96.026	22.4110
37.000000	96.047	21.9084
37.500000	96.060	21.3897
38.200001	96.062	20.6738
38.700001	96.052	20.1947
39.500000	96.030	19.4874
40.000000	96.017	19.0668
40.599998	96.005	18.5741
41.200001	95.996	18.0956
41.799999	95.990	17.6273
42.500000	95.985	17.0821
43.099998	95.981	16.6174
43.700001	95.974	16.1674
44.400002	95.964	15.6664
45.000000	95.953	15.2531
45.500000	95.943	14.9211
46.200001	95.928	14.4816
46.799999	95.914	14.1257
47.500000	95.897	13.7251
48.200001	95.876	13.3385
48.700001	95.859	13.0706
49.400002	95.835	12.7002
50.000000	95.817	12.3853
50.799999	95.797	11.9727
51.500000	95.784	11.6134
52.200001	95.770	11.2626
53.000000	95.753	10.9085
53.799999	95.748	10.6001
54.500000	95.756	10.3125
55.200001	95.770	9.9835
56.000000	95.785	9.5853
57.000000	95.796	9.0972
58.000000	95.793	8.6339
59.000000	95.776	8.2067
60.000000	95.747	7.7923
60.799999	95.718	7.4482
61.500000	95.690	7.1349
62.200001	95.662	6.8168
63.000000	95.636	6.4612
64.000000	95.613	6.0637
65.000000	95.605	5.7656
66.000000	95.617	5.5807
67.000000	95.646	5.5033
68.000000	95.687	5.4937
69.000000	95.729	5.4905
70.000000	95.771	5.3427
71.000000	95.778	4.7914
72.000000	95.688	4.0560
73.000000	95.533	3.6773
74.000000	95.404	3.6644
75.000000	95.337	3.6906
76.199997	95.315	3.5812
77.500000	95.329	3.3113
78.800003	95.355	2.9928
80.000000	95.376	2.7126
81.199997	95.384	2.4207
82.500000	95.371	2.0796
83.800003	95.342	1.7211
85.000000	95.312	1.3562
86.199997	95.280	0.9413
87.500000	95.240	0.4897
88.500000	95.206	0.2128
90.000000	95.161	-0.0519
91.199997	95.134	-0.1772
92.500000	95.112	-0.2932
93.800003	95.091	-0.4504
95.000000	95.068	-0.6395
96.199997	95.044	-0.8452
97.500000	95.019	-1.0618
98.800003	94.994	-1.2489
100.000000	94.968	-1.3695
101.500000	94.932	-1.4525
103.000000	94.897	-1.5354
104.400002	94.863	-1.6711
106.000000	94.827	-1.8702
107.500000	94.802	-2.0187
109.000000	94.785	-2.0942
110.599998	94.765	-2.1443
112.000000	94.738	-2.2621
113.800003	94.700	-2.6802
115.000000	94.694	-3.1887
117.199997	94.748	-4.6021
118.000000	94.771	-5.1791
120.599998	94.742	-6.0392
122.000000	94.689	-5.4814
124.099998	94.631	-4.2037
125.000000	94.609	-3.7606
126.500000	94.573	-3.2770
128.000000	94.549	-3.0729
131.500000	94.543	-2.9857
132.000000	94.545	-2.9682
134.000000	94.549	-2.9198
136.000000	94.537	-3.0594
138.000000	94.501	-3.3641
140.000000	94.458	-3.6027
143.000000	94.414	-3.7466
145.000000	94.383	-3.8207
147.500000	94.338	-3.9540
150.000000	94.301	-4.0864
152.500000	94.278	-4.1311
155.000000	94.264	-4.1611
157.500000	94.245	-4.2834
160.000000	94.222	-4.4548
162.500000	94.201	-4.6183
165.000000	94.175	-4.7598
167.500000	94.132	-4.8729
170.000000	94.071	-4.9417
172.500000	94.001	-4.9655
175.000000	93.932	-4.9686
177.500000	93.873	-4.9754
180.000000	93.832	-4.9937
182.500000	93.811	-5.0248
185.000000	93.806	-5.0674
187.500000	93.807	-5.1171
190.000000	93.807	-5.1704
192.500000	93.801	-5.2258
195.000000	93.789	-5.2726
197.500000	93.770	-5.2916
200.000000	93.747	-5.2738
203.000000	93.718	-5.2229
206.000000	93.693	-5.1747
209.000000	93.666	-5.1478
212.000000	93.632	-5.1420
214.000000	93.607	-5.1479
218.000000	93.556	-5.1534
220.000000	93.533	-5.1351
224.000000	93.497	-5.0677
227.000000	93.477	-5.0274
230.000000	93.459	-5.0072
233.000000	93.441	-4.9938
236.000000	93.421	-4.9758
240.000000	93.390	-4.9540
243.000000	93.362	-4.9431
247.000000	93.321	-4.9135
250.000000	93.290	-4.8597
254.000000	93.254	-4.7338
258.000000	93.229	-4.5855
262.000000	93.209	-4.4854
265.000000	93.192	-4.4458
269.000000	93.163	-4.3954
272.000000	93.141	-4.3362
276.000000	93.112	-4.2265
280.000000	93.089	-4.0988
285.000000	93.071	-3.9586
290.000000	93.062	-3.9133
295.000000	93.045	-3.9643
300.000000	93.016	-4.0129
304.000000	92.990	-4.0107
307.000000	92.971	-3.9901
311.000000	92.945	-3.9521
315.000000	92.915	-3.9102
320.000000	92.873	-3.8373
325.000000	92.831	-3.7225
330.000000	92.794	-3.5793
335.000000	92.759	-3.4349
340.000000	92.724	-3.3025
345.000000	92.688	-3.1734
350.000000	92.657	-3.0348
355.000000	92.631	-2.8896
360.000000	92.606	-2.7478
365.000000	92.576	-2.6107
370.000000	92.542	-2.4723
375.000000	92.508	-2.3274
382.000000	92.464	-2.1115
387.000000	92.434	-1.9482
395.000000	92.387	-1.6708
400.000000	92.357	-1.4895
406.000000	92.321	-1.2737
412.000000	92.283	-1.0630
418.000000	92.243	-0.8407
425.000000	92.201	-0.5411
431.000000	92.170	-0.2559
437.000000	92.144	0.0319
444.000000	92.117	0.3557
