* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 9, 2022 12:58:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN VX Pro Tanya L
* Measurement: TRN VX Pro Tanya L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.682	52.1703
20.299999	100.738	51.3841
20.600000	100.790	50.6025
20.900000	100.836	49.8254
21.200001	100.879	49.0555
21.400000	100.908	48.5485
21.799999	100.966	47.5534
22.000000	100.996	47.0665
22.400000	101.058	46.1142
22.700001	101.104	45.4174
23.000000	101.151	44.7330
23.299999	101.198	44.0586
23.600000	101.244	43.3926
24.000000	101.304	42.5161
24.299999	101.347	41.8673
24.700001	101.398	41.0156
25.000000	101.433	40.3879
25.400000	101.475	39.5666
25.799999	101.514	38.7617
26.200001	101.552	37.9708
26.500000	101.578	37.3870
26.900000	101.608	36.6245
27.200001	101.627	36.0686
27.600000	101.649	35.3524
28.000000	101.672	34.6626
28.500000	101.705	33.8195
29.000000	101.743	32.9688
29.500000	101.780	32.0971
30.000000	101.812	31.2181
30.400000	101.833	30.5280
30.700001	101.848	30.0250
31.100000	101.868	29.3746
31.500000	101.888	28.7427
32.000000	101.910	27.9678
32.500000	101.928	27.2020
33.000000	101.945	26.4447
33.500000	101.962	25.6968
34.000000	101.980	24.9565
34.500000	101.998	24.2232
35.000000	102.015	23.5005
35.500000	102.033	22.7939
36.000000	102.052	22.1053
36.500000	102.071	21.4319
37.000000	102.088	20.7708
37.500000	102.098	20.1244
38.200001	102.101	19.2566
38.700001	102.096	18.6664
39.500000	102.085	17.7542
40.000000	102.080	17.1903
40.599998	102.078	16.5154
41.200001	102.078	15.8466
41.799999	102.080	15.1875
42.500000	102.084	14.4303
43.099998	102.089	13.7923
43.700001	102.094	13.1686
44.400002	102.097	12.4600
45.000000	102.098	11.8641
45.500000	102.097	11.3730
46.200001	102.094	10.6965
46.799999	102.087	10.1322
47.500000	102.075	9.4925
48.200001	102.058	8.8674
48.700001	102.043	8.4269
49.400002	102.020	7.8171
50.000000	102.002	7.3005
50.799999	101.984	6.6206
51.500000	101.972	6.0364
52.200001	101.961	5.4655
53.000000	101.947	4.8310
53.799999	101.933	4.2185
54.500000	101.923	3.7023
55.200001	101.916	3.2009
