* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 26, 2022 7:13:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TRN Xuanwu R
* Measurement: TRN Xuanwu R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.235	-155.5741
20.299999	97.253	-156.2126
20.600000	97.270	-156.8399
20.900000	97.286	-157.4564
21.200001	97.300	-158.0614
21.400000	97.309	-158.4578
21.799999	97.325	-159.2328
22.000000	97.332	-159.6113
22.400000	97.347	-160.3509
22.700001	97.357	-160.8922
23.000000	97.366	-161.4240
23.299999	97.376	-161.9476
23.600000	97.385	-162.4639
24.000000	97.395	-163.1415
24.299999	97.403	-163.6417
24.700001	97.411	-164.2972
25.000000	97.417	-164.7801
25.400000	97.423	-165.4120
25.799999	97.428	-166.0303
26.200001	97.432	-166.6355
26.500000	97.434	-167.0812
26.900000	97.437	-167.6646
27.200001	97.437	-168.0937
27.600000	97.437	-168.6534
28.000000	97.437	-169.1985
28.500000	97.435	-169.8613
29.000000	97.434	-170.5112
29.500000	97.431	-171.1550
30.000000	97.426	-171.7914
30.400000	97.420	-172.2879
30.700001	97.415	-172.6494
31.100000	97.408	-173.1159
31.500000	97.402	-173.5692
32.000000	97.397	-174.1304
32.500000	97.393	-174.6989
33.000000	97.388	-175.2785
33.500000	97.380	-175.8627
34.000000	97.370	-176.4423
34.500000	97.357	-177.0094
35.000000	97.340	-177.5570
35.500000	97.322	-178.0762
36.000000	97.302	-178.5612
36.500000	97.283	-179.0123
37.000000	97.267	-179.4368
37.500000	97.253	-179.8441
38.200001	97.237	179.5939
38.700001	97.227	179.1861
39.500000	97.209	178.5162
40.000000	97.195	178.0969
40.599998	97.176	177.6055
41.200001	97.156	177.1269
41.799999	97.138	176.6523
42.500000	97.117	176.0957
43.099998	97.099	175.6147
43.700001	97.083	175.1283
44.400002	97.063	174.5536
45.000000	97.045	174.0635
45.500000	97.029	173.6677
46.200001	97.008	173.1400
46.799999	96.994	172.6956
47.500000	96.980	172.1427
48.200001	96.958	171.5432
48.700001	96.934	171.1190
49.400002	96.889	170.5900
50.000000	96.848	170.2083
50.799999	96.796	169.7559
51.500000	96.750	169.3862
52.200001	96.703	169.0603
53.000000	96.656	168.7504
53.799999	96.623	168.4535
54.500000	96.603	168.1518
55.200001	96.587	167.7964
56.000000	96.567	167.3434
57.000000	96.539	166.7504
58.000000	96.507	166.1580
59.000000	96.470	165.5851
60.000000	96.428	165.0443
60.799999	96.388	164.6447
61.500000	96.349	164.3256
62.200001	96.308	164.0370
63.000000	96.259	163.7489
64.000000	96.204	163.4418
65.000000	96.164	163.1004
66.000000	96.129	162.6365
67.000000	96.086	162.0972
68.000000	96.036	161.5609
69.000000	95.983	161.0722
70.000000	95.932	160.6546
71.000000	95.889	160.2829
72.000000	95.851	159.9123
73.000000	95.813	159.5296
74.000000	95.772	159.1499
75.000000	95.729	158.7855
76.199997	95.681	158.3582
77.500000	95.633	157.8659
78.800003	95.577	157.3277
80.000000	95.508	156.8915
81.199997	95.437	156.5968
82.500000	95.373	156.3090
83.800003	95.311	155.9343
85.000000	95.247	155.5412
86.199997	95.179	155.1478
87.500000	95.108	154.7385
88.500000	95.057	154.4391
90.000000	94.985	154.0287
91.199997	94.929	153.7358
92.500000	94.869	153.4397
93.800003	94.805	153.1487
95.000000	94.744	152.8722
96.199997	94.681	152.5827
97.500000	94.612	152.2679
98.800003	94.545	151.9794
100.000000	94.484	151.7560
101.500000	94.408	151.5431
103.000000	94.330	151.3792
104.400002	94.256	151.2153
106.000000	94.174	150.9556
107.500000	94.103	150.6537
109.000000	94.040	150.3618
110.599998	93.973	150.1082
112.000000	93.899	149.9218
113.800003	93.770	149.6063
115.000000	93.665	149.2173
117.199997	93.438	148.0538
118.000000	93.349	147.6333
120.599998	93.150	147.3248
122.000000	93.165	147.6920
124.099998	93.257	148.2289
125.000000	93.285	148.4227
126.500000	93.302	148.6935
128.000000	93.288	148.8308
131.500000	93.161	148.2574
132.000000	93.132	148.1110
134.000000	93.006	147.5958
136.000000	92.892	147.2916
138.000000	92.803	147.1793
140.000000	92.730	147.1702
143.000000	92.633	147.0336
145.000000	92.553	146.7025
147.500000	92.416	146.3658
150.000000	92.283	146.3809
152.500000	92.182	146.4298
155.000000	92.094	146.3201
157.500000	92.008	146.1850
160.000000	91.921	146.1074
162.500000	91.823	146.0443
165.000000	91.717	145.9529
167.500000	91.614	145.8515
170.000000	91.518	145.7891
172.500000	91.423	145.7819
175.000000	91.319	145.7866
177.500000	91.207	145.7820
180.000000	91.103	145.8062
182.500000	91.023	145.8538
185.000000	90.956	145.8936
187.500000	90.887	145.9131
190.000000	90.823	145.9031
192.500000	90.768	145.8815
195.000000	90.702	145.9212
197.500000	90.607	146.1006
200.000000	90.497	146.3805
203.000000	90.375	146.7215
206.000000	90.279	147.0194
209.000000	90.201	147.2630
212.000000	90.130	147.4484
214.000000	90.084	147.5540
218.000000	89.994	147.7615
220.000000	89.951	147.8595
224.000000	89.868	148.0120
227.000000	89.806	148.0798
230.000000	89.739	148.1207
233.000000	89.669	148.1556
236.000000	89.595	148.1962
240.000000	89.491	148.2618
243.000000	89.409	148.3280
247.000000	89.293	148.4664
250.000000	89.204	148.6259
254.000000	89.090	148.9197
258.000000	88.988	149.2609
262.000000	88.898	149.5784
265.000000	88.833	149.7933
269.000000	88.745	150.0882
272.000000	88.682	150.3440
276.000000	88.608	150.7259
280.000000	88.544	151.1019
285.000000	88.478	151.5015
290.000000	88.418	151.7752
295.000000	88.348	151.9245
300.000000	88.259	152.0549
304.000000	88.181	152.1950
307.000000	88.121	152.3211
311.000000	88.041	152.5058
315.000000	87.961	152.7034
320.000000	87.857	152.9851
325.000000	87.754	153.3253
330.000000	87.656	153.7068
335.000000	87.564	154.0960
340.000000	87.476	154.4736
345.000000	87.389	154.8448
350.000000	87.301	155.2267
355.000000	87.216	155.6255
360.000000	87.132	156.0361
365.000000	87.051	156.4524
370.000000	86.971	156.8751
375.000000	86.893	157.3078
382.000000	86.788	157.9289
387.000000	86.715	158.3792
395.000000	86.603	159.1098
400.000000	86.536	159.5719
406.000000	86.457	160.1228
412.000000	86.380	160.6647
418.000000	86.302	161.2155
425.000000	86.214	161.8956
431.000000	86.145	162.5032
437.000000	86.083	163.1078
444.000000	86.018	163.7913
450.000000	85.967	164.3431
455.000000	85.926	164.7622
462.000000	85.862	165.2995
468.000000	85.798	165.7665
475.000000	85.721	166.3591
482.000000	85.646	166.9846
487.000000	85.594	167.4374
494.000000	85.519	168.0941
500.000000	85.457	168.6900
508.000000	85.384	169.4976
515.000000	85.324	170.1859
522.000000	85.264	170.8682
530.000000	85.196	171.6732
538.000000	85.131	172.5076
545.000000	85.079	173.2439
552.000000	85.030	173.9802
560.000000	84.979	174.8123
570.000000	84.917	175.8339
580.000000	84.854	176.8618
590.000000	84.794	177.9011
600.000000	84.737	178.9506
608.000000	84.697	179.7967
615.000000	84.663	-179.4615
