* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 23, 2021 1:02:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Oxygen L
* Measurement: Oxygen L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.2	-142.1546
20.299999	98.2	-142.8667
20.600000	98.3	-143.5671
20.900000	98.3	-144.2541
21.200001	98.3	-144.9256
21.400000	98.3	-145.3639
21.799999	98.4	-146.2186
22.000000	98.4	-146.6356
22.400000	98.4	-147.4516
22.700001	98.4	-148.0506
23.000000	98.4	-148.6404
23.299999	98.4	-149.2218
23.600000	98.5	-149.7947
24.000000	98.5	-150.5452
24.299999	98.5	-151.0980
24.700001	98.5	-151.8226
25.000000	98.5	-152.3569
25.400000	98.5	-153.0558
25.799999	98.5	-153.7360
26.200001	98.5	-154.3948
26.500000	98.5	-154.8760
26.900000	98.5	-155.5045
27.200001	98.5	-155.9688
27.600000	98.5	-156.5782
28.000000	98.5	-157.1676
28.500000	98.5	-157.8528
29.000000	98.5	-158.4627
29.500000	98.5	-159.0096
30.000000	98.5	-159.5355
30.400000	98.5	-159.9702
30.700001	98.5	-160.3132
31.100000	98.6	-160.7955
31.500000	98.6	-161.3030
32.000000	98.6	-161.9609
32.500000	98.6	-162.6270
33.000000	98.6	-163.2803
33.500000	98.6	-163.9077
34.000000	98.6	-164.5074
34.500000	98.6	-165.0878
35.000000	98.6	-165.6561
35.500000	98.6	-166.2129
36.000000	98.6	-166.7545
36.500000	98.5	-167.2794
37.000000	98.5	-167.7893
37.500000	98.5	-168.2855
38.200001	98.5	-168.9570
38.700001	98.5	-169.4209
39.500000	98.5	-170.1373
40.000000	98.5	-170.5643
40.599998	98.4	-171.0494
41.200001	98.4	-171.5106
41.799999	98.4	-171.9673
42.500000	98.4	-172.5186
43.099998	98.4	-173.0093
