* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 19, 2022 4:19:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Oxygen Set 2 L
* Measurement: Oxygen L Feb 19
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.167	39.3116
20.299999	97.199	38.5953
20.600000	97.234	37.8716
20.900000	97.269	37.1342
21.200001	97.302	36.3853
21.400000	97.323	35.8841
21.799999	97.362	34.8877
22.000000	97.379	34.3973
22.400000	97.410	33.4393
22.700001	97.431	32.7417
23.000000	97.450	32.0611
23.299999	97.467	31.3966
23.600000	97.482	30.7485
24.000000	97.499	29.9123
24.299999	97.509	29.3088
24.700001	97.520	28.5380
25.000000	97.528	27.9850
25.400000	97.538	27.2770
25.799999	97.550	26.5947
26.200001	97.563	25.9281
26.500000	97.573	25.4330
26.900000	97.587	24.7744
27.200001	97.598	24.2795
27.600000	97.611	23.6184
28.000000	97.623	22.9579
28.500000	97.636	22.1377
29.000000	97.647	21.3253
29.500000	97.657	20.5190
30.000000	97.667	19.7176
30.400000	97.673	19.0837
30.700001	97.677	18.6158
31.100000	97.681	18.0056
31.500000	97.685	17.4121
32.000000	97.689	16.6920
32.500000	97.692	15.9935
33.000000	97.693	15.3185
33.500000	97.692	14.6701
34.000000	97.691	14.0464
34.500000	97.688	13.4384
35.000000	97.684	12.8387
35.500000	97.675	12.2490
36.000000	97.662	11.6779
36.500000	97.646	11.1300
37.000000	97.629	10.5998
37.500000	97.613	10.0752
38.200001	97.589	9.3337
38.700001	97.570	8.7991
39.500000	97.538	7.9542
40.000000	97.518	7.4412
40.599998	97.497	6.8406
41.200001	97.479	6.2457
41.799999	97.464	5.6469
42.500000	97.446	4.9486
43.099998	97.428	4.3684
43.700001	97.410	3.8157
44.400002	97.389	3.2047
45.000000	97.370	2.7070
45.500000	97.355	2.3090
46.200001	97.334	1.7665
46.799999	97.317	1.3029
47.500000	97.294	0.7621
48.200001	97.269	0.2306
48.700001	97.251	-0.1448
49.400002	97.224	-0.6731
50.000000	97.200	-1.1272
50.799999	97.163	-1.7182
51.500000	97.129	-2.2079
52.200001	97.095	-2.6622
53.000000	97.060	-3.1395
53.799999	97.032	-3.6068
54.500000	97.012	-4.0341
55.200001	96.991	-4.4748
56.000000	96.966	-4.9799
57.000000	96.933	-5.6132
58.000000	96.896	-6.2455
59.000000	96.854	-6.8641
60.000000	96.806	-7.4679
60.799999	96.762	-7.9282
61.500000	96.719	-8.3010
62.200001	96.676	-8.6422
63.000000	96.627	-9.0040
64.000000	96.570	-9.4420
65.000000	96.512	-9.8731
66.000000	96.451	-10.2514
67.000000	96.395	-10.5530
68.000000	96.348	-10.8472
69.000000	96.292	-11.1199
70.000000	96.233	-11.2310
71.000000	96.198	-11.2196
72.000000	96.191	-11.2800
73.000000	96.195	-11.4941
74.000000	96.200	-11.8531
75.000000	96.197	-12.3182
76.199997	96.180	-12.9418
77.500000	96.147	-13.6127
78.800003	96.105	-14.2043
80.000000	96.067	-14.6749
81.199997	96.032	-15.1289
82.500000	95.991	-15.6667
83.800003	95.934	-16.2276
85.000000	95.870	-16.6887
86.199997	95.808	-17.0891
87.500000	95.744	-17.5209
88.500000	95.693	-17.8549
90.000000	95.615	-18.3043
91.199997	95.557	-18.6273
92.500000	95.500	-18.9672
93.800003	95.445	-19.3039
95.000000	95.395	-19.6095
96.199997	95.345	-19.9044
97.500000	95.290	-20.2058
98.800003	95.233	-20.4864
