* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 12, 2022 12:34:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanya Open Back
* Measurement: Tanya Open Back
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.429	-119.1026
20.299999	92.503	-119.8185
20.600000	92.571	-120.5360
20.900000	92.634	-121.2511
21.200001	92.692	-121.9565
21.400000	92.731	-122.4178
21.799999	92.810	-123.3172
22.000000	92.850	-123.7557
22.400000	92.934	-124.6154
22.700001	92.999	-125.2512
23.000000	93.063	-125.8843
23.299999	93.128	-126.5159
23.600000	93.190	-127.1455
24.000000	93.270	-127.9780
24.299999	93.327	-128.5932
24.700001	93.396	-129.3973
25.000000	93.445	-129.9864
25.400000	93.506	-130.7533
25.799999	93.565	-131.5024
26.200001	93.623	-132.2390
26.500000	93.666	-132.7864
26.900000	93.719	-133.5115
27.200001	93.756	-134.0512
27.600000	93.800	-134.7623
28.000000	93.843	-135.4594
28.500000	93.895	-136.3077
29.000000	93.949	-137.1341
29.500000	94.004	-137.9462
30.000000	94.057	-138.7486
30.400000	94.098	-139.3826
30.700001	94.130	-139.8522
31.100000	94.171	-140.4697
31.500000	94.211	-141.0779
32.000000	94.258	-141.8280
32.500000	94.299	-142.5710
33.000000	94.338	-143.3087
33.500000	94.375	-144.0390
34.000000	94.412	-144.7572
34.500000	94.449	-145.4611
35.000000	94.485	-146.1523
35.500000	94.523	-146.8354
36.000000	94.561	-147.5111
36.500000	94.598	-148.1739
37.000000	94.631	-148.8160
37.500000	94.660	-149.4356
38.200001	94.694	-150.2800
38.700001	94.712	-150.8793
39.500000	94.734	-151.8363
40.000000	94.747	-152.4255
40.599998	94.764	-153.1172
41.200001	94.784	-153.7911
41.799999	94.806	-154.4483
42.500000	94.833	-155.1962
43.099998	94.858	-155.8258
43.700001	94.882	-156.4498
44.400002	94.906	-157.1718
45.000000	94.921	-157.7807
45.500000	94.931	-158.2775
46.200001	94.942	-158.9565
46.799999	94.950	-159.5267
47.500000	94.956	-160.1829
48.200001	94.956	-160.8302
48.700001	94.954	-161.2863
49.400002	94.950	-161.9158
50.000000	94.950	-162.4479
50.799999	94.954	-163.1484
51.500000	94.961	-163.7493
52.200001	94.966	-164.3265
53.000000	94.969	-164.9435
53.799999	94.974	-165.5258
54.500000	94.982	-166.0305
55.200001	94.993	-166.5429
56.000000	95.005	-167.1341
57.000000	95.014	-167.8717
58.000000	95.017	-168.6047
59.000000	95.014	-169.3313
60.000000	95.007	-170.0582
60.799999	94.999	-170.6405
61.500000	94.990	-171.1429
62.200001	94.980	-171.6324
63.000000	94.971	-172.1732
64.000000	94.962	-172.8212
65.000000	94.954	-173.4455
66.000000	94.945	-174.0574
67.000000	94.936	-174.6532
68.000000	94.926	-175.2211
69.000000	94.914	-175.7615
70.000000	94.900	-176.2931
71.000000	94.881	-176.8353
72.000000	94.856	-177.3714
73.000000	94.833	-177.8772
74.000000	94.817	-178.3757
75.000000	94.807	-178.9046
76.199997	94.789	-179.5710
77.500000	94.764	179.7264
78.800003	94.737	179.0672
80.000000	94.713	178.4754
81.199997	94.688	177.8770
82.500000	94.657	177.2112
83.800003	94.622	176.5321
85.000000	94.585	175.9104
86.199997	94.543	175.3151
87.500000	94.495	174.7234
88.500000	94.455	174.3214
90.000000	94.399	173.8011
91.199997	94.360	173.4212
92.500000	94.322	173.0018
93.800003	94.283	172.5586
95.000000	94.245	172.1462
96.199997	94.207	171.7428
97.500000	94.165	171.3071
98.800003	94.121	170.8710
100.000000	94.078	170.4852
101.500000	94.024	170.0430
103.000000	93.977	169.6385
104.400002	93.940	169.2719
106.000000	93.900	168.8413
107.500000	93.856	168.4216
109.000000	93.805	167.9899
110.599998	93.746	167.5157
112.000000	93.695	167.0980
113.800003	93.630	166.6014
115.000000	93.585	166.3333
117.199997	93.500	166.0300
118.000000	93.470	165.9628
120.599998	93.380	165.6323
122.000000	93.328	165.3139
124.099998	93.250	164.7667
125.000000	93.222	164.5382
126.500000	93.183	164.1860
128.000000	93.151	163.8691
131.500000	93.045	163.1821
132.000000	93.024	163.0907
134.000000	92.936	162.7386
136.000000	92.848	162.3920
138.000000	92.764	162.0592
140.000000	92.680	161.7565
143.000000	92.555	161.3189
145.000000	92.474	161.0000
147.500000	92.373	160.6262
150.000000	92.271	160.3901
152.500000	92.163	160.2719
