* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 12, 2022 12:32:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanya Open Back Olina
* Measurement: Tanya Open Back Olina
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.532	-122.4126
20.299999	93.596	-123.1857
20.600000	93.654	-123.9416
20.900000	93.705	-124.6771
21.200001	93.755	-125.3893
21.400000	93.788	-125.8516
21.799999	93.858	-126.7513
22.000000	93.896	-127.1922
22.400000	93.973	-128.0637
22.700001	94.032	-128.7129
23.000000	94.092	-129.3601
23.299999	94.149	-130.0042
23.600000	94.206	-130.6437
24.000000	94.278	-131.4863
24.299999	94.329	-132.1094
24.700001	94.392	-132.9272
25.000000	94.436	-133.5301
25.400000	94.489	-134.3189
25.799999	94.540	-135.0890
26.200001	94.590	-135.8406
26.500000	94.627	-136.3939
26.900000	94.673	-137.1212
27.200001	94.705	-137.6614
27.600000	94.746	-138.3767
28.000000	94.784	-139.0860
28.500000	94.832	-139.9614
29.000000	94.880	-140.8229
29.500000	94.928	-141.6721
30.000000	94.973	-142.5091
30.400000	95.007	-143.1663
30.700001	95.033	-143.6496
31.100000	95.066	-144.2792
31.500000	95.100	-144.8931
32.000000	95.138	-145.6441
32.500000	95.173	-146.3854
33.000000	95.207	-147.1224
33.500000	95.240	-147.8557
34.000000	95.272	-148.5842
34.500000	95.304	-149.3065
35.000000	95.335	-150.0200
35.500000	95.365	-150.7209
36.000000	95.396	-151.4065
36.500000	95.426	-152.0758
37.000000	95.453	-152.7304
37.500000	95.476	-153.3727
38.200001	95.498	-154.2554
38.700001	95.508	-154.8759
39.500000	95.516	-155.8512
40.000000	95.522	-156.4501
40.599998	95.533	-157.1593
41.200001	95.547	-157.8562
41.799999	95.561	-158.5345
42.500000	95.580	-159.2957
43.099998	95.598	-159.9259
43.700001	95.616	-160.5432
44.400002	95.632	-161.2488
45.000000	95.642	-161.8379
45.500000	95.648	-162.3179
46.200001	95.654	-162.9792
46.799999	95.657	-163.5421
47.500000	95.656	-164.1960
