* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 6, 2023 11:57:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tangzu Heyday L
* Measurement: Tangzu Heyday L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.979	-164.5059
20.299999	92.980	-165.0422
20.600000	92.982	-165.5629
20.900000	92.984	-166.0742
21.200001	92.987	-166.5822
21.400000	92.988	-166.9211
21.799999	92.990	-167.5981
22.000000	92.989	-167.9342
22.400000	92.985	-168.5936
22.700001	92.980	-169.0701
23.000000	92.973	-169.5267
23.299999	92.967	-169.9647
23.600000	92.963	-170.3891
24.000000	92.958	-170.9449
24.299999	92.956	-171.3633
24.700001	92.953	-171.9292
25.000000	92.950	-172.3582
25.400000	92.942	-172.9280
25.799999	92.931	-173.4831
26.200001	92.918	-174.0149
26.500000	92.908	-174.3976
26.900000	92.894	-174.8890
27.200001	92.884	-175.2457
27.600000	92.871	-175.7076
28.000000	92.858	-176.1561
28.500000	92.843	-176.7043
29.000000	92.829	-177.2528
29.500000	92.814	-177.8118
30.000000	92.795	-178.3718
30.400000	92.775	-178.8032
30.700001	92.759	-179.1091
31.100000	92.739	-179.4921
31.500000	92.721	-179.8562
32.000000	92.704	179.6892
32.500000	92.689	179.2113
33.000000	92.673	178.7098
33.500000	92.653	178.2069
34.000000	92.630	177.7284
34.500000	92.607	177.2827
35.000000	92.587	176.8582
35.500000	92.569	176.4342
36.000000	92.551	176.0000
36.500000	92.529	175.5630
37.000000	92.503	175.1422
37.500000	92.473	174.7512
38.200001	92.430	174.2471
38.700001	92.399	173.8990
39.500000	92.346	173.3348
40.000000	92.308	172.9807
40.599998	92.257	172.5704
41.200001	92.200	172.1998
41.799999	92.141	171.8920
42.500000	92.075	171.6361
43.099998	92.029	171.5176
43.700001	92.001	171.4774
44.400002	92.003	171.4359
45.000000	92.030	171.2729
45.500000	92.056	170.9807
46.200001	92.072	170.3628
46.799999	92.051	169.7646
47.500000	91.993	169.1513
48.200001	91.916	168.6815
48.700001	91.859	168.4124
49.400002	91.781	168.0822
50.000000	91.719	167.8065
50.799999	91.647	167.3996
51.500000	91.590	166.9944
52.200001	91.540	166.5704
53.000000	91.494	166.0828
53.799999	91.459	165.5918
54.500000	91.432	165.1911
55.200001	91.406	164.8593
56.000000	91.379	164.5779
57.000000	91.344	164.3475
58.000000	91.307	164.1929
59.000000	91.264	164.0333
60.000000	91.214	163.8173
60.799999	91.172	163.5860
61.500000	91.136	163.3408
62.200001	91.101	163.0733
63.000000	91.062	162.7752
64.000000	91.016	162.4671
65.000000	90.965	162.2920
66.000000	90.903	162.3315
67.000000	90.837	162.6335
68.000000	90.791	163.0547
69.000000	90.765	163.2286
70.000000	90.718	162.9948
71.000000	90.636	162.5573
72.000000	90.553	162.0179
73.000000	90.480	161.3416
74.000000	90.409	160.6614
75.000000	90.348	160.1804
76.199997	90.312	159.9436
77.500000	90.321	159.8757
78.800003	90.335	159.7643
80.000000	90.320	159.5978
81.199997	90.277	159.3711
82.500000	90.204	159.0538
83.800003	90.113	158.6939
85.000000	90.027	158.4003
86.199997	89.957	158.1806
87.500000	89.907	157.9431
88.500000	89.878	157.7076
90.000000	89.825	157.3160
91.199997	89.764	157.0907
92.500000	89.691	157.0040
93.800003	89.622	157.0113
95.000000	89.560	157.0333
96.199997	89.495	157.0669
97.500000	89.423	157.1243
98.800003	89.354	157.1881
100.000000	89.293	157.2357
101.500000	89.220	157.2575
103.000000	89.154	157.2217
104.400002	89.101	157.1471
106.000000	89.048	157.0783
107.500000	89.005	157.0637
109.000000	88.953	157.0495
110.599998	88.867	156.9844
112.000000	88.773	156.8679
113.800003	88.676	156.6180
115.000000	88.658	156.3876
117.199997	88.731	155.9246
118.000000	88.772	155.7801
120.599998	88.787	155.6956
122.000000	88.696	156.0692
124.099998	88.513	156.7366
125.000000	88.438	156.8978
126.500000	88.332	156.9781
128.000000	88.263	156.9309
131.500000	88.187	156.9821
132.000000	88.177	157.0253
134.000000	88.125	157.1485
136.000000	88.054	157.0767
138.000000	87.981	156.8739
140.000000	87.918	156.6732
