* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 6, 2023 11:59:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tangzu Heyday R
* Measurement: Tangzu Heyday R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.996	-162.8995
20.299999	92.997	-163.4205
20.600000	93.002	-163.9178
20.900000	93.012	-164.4097
21.200001	93.023	-164.9129
21.400000	93.031	-165.2583
21.799999	93.044	-165.9649
22.000000	93.049	-166.3193
22.400000	93.052	-167.0101
22.700001	93.050	-167.4994
23.000000	93.048	-167.9588
23.299999	93.047	-168.3937
23.600000	93.047	-168.8127
24.000000	93.048	-169.3611
24.299999	93.049	-169.7717
24.700001	93.049	-170.3185
25.000000	93.046	-170.7234
25.400000	93.040	-171.2496
25.799999	93.032	-171.7576
26.200001	93.023	-172.2522
26.500000	93.015	-172.6189
26.900000	93.004	-173.1060
27.200001	92.994	-173.4696
27.600000	92.979	-173.9483
28.000000	92.962	-174.4143
28.500000	92.940	-174.9747
29.000000	92.919	-175.5143
29.500000	92.902	-176.0441
30.000000	92.888	-176.5772
30.400000	92.878	-177.0131
30.700001	92.871	-177.3466
31.100000	92.860	-177.7956
31.500000	92.847	-178.2395
32.000000	92.827	-178.7656
32.500000	92.806	-179.2417
33.000000	92.788	-179.6695
33.500000	92.775	179.9330
34.000000	92.765	179.5465
34.500000	92.758	179.1598
35.000000	92.752	178.7635
35.500000	92.746	178.3419
36.000000	92.736	177.8837
36.500000	92.719	177.3958
37.000000	92.692	176.9035
37.500000	92.658	176.4289
38.200001	92.604	175.8040
38.700001	92.563	175.3828
39.500000	92.495	174.7748
40.000000	92.456	174.4473
40.599998	92.419	174.0878
41.200001	92.391	173.7334
41.799999	92.368	173.3904
42.500000	92.347	173.0470
43.099998	92.340	172.8034
43.700001	92.345	172.5600
44.400002	92.359	172.2218
45.000000	92.369	171.8737
45.500000	92.373	171.5503
46.200001	92.367	171.0619
46.799999	92.349	170.6279
47.500000	92.310	170.1455
48.200001	92.257	169.7501
48.700001	92.217	169.5425
49.400002	92.169	169.3336
50.000000	92.138	169.1799
50.799999	92.107	168.9697
51.500000	92.087	168.7847
52.200001	92.072	168.5737
53.000000	92.050	168.2506
53.799999	92.007	167.8792
54.500000	91.948	167.5963
55.200001	91.878	167.3812
56.000000	91.795	167.1815
57.000000	91.696	166.9034
58.000000	91.608	166.5217
59.000000	91.537	166.0156
60.000000	91.484	165.3922
60.799999	91.450	164.8704
61.500000	91.426	164.4509
62.200001	91.406	164.0933
63.000000	91.385	163.7755
64.000000	91.360	163.5007
65.000000	91.324	163.2943
66.000000	91.262	163.1296
67.000000	91.173	163.0613
68.000000	91.085	163.1186
69.000000	91.034	163.1327
70.000000	91.011	162.8521
71.000000	90.977	162.3362
72.000000	90.922	161.9049
73.000000	90.874	161.6732
74.000000	90.841	161.5028
75.000000	90.798	161.3340
76.199997	90.730	161.2266
77.500000	90.664	161.1881
78.800003	90.623	160.9668
80.000000	90.581	160.5503
81.199997	90.526	160.1208
82.500000	90.464	159.7473
83.800003	90.401	159.4662
85.000000	90.344	159.2386
86.199997	90.285	158.9622
87.500000	90.209	158.6357
88.500000	90.147	158.4383
90.000000	90.066	158.2166
91.199997	90.008	158.0390
92.500000	89.940	157.8574
93.800003	89.872	157.7077
95.000000	89.811	157.5823
96.199997	89.753	157.4685
97.500000	89.689	157.3993
98.800003	89.621	157.4291
100.000000	89.559	157.5049
101.500000	89.485	157.5427
103.000000	89.415	157.4500
104.400002	89.358	157.3210
106.000000	89.308	157.2979
107.500000	89.267	157.4740
109.000000	89.222	157.7263
110.599998	89.170	157.8056
112.000000	89.150	157.6105
113.800003	89.239	157.3240
115.000000	89.420	157.4759
117.199997	90.017	158.5776
118.000000	90.255	158.8884
120.599998	90.501	158.1878
122.000000	90.163	157.6259
124.099998	89.419	157.4638
125.000000	89.141	157.3990
126.500000	88.809	157.1576
128.000000	88.627	156.9119
131.500000	88.460	156.8707
132.000000	88.441	156.8787
134.000000	88.361	156.7748
136.000000	88.285	156.5103
138.000000	88.216	156.3314
140.000000	88.134	156.3815
143.000000	87.964	156.6280
145.000000	87.840	156.6966
147.500000	87.700	156.8094
150.000000	87.609	157.1179
152.500000	87.561	157.3709
155.000000	87.521	157.4891
157.500000	87.489	157.5164
160.000000	87.459	157.4918
162.500000	87.423	157.5616
165.000000	87.380	157.7563
167.500000	87.331	158.0065
170.000000	87.280	158.3035
172.500000	87.224	158.6732
175.000000	87.159	159.0742
177.500000	87.093	159.4005
180.000000	87.035	159.6129
182.500000	86.993	159.7705
185.000000	86.962	159.9369
187.500000	86.934	160.1268
190.000000	86.909	160.2796
192.500000	86.882	160.3339
195.000000	86.853	160.3125
197.500000	86.825	160.2857
200.000000	86.798	160.3123
203.000000	86.766	160.4326
206.000000	86.732	160.5927
209.000000	86.691	160.7367
212.000000	86.642	160.8575
214.000000	86.603	160.9376
218.000000	86.521	161.1402
220.000000	86.482	161.2690
224.000000	86.414	161.5645
227.000000	86.370	161.8138
230.000000	86.330	162.0860
233.000000	86.289	162.3394
236.000000	86.243	162.5150
240.000000	86.176	162.6601
243.000000	86.127	162.7828
247.000000	86.063	163.0106
250.000000	86.016	163.2287
254.000000	85.958	163.5824
258.000000	85.910	163.9642
262.000000	85.869	164.2963
265.000000	85.838	164.5070
269.000000	85.793	164.7808
272.000000	85.760	165.0058
276.000000	85.719	165.3394
280.000000	85.683	165.6960
285.000000	85.649	166.1274
290.000000	85.625	166.4738
295.000000	85.595	166.7211
300.000000	85.551	166.9583
304.000000	85.513	167.1857
307.000000	85.484	167.3735
311.000000	85.448	167.6286
315.000000	85.411	167.8787
320.000000	85.364	168.2031
325.000000	85.320	168.5652
330.000000	85.281	168.9506
335.000000	85.248	169.3307
340.000000	85.218	169.6895
345.000000	85.186	170.0335
350.000000	85.153	170.3806
355.000000	85.120	170.7362
360.000000	85.089	171.0951
365.000000	85.061	171.4528
370.000000	85.033	171.8116
375.000000	85.007	172.1739
382.000000	84.973	172.6833
387.000000	84.950	173.0449
395.000000	84.916	173.6220
400.000000	84.897	173.9827
406.000000	84.876	174.4079
412.000000	84.856	174.8197
418.000000	84.835	175.2332
425.000000	84.811	175.7455
431.000000	84.797	176.2044
437.000000	84.788	176.6542
444.000000	84.783	177.1490
450.000000	84.784	177.5316
455.000000	84.785	177.8041
462.000000	84.780	178.1306
468.000000	84.766	178.4133
475.000000	84.746	178.7869
482.000000	84.727	179.1887
487.000000	84.714	179.4783
494.000000	84.693	179.9013
500.000000	84.677	-179.7067
508.000000	84.662	-179.1743
515.000000	84.653	-178.7296
522.000000	84.642	-178.2944
530.000000	84.629	-177.7791
538.000000	84.619	-177.2436
545.000000	84.614	-176.7740
552.000000	84.612	-176.3077
560.000000	84.613	-175.7886
570.000000	84.614	-175.1693
580.000000	84.612	-174.5559
590.000000	84.611	-173.9293
600.000000	84.612	-173.2783
608.000000	84.616	-172.7508
615.000000	84.621	-172.2951
622.000000	84.625	-171.8354
630.000000	84.631	-171.2859
640.000000	84.645	-170.5697
650.000000	84.668	-169.8500
660.000000	84.703	-169.1538
670.000000	84.746	-168.5369
680.000000	84.785	-168.0023
690.000000	84.816	-167.4913
700.000000	84.841	-166.9594
710.000000	84.867	-166.3974
720.000000	84.896	-165.8251
730.000000	84.928	-165.2531
740.000000	84.960	-164.6772
750.000000	84.994	-164.0954
762.000000	85.039	-163.3899
775.000000	85.092	-162.6203
788.000000	85.150	-161.8490
800.000000	85.209	-161.1248
812.000000	85.278	-160.3921
825.000000	85.368	-159.6502
838.000000	85.462	-159.0254
850.000000	85.543	-158.5257
862.000000	85.617	-158.0410
875.000000	85.694	-157.4992
885.000000	85.754	-157.0698
900.000000	85.847	-156.4267
912.000000	85.924	-155.9127
925.000000	86.013	-155.3595
938.000000	86.106	-154.8298
950.000000	86.195	-154.3739
962.000000	86.283	-153.9436
975.000000	86.377	-153.4922
988.000000	86.472	-153.0487
1000.000000	86.560	-152.6395
1015.000000	86.675	-152.1110
1030.000000	86.801	-151.5820
1044.000000	86.931	-151.1478
1060.000000	87.082	-150.7783
1075.000000	87.217	-150.5248
1090.000000	87.344	-150.3080
1106.000000	87.474	-150.0958
1120.000000	87.584	-149.9214
1138.000000	87.723	-149.7031
1150.000000	87.814	-149.5569
1172.000000	87.982	-149.2773
1180.000000	88.046	-149.1711
1206.000000	88.265	-148.8796
1220.000000	88.386	-148.8129
1241.000000	88.558	-148.8193
1250.000000	88.626	-148.8388
1265.000000	88.735	-148.8721
1280.000000	88.840	-148.8985
1315.000000	89.080	-148.9295
1320.000000	89.114	-148.9348
1340.000000	89.249	-148.9660
1360.000000	89.379	-148.9983
1380.000000	89.506	-149.0013
1400.000000	89.638	-148.9540
1430.000000	89.859	-148.8900
1450.000000	90.016	-148.9474
1475.000000	90.206	-149.1160
1500.000000	90.389	-149.3323
1525.000000	90.569	-149.5572
1550.000000	90.751	-149.7710
1575.000000	90.945	-149.9968
1600.000000	91.151	-150.3302
1625.000000	91.355	-150.8255
1650.000000	91.546	-151.4359
1675.000000	91.726	-152.1001
1700.000000	91.897	-152.7898
1725.000000	92.063	-153.5028
1750.000000	92.223	-154.2247
1775.000000	92.383	-154.9335
1800.000000	92.552	-155.6560
1825.000000	92.731	-156.4787
1850.000000	92.909	-157.4517
1875.000000	93.078	-158.5636
1900.000000	93.233	-159.7802
1925.000000	93.374	-161.0685
1950.000000	93.507	-162.4206
1975.000000	93.634	-163.8765
2000.000000	93.745	-165.4835
2030.000000	93.844	-167.6027
2060.000000	93.890	-169.8470
2090.000000	93.877	-172.1002
2120.000000	93.801	-174.2165
2140.000000	93.719	-175.4614
2180.000000	93.516	-177.3754
2200.000000	93.414	-178.0537
2240.000000	93.246	-179.0491
2270.000000	93.154	-179.6435
2300.000000	93.086	179.7894
2330.000000	93.036	179.2066
2360.000000	92.999	178.5670
2400.000000	92.954	177.5710
2430.000000	92.911	176.7407
2470.000000	92.835	175.6059
2500.000000	92.762	174.7791
2540.000000	92.649	173.7727
2580.000000	92.530	172.8987
2620.000000	92.412	172.0753
2650.000000	92.319	171.4516
2690.000000	92.178	170.6439
2720.000000	92.057	170.1129
2760.000000	91.882	169.5690
2800.000000	91.698	169.2506
2850.000000	91.478	169.1756
2900.000000	91.289	169.3487
2950.000000	91.135	169.6391
3000.000000	91.009	169.9326
3040.000000	90.914	170.1394
3070.000000	90.837	170.3273
3110.000000	90.732	170.7259
3150.000000	90.642	171.3577
3200.000000	90.588	172.3983
3250.000000	90.628	173.4309
3300.000000	90.747	174.0989
3350.000000	90.904	174.1940
3400.000000	91.052	173.6629
3450.000000	91.148	172.5992
3500.000000	91.166	171.2452
3550.000000	91.103	169.8548
3600.000000	90.965	168.6076
3650.000000	90.756	167.6754
3700.000000	90.484	167.3055
3750.000000	90.191	167.7405
3820.000000	89.880	169.6170
3870.000000	89.801	171.3801
3950.000000	89.918	173.8218
4000.000000	90.082	174.7465
4060.000000	90.303	175.1674
4120.000000	90.506	174.9819
4180.000000	90.674	174.3930
4250.000000	90.825	173.3905
4310.000000	90.922	172.3678
4370.000000	90.999	171.1973
4440.000000	91.057	169.5780
4500.000000	91.064	167.9836
4550.000000	91.035	166.5641
4620.000000	90.935	164.5060
4680.000000	90.790	162.7507
4750.000000	90.546	160.8626
4820.000000	90.227	159.3309
4870.000000	89.964	158.5456
4940.000000	89.571	157.9208
5000.000000	89.230	157.7727
5080.000000	88.780	158.0399
5150.000000	88.394	158.7101
5220.000000	88.026	159.8174
5300.000000	87.655	161.5976
5380.000000	87.376	163.7095
5450.000000	87.210	165.5400
5520.000000	87.089	167.2158
5600.000000	86.974	169.0030
5700.000000	86.860	171.2385
5800.000000	86.798	173.4498
5900.000000	86.778	175.4567
6000.000000	86.767	177.2939
6080.000000	86.759	178.7561
6150.000000	86.758	-179.9134
6220.000000	86.769	-178.5298
6300.000000	86.803	-176.8992
6400.000000	86.883	-174.8199
6500.000000	87.011	-172.7493
6600.000000	87.187	-170.7538
6700.000000	87.408	-168.8849
6800.000000	87.671	-167.1596
6900.000000	87.975	-165.5898
7000.000000	88.323	-164.1832
7100.000000	88.722	-162.9260
7200.000000	89.191	-161.8260
7300.000000	89.752	-160.9988
7400.000000	90.413	-160.6578
7500.000000	91.173	-161.0377
7620.000000	92.195	-162.8586
7750.000000	93.343	-167.3909
7880.000000	94.309	-175.5328
8000.000000	94.819	173.9010
8120.000000	94.834	161.8114
8250.000000	94.278	149.2063
8380.000000	93.212	139.0159
8500.000000	91.901	132.5905
8620.000000	90.409	129.0834
