* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 25, 2022 1:19:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tangzu ShiminLi L Stock
* Measurement: Shimin LI Stock L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.068	-134.5530
20.299999	89.161	-135.4109
20.600000	89.230	-136.3476
20.900000	89.276	-137.2753
21.200001	89.307	-138.1242
21.400000	89.327	-138.6375
21.799999	89.371	-139.5706
22.000000	89.398	-140.0124
22.400000	89.457	-140.8952
22.700001	89.499	-141.5681
23.000000	89.537	-142.2364
23.299999	89.568	-142.8761
23.600000	89.597	-143.4759
24.000000	89.635	-144.2182
24.299999	89.665	-144.7557
24.700001	89.707	-145.4844
25.000000	89.735	-146.0561
25.400000	89.765	-146.8504
25.799999	89.787	-147.6579
26.200001	89.801	-148.4509
26.500000	89.808	-149.0244
26.900000	89.813	-149.7529
27.200001	89.816	-150.2707
27.600000	89.820	-150.9276
28.000000	89.830	-151.5635
28.500000	89.852	-152.3695
29.000000	89.879	-153.2201
29.500000	89.899	-154.0973
30.000000	89.910	-154.9435
30.400000	89.915	-155.5708
30.700001	89.919	-156.0124
31.100000	89.926	-156.5742
31.500000	89.932	-157.1160
32.000000	89.937	-157.7773
32.500000	89.938	-158.4428
33.000000	89.934	-159.1499
33.500000	89.916	-159.9046
34.000000	89.877	-160.6294
34.500000	89.821	-161.1982
35.000000	89.770	-161.5572
35.500000	89.748	-161.7871
36.000000	89.758	-162.0347
36.500000	89.789	-162.3851
37.000000	89.827	-162.8322
37.500000	89.867	-163.3489
38.200001	89.924	-164.2261
38.700001	89.955	-164.9915
39.500000	89.965	-166.3106
40.000000	89.953	-167.0676
40.599998	89.937	-167.8637
41.200001	89.926	-168.5702
41.799999	89.919	-169.2077
42.500000	89.919	-169.8895
43.099998	89.927	-170.4847
43.700001	89.931	-171.1321
44.400002	89.917	-171.9074
45.000000	89.889	-172.5209
45.500000	89.860	-172.9805
46.200001	89.820	-173.5653
46.799999	89.785	-174.0364
47.500000	89.744	-174.5753
48.200001	89.698	-175.1005
48.700001	89.662	-175.4474
49.400002	89.617	-175.8804
50.000000	89.594	-176.2406
50.799999	89.585	-176.8153
51.500000	89.582	-177.4828
52.200001	89.558	-178.2828
53.000000	89.485	-179.1423
53.799999	89.388	-179.6556
54.500000	89.334	-179.8391
55.200001	89.323	179.9892
56.000000	89.335	179.6317
57.000000	89.342	179.0805
58.000000	89.344	178.6230
59.000000	89.354	178.1872
60.000000	89.350	177.6526
60.799999	89.322	177.1960
61.500000	89.281	176.8239
62.200001	89.234	176.4742
63.000000	89.181	176.0652
64.000000	89.125	175.4966
65.000000	89.086	174.8464
66.000000	89.068	174.1338
67.000000	89.068	173.4840
68.000000	89.088	173.0898
69.000000	89.144	173.0285
70.000000	89.248	173.1113
71.000000	89.367	172.8557
72.000000	89.394	172.0386
73.000000	89.266	171.1930
74.000000	89.044	170.8454
75.000000	88.827	170.8788
76.199997	88.643	170.9199
77.500000	88.540	170.5918
78.800003	88.500	169.9470
80.000000	88.492	169.3206
81.199997	88.490	168.7631
82.500000	88.472	168.2669
83.800003	88.425	167.8337
85.000000	88.354	167.4594
86.199997	88.267	167.1297
87.500000	88.175	166.8385
88.500000	88.116	166.6671
90.000000	88.056	166.4359
91.199997	88.020	166.1830
92.500000	87.974	165.8539
93.800003	87.919	165.5261
95.000000	87.866	165.2426
96.199997	87.813	164.9997
97.500000	87.760	164.7944
98.800003	87.712	164.6215
100.000000	87.667	164.4567
101.500000	87.604	164.2256
103.000000	87.533	163.9917
104.400002	87.463	163.8083
106.000000	87.384	163.6403
107.500000	87.313	163.4692
109.000000	87.241	163.2383
110.599998	87.164	162.9395
112.000000	87.105	162.6938
113.800003	87.049	162.5630
115.000000	87.030	162.7027
117.199997	87.053	163.4770
118.000000	87.080	163.8062
120.599998	87.115	164.0266
122.000000	87.012	163.5940
124.099998	86.766	162.8078
125.000000	86.677	162.4470
126.500000	86.589	161.8614
128.000000	86.577	161.5105
131.500000	86.701	162.8087
132.000000	86.723	163.1880
134.000000	86.778	164.4286
136.000000	86.679	164.6362
138.000000	86.391	164.4947
140.000000	86.112	164.7556
143.000000	86.011	165.1203
145.000000	86.101	164.8214
147.500000	86.248	163.8548
150.000000	86.312	162.9247
152.500000	86.237	162.6496
155.000000	86.089	162.7766
157.500000	85.936	162.7469
160.000000	85.806	162.6190
162.500000	85.719	162.4917
165.000000	85.662	162.2543
167.500000	85.604	162.0059
170.000000	85.532	161.9082
172.500000	85.443	161.8983
175.000000	85.338	161.8722
177.500000	85.229	161.8860
180.000000	85.142	161.9880
182.500000	85.083	162.1259
185.000000	85.042	162.2548
187.500000	85.008	162.3540
190.000000	84.974	162.4299
192.500000	84.935	162.5140
195.000000	84.890	162.6279
197.500000	84.837	162.7562
200.000000	84.780	162.8757
203.000000	84.714	163.0137
206.000000	84.654	163.1467
209.000000	84.601	163.2502
212.000000	84.547	163.3408
214.000000	84.505	163.4239
218.000000	84.406	163.7078
220.000000	84.354	163.8955
224.000000	84.268	164.2746
227.000000	84.216	164.5258
230.000000	84.170	164.7416
233.000000	84.124	164.9344
236.000000	84.077	165.1229
240.000000	84.012	165.3789
243.000000	83.961	165.5766
247.000000	83.890	165.8629
250.000000	83.836	166.1102
254.000000	83.772	166.4970
258.000000	83.720	166.9132
262.000000	83.675	167.2821
265.000000	83.638	167.5110
269.000000	83.587	167.7927
272.000000	83.549	168.0223
276.000000	83.502	168.3670
280.000000	83.459	168.7338
285.000000	83.418	169.1821
290.000000	83.389	169.5615
295.000000	83.354	169.8546
300.000000	83.309	170.1387
304.000000	83.272	170.3992
307.000000	83.244	170.6105
311.000000	83.208	170.8990
315.000000	83.169	171.1883
320.000000	83.116	171.5666
325.000000	83.066	171.9826
330.000000	83.022	172.4217
335.000000	82.981	172.8558
340.000000	82.941	173.2702
345.000000	82.902	173.6743
350.000000	82.866	174.0868
355.000000	82.835	174.5098
360.000000	82.804	174.9325
365.000000	82.771	175.3518
370.000000	82.737	175.7751
375.000000	82.704	176.2047
382.000000	82.664	176.8069
387.000000	82.638	177.2364
395.000000	82.600	177.9300
400.000000	82.577	178.3668
406.000000	82.549	178.8837
412.000000	82.521	179.3879
418.000000	82.493	179.8970
425.000000	82.465	-179.4769
431.000000	82.449	-178.9218
437.000000	82.439	-178.3766
444.000000	82.431	-177.7686
450.000000	82.427	-177.2859
455.000000	82.424	-176.9273
462.000000	82.414	-176.4791
468.000000	82.398	-176.0918
475.000000	82.377	-175.5956
482.000000	82.357	-175.0695
487.000000	82.342	-174.6901
