* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 30, 2022 12:41:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tangzu Waner L
* Measurement: Tangzu Waner L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.724	-154.0389
20.299999	99.740	-154.6630
20.600000	99.754	-155.2712
20.900000	99.766	-155.8615
21.200001	99.777	-156.4327
21.400000	99.784	-156.8032
21.799999	99.797	-157.5223
22.000000	99.804	-157.8729
22.400000	99.818	-158.5609
22.700001	99.828	-159.0687
23.000000	99.837	-159.5710
23.299999	99.846	-160.0674
23.600000	99.854	-160.5567
24.000000	99.863	-161.1956
24.299999	99.868	-161.6637
24.700001	99.875	-162.2734
25.000000	99.880	-162.7216
25.400000	99.886	-163.3097
25.799999	99.891	-163.8885
26.200001	99.895	-164.4571
26.500000	99.897	-164.8753
26.900000	99.898	-165.4198
27.200001	99.898	-165.8178
27.600000	99.899	-166.3358
28.000000	99.898	-166.8413
28.500000	99.898	-167.4592
29.000000	99.896	-168.0626
29.500000	99.893	-168.6505
30.000000	99.890	-169.2224
30.400000	99.888	-169.6698
30.700001	99.886	-170.0007
31.100000	99.883	-170.4370
31.500000	99.880	-170.8685
32.000000	99.875	-171.4012
32.500000	99.869	-171.9252
33.000000	99.863	-172.4393
33.500000	99.855	-172.9435
34.000000	99.847	-173.4389
34.500000	99.838	-173.9260
35.000000	99.829	-174.4045
35.500000	99.818	-174.8734
36.000000	99.806	-175.3315
36.500000	99.793	-175.7787
37.000000	99.780	-176.2161
37.500000	99.766	-176.6442
38.200001	99.746	-177.2281
38.700001	99.731	-177.6342
39.500000	99.708	-178.2693
40.000000	99.693	-178.6601
40.599998	99.674	-179.1228
41.200001	99.654	-179.5737
41.799999	99.633	179.9918
42.500000	99.609	179.5045
43.099998	99.590	179.0981
43.700001	99.570	178.6989
44.400002	99.547	178.2417
45.000000	99.527	177.8578
45.500000	99.510	177.5438
46.200001	99.485	177.1133
46.799999	99.463	176.7511
47.500000	99.437	176.3339
48.200001	99.410	175.9241
48.700001	99.390	175.6391
49.400002	99.361	175.2542
50.000000	99.336	174.9355
50.799999	99.305	174.5189
51.500000	99.278	174.1595
52.200001	99.250	173.8098
53.000000	99.219	173.4290
53.799999	99.189	173.0675
54.500000	99.164	172.7609
55.200001	99.141	172.4580
56.000000	99.116	172.1115
57.000000	99.084	171.6703
58.000000	99.052	171.2142
59.000000	99.016	170.7462
60.000000	98.976	170.2852
60.799999	98.943	169.9330
61.500000	98.913	169.6363
62.200001	98.883	169.3488
63.000000	98.849	169.0349
64.000000	98.806	168.6704
65.000000	98.764	168.3339
66.000000	98.724	168.0112
67.000000	98.684	167.6805
68.000000	98.640	167.3397
69.000000	98.591	167.0151
70.000000	98.543	166.7169
71.000000	98.497	166.4265
72.000000	98.453	166.1225
73.000000	98.410	165.8064
74.000000	98.366	165.4991
75.000000	98.323	165.2156
76.199997	98.274	164.9081
77.500000	98.223	164.6145
78.800003	98.173	164.3666
80.000000	98.132	164.1171
81.199997	98.088	163.7853
82.500000	98.029	163.3526
83.800003	97.960	162.8886
85.000000	97.894	162.4616
86.199997	97.825	162.0723
87.500000	97.750	161.7279
88.500000	97.691	161.5215
90.000000	97.604	161.2793
91.199997	97.535	161.1029
92.500000	97.463	160.8977
93.800003	97.394	160.6843
95.000000	97.332	160.5101
96.199997	97.271	160.3850
97.500000	97.203	160.2997
98.800003	97.129	160.2380
100.000000	97.055	160.1825
101.500000	96.963	160.0955
103.000000	96.883	159.9816
104.400002	96.815	159.8817
106.000000	96.724	159.8466
107.500000	96.608	159.9236
109.000000	96.463	160.0701
110.599998	96.301	160.2917
112.000000	96.189	160.6168
113.800003	96.122	161.4808
115.000000	96.128	162.5354
117.199997	96.247	165.5928
118.000000	96.333	166.8591
120.599998	96.670	169.0184
122.000000	96.736	168.4008
124.099998	96.691	166.4209
125.000000	96.658	165.5144
126.500000	96.606	164.2476
128.000000	96.567	163.4413
131.500000	96.494	162.6399
132.000000	96.483	162.5391
134.000000	96.436	162.0280
136.000000	96.390	161.4273
138.000000	96.348	160.9070
140.000000	96.305	160.5305
143.000000	96.233	160.1841
145.000000	96.176	160.0497
147.500000	96.088	159.9653
150.000000	95.995	159.9180
152.500000	95.913	159.7692
155.000000	95.828	159.5406
157.500000	95.740	159.3597
160.000000	95.659	159.2308
162.500000	95.586	159.1282
165.000000	95.519	159.0638
167.500000	95.450	159.0510
170.000000	95.379	159.0719
172.500000	95.309	159.1213
175.000000	95.244	159.2028
177.500000	95.184	159.3001
180.000000	95.128	159.3900
182.500000	95.075	159.4583
185.000000	95.025	159.5057
187.500000	94.974	159.5396
190.000000	94.922	159.5674
192.500000	94.869	159.5973
195.000000	94.814	159.6379
197.500000	94.758	159.6964
200.000000	94.702	159.7756
203.000000	94.637	159.8910
