* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2021 12:02:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Thieaudio L2
* Measurement: edx L Nov 18
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.7	-171.7441
20.299999	107.6	-172.4844
20.600000	107.6	-173.2117
20.900000	107.6	-173.9263
21.200001	107.6	-174.6285
21.400000	107.6	-175.0896
21.799999	107.6	-175.9956
22.000000	107.6	-176.4408
22.400000	107.5	-177.3162
22.700001	107.5	-177.9599
23.000000	107.5	-178.5926
23.299999	107.5	-179.2143
23.600000	107.5	-179.8255
24.000000	107.4	179.3753
24.299999	107.4	178.7870
24.700001	107.4	178.0171
25.000000	107.4	177.4503
25.400000	107.3	176.7092
25.799999	107.3	175.9844
26.200001	107.3	175.2753
26.500000	107.3	174.7530
26.900000	107.2	174.0683
27.200001	107.2	173.5630
27.600000	107.2	172.9001
28.000000	107.1	172.2498
28.500000	107.1	171.4557
29.000000	107.1	170.6845
29.500000	107.0	169.9376
30.000000	107.0	169.2141
30.400000	107.0	168.6501
30.700001	106.9	168.2343
31.100000	106.9	167.6877
31.500000	106.9	167.1479
32.000000	106.8	166.4798
32.500000	106.8	165.8162
33.000000	106.8	165.1559
33.500000	106.7	164.5004
34.000000	106.7	163.8538
34.500000	106.7	163.2209
35.000000	106.6	162.6049
35.500000	106.6	162.0067
36.000000	106.5	161.4246
36.500000	106.5	160.8555
37.000000	106.5	160.2958
37.500000	106.4	159.7424
38.200001	106.4	158.9771
38.700001	106.3	158.4384
39.500000	106.3	157.5950
40.000000	106.2	157.0815
40.599998	106.2	156.4819
41.200001	106.1	155.9030
41.799999	106.1	155.3451
42.500000	106.0	154.7172
43.099998	106.0	154.1951
43.700001	106.0	153.6862
44.400002	105.9	153.1080
45.000000	105.9	152.6241
45.500000	105.8	152.2272
46.200001	105.8	151.6768
46.799999	105.7	151.2043
47.500000	105.7	150.6461
48.200001	105.7	150.0793
48.700001	105.6	149.6716
49.400002	105.6	149.1024
50.000000	105.5	148.6217
50.799999	105.5	147.9964
51.500000	105.4	147.4643
52.200001	105.4	146.9489
53.000000	105.3	146.3891
53.799999	105.3	145.8601
54.500000	105.3	145.4075
55.200001	105.2	144.9513
56.000000	105.2	144.4217
57.000000	105.1	143.7510
58.000000	105.1	143.0722
59.000000	105.0	142.3928
60.000000	105.0	141.7263
60.799999	104.9	141.2054
61.500000	104.9	140.7579
62.200001	104.8	140.3181
63.000000	104.8	139.8244
64.000000	104.7	139.2184
65.000000	104.7	138.6220
66.000000	104.6	138.0346
67.000000	104.5	137.4635
68.000000	104.5	136.9185
69.000000	104.4	136.3951
70.000000	104.4	135.8864
71.000000	104.3	135.3925
72.000000	104.3	134.9092
73.000000	104.2	134.4276
74.000000	104.2	133.9438
75.000000	104.1	133.4597
76.199997	104.1	132.8794
77.500000	104.0	132.2464
78.800003	104.0	131.6046
80.000000	103.9	131.0013
81.199997	103.9	130.3814
82.500000	103.8	129.6931
83.800003	103.8	129.0065
85.000000	103.7	128.3942
86.199997	103.6	127.8149
87.500000	103.6	127.2263
88.500000	103.5	126.7972
90.000000	103.4	126.1840
91.199997	103.4	125.7135
92.500000	103.3	125.2170
93.800003	103.3	124.7283
95.000000	103.2	124.2809
96.199997	103.2	123.8338
97.500000	103.1	123.3481
98.800003	103.1	122.8638
100.000000	103.0	122.4226
101.500000	103.0	121.8866
103.000000	102.9	121.3685
104.400002	102.9	120.8889
106.000000	102.8	120.3244
107.500000	102.8	119.7709
109.000000	102.7	119.2059
110.599998	102.7	118.6052
112.000000	102.6	118.0804
113.800003	102.6	117.3874
115.000000	102.5	116.9018
117.199997	102.4	115.9951
118.000000	102.4	115.6880
120.599998	102.3	114.9039
122.000000	102.3	114.5862
124.099998	102.2	114.1036
125.000000	102.2	113.8803
126.500000	102.2	113.4851
128.000000	102.1	113.0626
131.500000	102.1	111.9917
132.000000	102.0	111.8333
134.000000	102.0	111.2026
136.000000	101.9	110.5887
138.000000	101.9	109.9913
