* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2022 1:04:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tinhifi C3 R
* Measurement: Tinhifi C3 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.486	-154.9676
20.299999	96.505	-155.6915
20.600000	96.520	-156.4127
20.900000	96.531	-157.1215
21.200001	96.538	-157.8063
21.400000	96.542	-158.2467
21.799999	96.549	-159.0951
22.000000	96.553	-159.5087
22.400000	96.562	-160.3297
22.700001	96.567	-160.9468
23.000000	96.569	-161.5617
23.299999	96.568	-162.1629
23.600000	96.564	-162.7404
24.000000	96.557	-163.4656
24.299999	96.553	-163.9810
24.700001	96.550	-164.6472
25.000000	96.548	-165.1409
25.400000	96.543	-165.7900
25.799999	96.536	-166.4074
26.200001	96.527	-166.9683
26.500000	96.524	-167.3504
26.900000	96.528	-167.8289
27.200001	96.537	-168.1901
27.600000	96.556	-168.7065
28.000000	96.576	-169.2789
28.500000	96.595	-170.0533
29.000000	96.603	-170.8412
29.500000	96.604	-171.6079
30.000000	96.601	-172.3488
30.400000	96.595	-172.9254
30.700001	96.589	-173.3465
31.100000	96.578	-173.8866
31.500000	96.567	-174.3996
32.000000	96.554	-175.0106
32.500000	96.542	-175.6105
33.000000	96.531	-176.2215
33.500000	96.514	-176.8446
34.000000	96.490	-177.4546
34.500000	96.457	-178.0107
35.000000	96.422	-178.4850
35.500000	96.394	-178.8896
36.000000	96.377	-179.2806
36.500000	96.368	-179.7195
37.000000	96.358	179.7736
37.500000	96.338	179.2360
38.200001	96.300	178.5321
38.700001	96.274	178.0801
39.500000	96.245	177.3467
40.000000	96.228	176.8450
40.599998	96.203	176.2201
41.200001	96.172	175.6115
41.799999	96.140	175.0337
42.500000	96.103	174.3942
43.099998	96.072	173.8715
43.700001	96.042	173.3652
44.400002	96.005	172.7880
45.000000	95.970	172.3174
45.500000	95.940	171.9570
46.200001	95.900	171.4919
46.799999	95.870	171.0909
47.500000	95.832	170.5875
48.200001	95.786	170.0834
48.700001	95.749	169.7534
49.400002	95.698	169.3301
50.000000	95.657	168.9771
50.799999	95.598	168.5397
51.500000	95.548	168.2490
52.200001	95.514	168.0268
53.000000	95.495	167.7306
53.799999	95.480	167.3231
54.500000	95.456	166.9335
55.200001	95.425	166.5713
56.000000	95.387	166.1927
57.000000	95.338	165.7267
58.000000	95.284	165.2462
59.000000	95.227	164.7568
60.000000	95.173	164.2469
60.799999	95.131	163.8061
61.500000	95.092	163.4068
62.200001	95.051	163.0231
63.000000	95.004	162.6280
64.000000	94.948	162.2019
65.000000	94.894	161.8460
66.000000	94.841	161.5552
67.000000	94.789	161.2856
68.000000	94.730	161.0002
69.000000	94.662	160.7078
70.000000	94.589	160.4006
71.000000	94.511	160.0645
72.000000	94.430	159.7430
73.000000	94.358	159.4943
74.000000	94.311	159.2679
75.000000	94.286	158.9551
76.199997	94.258	158.4788
77.500000	94.219	157.9801
78.800003	94.173	157.5515
80.000000	94.127	157.1783
81.199997	94.074	156.7817
82.500000	94.009	156.3106
83.800003	93.933	155.8239
85.000000	93.857	155.4229
86.199997	93.782	155.1008
87.500000	93.702	154.8292
88.500000	93.639	154.6622
90.000000	93.543	154.4413
91.199997	93.466	154.2454
92.500000	93.384	153.9958
93.800003	93.305	153.7446
95.000000	93.238	153.5489
96.199997	93.174	153.4000
97.500000	93.102	153.2802
98.800003	93.020	153.1718
100.000000	92.939	153.0521
101.500000	92.840	152.8713
103.000000	92.756	152.7139
104.400002	92.697	152.6798
106.000000	92.640	152.8423
107.500000	92.586	153.0840
109.000000	92.526	153.1877
110.599998	92.466	153.0008
112.000000	92.430	152.6935
113.800003	92.416	152.6018
115.000000	92.416	153.0376
117.199997	92.423	155.0732
118.000000	92.440	155.9563
120.599998	92.484	156.5890
122.000000	92.372	155.1437
124.099998	92.077	152.6697
125.000000	91.968	151.9201
126.500000	91.843	151.2043
128.000000	91.757	151.0370
131.500000	91.568	151.2243
132.000000	91.543	151.1945
134.000000	91.455	150.9601
136.000000	91.386	150.8371
138.000000	91.306	150.9587
140.000000	91.191	151.1014
143.000000	91.006	151.0093
145.000000	90.930	150.7708
147.500000	90.848	150.2833
150.000000	90.703	149.8027
152.500000	90.552	149.7385
155.000000	90.494	150.0098
157.500000	90.474	150.4042
160.000000	90.434	150.8041
162.500000	90.373	151.0054
165.000000	90.305	151.0581
167.500000	90.231	151.1484
170.000000	90.149	151.3176
172.500000	90.062	151.4771
175.000000	89.977	151.5995
177.500000	89.893	151.7404
180.000000	89.811	151.9326
182.500000	89.731	152.1479
185.000000	89.658	152.3341
187.500000	89.592	152.4681
190.000000	89.527	152.5664
192.500000	89.456	152.6463
195.000000	89.377	152.7207
197.500000	89.294	152.8028
200.000000	89.210	152.9197
203.000000	89.116	153.1560
206.000000	89.032	153.4874
209.000000	88.949	153.8495
212.000000	88.863	154.2150
214.000000	88.809	154.4722
218.000000	88.723	155.0886
220.000000	88.691	155.4672
224.000000	88.632	156.3478
227.000000	88.599	157.0179
230.000000	88.591	157.5587
233.000000	88.601	157.9055
236.000000	88.614	158.0549
240.000000	88.612	158.0222
243.000000	88.588	157.9268
247.000000	88.529	157.8385
250.000000	88.471	157.8463
254.000000	88.387	157.9704
258.000000	88.308	158.1758
262.000000	88.234	158.3807
265.000000	88.176	158.5269
269.000000	88.100	158.7682
272.000000	88.048	159.0057
276.000000	87.986	159.3564
280.000000	87.932	159.6984
285.000000	87.872	160.1024
290.000000	87.819	160.4382
295.000000	87.760	160.6873
300.000000	87.687	160.9291
304.000000	87.626	161.1620
307.000000	87.580	161.3581
311.000000	87.521	161.6353
315.000000	87.462	161.9226
320.000000	87.387	162.3024
325.000000	87.315	162.7198
330.000000	87.249	163.1624
335.000000	87.190	163.6025
340.000000	87.133	164.0287
345.000000	87.077	164.4492
350.000000	87.019	164.8769
355.000000	86.964	165.3138
360.000000	86.911	165.7564
365.000000	86.860	166.2036
370.000000	86.811	166.6560
375.000000	86.764	167.1154
382.000000	86.700	167.7681
387.000000	86.655	168.2372
395.000000	86.588	168.9911
400.000000	86.548	169.4638
406.000000	86.503	170.0266
412.000000	86.458	170.5817
418.000000	86.414	171.1442
425.000000	86.364	171.8335
431.000000	86.328	172.4456
437.000000	86.299	173.0531
444.000000	86.272	173.7398
450.000000	86.254	174.2935
455.000000	86.239	174.7127
462.000000	86.213	175.2487
468.000000	86.181	175.7160
475.000000	86.141	176.3117
482.000000	86.104	176.9417
487.000000	86.079	177.3977
494.000000	86.042	178.0590
500.000000	86.014	178.6601
508.000000	85.985	179.4788
515.000000	85.964	-179.8188
522.000000	85.943	-179.1211
530.000000	85.921	-178.3003
538.000000	85.904	-177.4526
545.000000	85.895	-176.7054
552.000000	85.891	-175.9587
560.000000	85.892	-175.1159
570.000000	85.899	-174.0856
580.000000	85.908	-173.0585
590.000000	85.921	-172.0217
600.000000	85.941	-170.9654
608.000000	85.965	-170.1203
615.000000	85.990	-169.3934
622.000000	86.017	-168.6703
630.000000	86.052	-167.8313
640.000000	86.108	-166.7740
650.000000	86.178	-165.7415
660.000000	86.264	-164.7667
670.000000	86.362	-163.9113
680.000000	86.459	-163.1823
690.000000	86.549	-162.5235
700.000000	86.635	-161.8908
710.000000	86.721	-161.2753
720.000000	86.808	-160.6960
730.000000	86.895	-160.1616
740.000000	86.979	-159.6646
750.000000	87.060	-159.1975
762.000000	87.154	-158.6678
775.000000	87.251	-158.1216
788.000000	87.342	-157.5878
800.000000	87.420	-157.0721
812.000000	87.500	-156.5103
825.000000	87.595	-155.8773
838.000000	87.699	-155.2589
850.000000	87.802	-154.6970
862.000000	87.918	-154.1640
875.000000	88.056	-153.6977
885.000000	88.164	-153.4524
