* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2023 12:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tinhifi C5 L
* Measurement: Tinhifi C5 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.731	-169.3889
20.299999	99.736	-169.9705
20.600000	99.739	-170.5443
20.900000	99.741	-171.1099
21.200001	99.742	-171.6669
21.400000	99.742	-172.0336
21.799999	99.740	-172.7558
22.000000	99.738	-173.1109
22.400000	99.732	-173.8074
22.700001	99.727	-174.3157
23.000000	99.720	-174.8105
23.299999	99.713	-175.2930
23.600000	99.707	-175.7660
24.000000	99.699	-176.3886
24.299999	99.693	-176.8539
24.700001	99.684	-177.4744
25.000000	99.676	-177.9375
25.400000	99.664	-178.5456
25.799999	99.651	-179.1362
26.200001	99.637	-179.7071
26.500000	99.628	179.8750
26.900000	99.615	179.3266
27.200001	99.607	178.9189
27.600000	99.595	178.3791
28.000000	99.582	177.8463
28.500000	99.564	177.1963
29.000000	99.546	176.5665
29.500000	99.528	175.9531
30.000000	99.509	175.3519
30.400000	99.493	174.8798
30.700001	99.480	174.5320
31.100000	99.463	174.0771
31.500000	99.446	173.6309
32.000000	99.424	173.0803
32.500000	99.403	172.5316
33.000000	99.381	171.9827
33.500000	99.356	171.4362
34.000000	99.331	170.8969
34.500000	99.303	170.3686
35.000000	99.275	169.8536
35.500000	99.247	169.3531
36.000000	99.219	168.8657
36.500000	99.191	168.3883
37.000000	99.164	167.9177
37.500000	99.137	167.4532
38.200001	99.097	166.8186
38.700001	99.069	166.3815
39.500000	99.024	165.7093
40.000000	98.996	165.2983
40.599998	98.964	164.8073
41.200001	98.930	164.3188
41.799999	98.894	163.8384
42.500000	98.850	163.2951
43.099998	98.812	162.8451
43.700001	98.775	162.4056
44.400002	98.732	161.8983
45.000000	98.696	161.4648
45.500000	98.664	161.1071
46.200001	98.620	160.6176
46.799999	98.582	160.2113
47.500000	98.537	159.7511
48.200001	98.493	159.3051
48.700001	98.461	158.9966
49.400002	98.416	158.5815
50.000000	98.378	158.2394
50.799999	98.328	157.7962
51.500000	98.284	157.4201
52.200001	98.240	157.0628
53.000000	98.193	156.6714
53.799999	98.151	156.2663
54.500000	98.113	155.8882
55.200001	98.073	155.5036
56.000000	98.025	155.0773
57.000000	97.965	154.5685
58.000000	97.906	154.0735
59.000000	97.848	153.5811
60.000000	97.789	153.0880
60.799999	97.741	152.6971
61.500000	97.698	152.3611
62.200001	97.654	152.0315
63.000000	97.606	151.6627
64.000000	97.545	151.2175
65.000000	97.485	150.7965
66.000000	97.425	150.4041
67.000000	97.364	150.0519
68.000000	97.305	149.7347
69.000000	97.247	149.4211
70.000000	97.186	149.1082
71.000000	97.125	148.8124
72.000000	97.072	148.5002
73.000000	97.021	148.1373
74.000000	96.969	147.7496
75.000000	96.915	147.3712
76.199997	96.852	146.9386
