* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2023 1:00:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tinhifi C5 R
* Measurement: Tinhifi C5 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.510	-169.1847
20.299999	99.510	-169.7251
20.600000	99.509	-170.2518
20.900000	99.507	-170.7656
21.200001	99.505	-171.2689
21.400000	99.503	-171.6003
21.799999	99.498	-172.2554
22.000000	99.495	-172.5795
22.400000	99.487	-173.2207
22.700001	99.480	-173.6937
23.000000	99.471	-174.1590
23.299999	99.462	-174.6169
23.600000	99.452	-175.0681
24.000000	99.438	-175.6603
24.299999	99.427	-176.0974
24.700001	99.411	-176.6698
25.000000	99.398	-177.0904
25.400000	99.380	-177.6397
25.799999	99.363	-178.1772
26.200001	99.345	-178.7043
26.500000	99.331	-179.0928
26.900000	99.312	-179.6011
27.200001	99.298	-179.9750
27.600000	99.278	179.5352
28.000000	99.258	179.0545
28.500000	99.230	178.4712
29.000000	99.199	177.9233
29.500000	99.169	177.4241
30.000000	99.142	176.9655
30.400000	99.124	176.6076
30.700001	99.112	176.3344
31.100000	99.097	175.9591
31.500000	99.080	175.5768
32.000000	99.055	175.1077
32.500000	99.027	174.6641
33.000000	99.001	174.2451
33.500000	98.976	173.8394
34.000000	98.952	173.4395
34.500000	98.929	173.0447
35.000000	98.907	172.6529
35.500000	98.886	172.2562
36.000000	98.866	171.8462
36.500000	98.844	171.4209
37.000000	98.820	170.9857
37.500000	98.792	170.5500
38.200001	98.749	169.9559
38.700001	98.716	169.5468
39.500000	98.662	168.9086
40.000000	98.626	168.5208
40.599998	98.580	168.0825
41.200001	98.535	167.6864
41.799999	98.494	167.3199
42.500000	98.451	166.8955
43.099998	98.416	166.5244
43.700001	98.380	166.1596
44.400002	98.337	165.7558
45.000000	98.301	165.4274
45.500000	98.271	165.1616
46.200001	98.232	164.7928
46.799999	98.198	164.4712
47.500000	98.155	164.0887
48.200001	98.109	163.7129
48.700001	98.075	163.4577
49.400002	98.026	163.1202
50.000000	97.986	162.8417
50.799999	97.933	162.4774
51.500000	97.887	162.1705
52.200001	97.842	161.8819
53.000000	97.795	161.5634
53.799999	97.751	161.2366
54.500000	97.710	160.9480
55.200001	97.667	160.6743
56.000000	97.618	160.3842
57.000000	97.559	160.0294
58.000000	97.499	159.6620
59.000000	97.437	159.2911
60.000000	97.375	158.9178
60.799999	97.327	158.6119
61.500000	97.284	158.3448
62.200001	97.240	158.0882
63.000000	97.190	157.8141
64.000000	97.127	157.5015
65.000000	97.065	157.2252
66.000000	97.004	156.9797
67.000000	96.947	156.7256
68.000000	96.888	156.4254
69.000000	96.822	156.0889
70.000000	96.746	155.7559
71.000000	96.665	155.4909
72.000000	96.592	155.3173
73.000000	96.537	155.1621
74.000000	96.491	154.9661
75.000000	96.445	154.7477
76.199997	96.388	154.5004
77.500000	96.324	154.2634
78.800003	96.259	154.0383
80.000000	96.198	153.8224
81.199997	96.136	153.5832
82.500000	96.067	153.2815
83.800003	95.992	152.9464
85.000000	95.914	152.6553
86.199997	95.832	152.4231
87.500000	95.743	152.2368
88.500000	95.675	152.1245
90.000000	95.576	151.9833
91.199997	95.500	151.8814
92.500000	95.422	151.7748
93.800003	95.347	151.6746
95.000000	95.280	151.5968
96.199997	95.213	151.5414
97.500000	95.138	151.5090
98.800003	95.064	151.4896
100.000000	94.999	151.4525
101.500000	94.924	151.3554
103.000000	94.857	151.2351
104.400002	94.800	151.1524
106.000000	94.737	151.1099
107.500000	94.672	151.0868
109.000000	94.599	151.0342
110.599998	94.522	150.9257
112.000000	94.464	150.8392
113.800003	94.401	150.9668
115.000000	94.356	151.3737
117.199997	94.269	152.9551
118.000000	94.245	153.6569
120.599998	94.188	154.6788
122.000000	94.095	154.0697
124.099998	93.891	152.7303
125.000000	93.817	152.2794
126.500000	93.721	151.8612
128.000000	93.628	151.9276
131.500000	93.319	153.4740
132.000000	93.279	153.7096
134.000000	93.189	154.1022
136.000000	93.171	153.4868
138.000000	93.134	152.6844
140.000000	93.037	152.3917
143.000000	92.842	152.7847
145.000000	92.782	153.0659
147.500000	92.797	153.3782
150.000000	92.821	154.0243
152.500000	92.763	154.8424
155.000000	92.667	155.6565
157.500000	92.641	156.2045
160.000000	92.666	156.4169
162.500000	92.697	156.4876
165.000000	92.720	156.3480
167.500000	92.712	156.0241
170.000000	92.664	155.7244
172.500000	92.595	155.5560
175.000000	92.527	155.4918
177.500000	92.465	155.4700
180.000000	92.402	155.4514
182.500000	92.336	155.4334
185.000000	92.267	155.4382
187.500000	92.197	155.4801
190.000000	92.126	155.5555
192.500000	92.051	155.6491
195.000000	91.973	155.7532
197.500000	91.899	155.8766
200.000000	91.834	156.0265
203.000000	91.770	156.2441
206.000000	91.714	156.4648
209.000000	91.661	156.6073
212.000000	91.608	156.6912
214.000000	91.565	156.7933
218.000000	91.465	157.2474
220.000000	91.415	157.5452
224.000000	91.327	158.0948
227.000000	91.271	158.4508
230.000000	91.221	158.7871
233.000000	91.173	159.1009
236.000000	91.129	159.3783
240.000000	91.072	159.7023
243.000000	91.029	159.9318
247.000000	90.969	160.2434
250.000000	90.922	160.4946
254.000000	90.862	160.8717
258.000000	90.809	161.2831
262.000000	90.765	161.6724
265.000000	90.732	161.9357
269.000000	90.684	162.2714
272.000000	90.646	162.5300
276.000000	90.597	162.8978
280.000000	90.554	163.2882
285.000000	90.513	163.7712
