* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 26, 2022 11:42:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tin P1max R
* Measurement: KZ EDX Ultra Aug 26
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.999	-139.5551
20.299999	96.032	-140.2270
20.600000	96.064	-140.8862
20.900000	96.095	-141.5353
21.200001	96.125	-142.1754
21.400000	96.143	-142.5965
21.799999	96.178	-143.4224
22.000000	96.195	-143.8261
22.400000	96.226	-144.6130
22.700001	96.249	-145.1859
23.000000	96.271	-145.7460
23.299999	96.293	-146.2959
23.600000	96.314	-146.8370
24.000000	96.341	-147.5464
24.299999	96.360	-148.0691
24.700001	96.384	-148.7521
25.000000	96.401	-149.2527
25.400000	96.421	-149.9033
25.799999	96.441	-150.5337
26.200001	96.460	-151.1441
26.500000	96.473	-151.5897
26.900000	96.491	-152.1695
27.200001	96.504	-152.5952
27.600000	96.522	-153.1526
28.000000	96.538	-153.7002
28.500000	96.558	-154.3709
29.000000	96.576	-155.0252
29.500000	96.592	-155.6624
30.000000	96.608	-156.2839
30.400000	96.619	-156.7714
30.700001	96.627	-157.1319
31.100000	96.636	-157.6053
31.500000	96.644	-158.0696
32.000000	96.654	-158.6364
32.500000	96.662	-159.1894
33.000000	96.670	-159.7330
33.500000	96.678	-160.2708
34.000000	96.685	-160.8041
34.500000	96.690	-161.3319
35.000000	96.694	-161.8528
35.500000	96.696	-162.3638
36.000000	96.697	-162.8607
36.500000	96.697	-163.3417
37.000000	96.697	-163.8094
37.500000	96.698	-164.2686
38.200001	96.697	-164.8970
38.700001	96.694	-165.3291
39.500000	96.689	-165.9844
40.000000	96.686	-166.3740
40.599998	96.681	-166.8193
41.200001	96.677	-167.2362
41.799999	96.677	-167.6372
42.500000	96.679	-168.1175
43.099998	96.680	-168.5496
43.700001	96.677	-168.9831
44.400002	96.671	-169.4722
45.000000	96.666	-169.8808
45.500000	96.661	-170.2204
46.200001	96.653	-170.6943
46.799999	96.644	-171.0927
47.500000	96.633	-171.5415
48.200001	96.622	-171.9724
48.700001	96.615	-172.2729
49.400002	96.606	-172.6911
50.000000	96.597	-173.0489
50.799999	96.582	-173.5152
51.500000	96.567	-173.8993
52.200001	96.551	-174.2554
53.000000	96.534	-174.6365
53.799999	96.518	-175.0078
54.500000	96.504	-175.3305
55.200001	96.490	-175.6471
56.000000	96.476	-176.0037
57.000000	96.463	-176.4701
58.000000	96.449	-176.9756
59.000000	96.430	-177.4979
60.000000	96.408	-178.0139
60.799999	96.385	-178.4085
61.500000	96.364	-178.7320
62.200001	96.340	-179.0325
63.000000	96.312	-179.3487
64.000000	96.277	-179.7100
65.000000	96.243	179.9486
66.000000	96.209	179.6178
67.000000	96.177	179.3083
68.000000	96.147	179.0238
69.000000	96.123	178.7569
70.000000	96.101	178.5086
71.000000	96.081	178.2835
72.000000	96.062	178.0718
73.000000	96.044	177.8575
74.000000	96.024	177.6307
75.000000	96.002	177.3834
76.199997	95.969	177.0944
77.500000	95.940	176.8922
78.800003	95.943	176.7077
80.000000	95.962	176.4121
81.199997	95.976	176.0192
82.500000	95.978	175.5520
83.800003	95.963	175.0816
85.000000	95.936	174.6691
86.199997	95.900	174.2986
87.500000	95.859	173.9484
88.500000	95.828	173.7026
90.000000	95.786	173.3358
91.199997	95.753	173.0291
92.500000	95.715	172.6971
93.800003	95.679	172.3757
95.000000	95.646	172.0894
96.199997	95.612	171.8201
97.500000	95.574	171.5510
98.800003	95.533	171.2961
100.000000	95.494	171.0672
101.500000	95.446	170.7916
103.000000	95.402	170.5392
104.400002	95.367	170.3363
106.000000	95.329	170.1328
107.500000	95.287	169.9366
109.000000	95.240	169.6990
110.599998	95.190	169.3837
112.000000	95.151	169.0930
113.800003	95.104	168.8673
115.000000	95.072	168.9286
117.199997	95.014	169.5410
