* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2022 1:17:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tinhifi T1S R
* Measurement: Tinhifi T1S R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.477	65.8249
20.299999	93.556	65.1412
20.600000	93.630	64.4766
20.900000	93.701	63.8263
21.200001	93.771	63.1843
21.400000	93.819	62.7581
21.799999	93.916	61.9074
22.000000	93.966	61.4829
22.400000	94.066	60.6392
22.700001	94.139	60.0154
23.000000	94.212	59.4034
23.299999	94.284	58.8035
23.600000	94.355	58.2139
24.000000	94.447	57.4390
24.299999	94.514	56.8626
24.700001	94.598	56.0995
25.000000	94.656	55.5345
25.400000	94.729	54.7971
25.799999	94.798	54.0837
26.200001	94.866	53.3926
26.500000	94.918	52.8833
26.900000	94.984	52.2072
27.200001	95.032	51.6972
27.600000	95.091	51.0122
28.000000	95.147	50.3279
28.500000	95.215	49.4902
29.000000	95.282	48.6859
29.500000	95.352	47.9102
30.000000	95.423	47.1425
30.400000	95.480	46.5211
30.700001	95.523	46.0490
31.100000	95.578	45.4169
31.500000	95.628	44.7921
32.000000	95.684	44.0378
32.500000	95.733	43.3202
33.000000	95.781	42.6294
33.500000	95.831	41.9486
34.000000	95.881	41.2682
34.500000	95.930	40.5911
35.000000	95.979	39.9237
35.500000	96.028	39.2665
36.000000	96.078	38.6140
36.500000	96.129	37.9625
37.000000	96.175	37.3149
37.500000	96.216	36.6770
38.200001	96.262	35.8050
38.700001	96.289	35.1962
39.500000	96.325	34.2487
40.000000	96.348	33.6758
40.599998	96.380	33.0073
41.200001	96.416	32.3575
41.799999	96.453	31.7263
42.500000	96.500	31.0105
43.099998	96.542	30.4050
43.700001	96.582	29.7969
44.400002	96.622	29.0792
45.000000	96.648	28.4636
45.500000	96.664	27.9623
46.200001	96.681	27.2947
46.799999	96.696	26.7500
47.500000	96.712	26.1127
48.200001	96.725	25.4526
48.700001	96.729	24.9785
49.400002	96.735	24.3348
50.000000	96.745	23.8000
50.799999	96.766	23.0855
51.500000	96.787	22.4612
52.200001	96.805	21.8679
53.000000	96.824	21.2454
53.799999	96.845	20.6577
54.500000	96.866	20.1432
55.200001	96.889	19.6158
56.000000	96.913	18.9996
57.000000	96.936	18.2242
58.000000	96.952	17.4526
59.000000	96.963	16.6846
60.000000	96.970	15.9224
60.799999	96.972	15.3248
61.500000	96.972	14.8219
62.200001	96.971	14.3440
63.000000	96.971	13.8215
64.000000	96.973	13.1790
65.000000	96.974	12.5267
66.000000	96.971	11.8596
67.000000	96.967	11.1857
68.000000	96.962	10.5225
69.000000	96.955	9.9056
70.000000	96.948	9.3577
71.000000	96.943	8.8507
72.000000	96.937	8.3611
73.000000	96.928	7.8929
74.000000	96.920	7.4348
75.000000	96.913	6.9454
76.199997	96.899	6.2654
77.500000	96.873	5.4351
78.800003	96.837	4.6227
80.000000	96.810	4.0385
81.199997	96.817	3.5511
82.500000	96.844	2.9257
83.800003	96.857	2.2244
85.000000	96.847	1.6119
86.199997	96.822	1.0605
87.500000	96.787	0.5045
88.500000	96.759	0.0710
90.000000	96.716	-0.6161
91.199997	96.680	-1.1454
92.500000	96.646	-1.6451
93.800003	96.622	-2.1009
95.000000	96.604	-2.5124
96.199997	96.581	-2.9124
97.500000	96.551	-3.3258
98.800003	96.516	-3.7283
100.000000	96.484	-4.1132
101.500000	96.446	-4.6497
103.000000	96.409	-5.2365
104.400002	96.377	-5.7717
106.000000	96.342	-6.3513
107.500000	96.304	-6.8127
109.000000	96.267	-7.1428
110.599998	96.237	-7.4520
112.000000	96.210	-7.7816
113.800003	96.163	-8.3183
115.000000	96.122	-8.7241
117.199997	96.036	-9.4619
118.000000	96.005	-9.6919
120.599998	95.932	-10.1639
122.000000	95.920	-10.3205
124.099998	95.913	-10.6415
125.000000	95.903	-10.8092
126.500000	95.875	-11.0826
128.000000	95.832	-11.3286
131.500000	95.698	-11.8660
132.000000	95.679	-11.9571
134.000000	95.609	-12.4233
136.000000	95.554	-13.0470
138.000000	95.506	-13.6998
140.000000	95.455	-14.1783
143.000000	95.377	-14.5466
145.000000	95.325	-14.7902
147.500000	95.262	-15.2243
150.000000	95.207	-15.6622
152.500000	95.159	-15.9688
155.000000	95.106	-16.1702
157.500000	95.042	-16.3632
160.000000	94.972	-16.5430
162.500000	94.899	-16.7058
165.000000	94.813	-16.8757
167.500000	94.714	-17.1046
170.000000	94.615	-17.3912
172.500000	94.537	-17.6873
175.000000	94.479	-17.9548
177.500000	94.425	-18.1869
180.000000	94.367	-18.4766
182.500000	94.305	-18.9045
185.000000	94.246	-19.3418
187.500000	94.204	-19.5280
190.000000	94.186	-19.4734
192.500000	94.174	-19.4102
195.000000	94.152	-19.4858
197.500000	94.116	-19.6819
200.000000	94.072	-19.9021
203.000000	94.020	-20.1488
206.000000	93.981	-20.4266
209.000000	93.943	-20.7487
212.000000	93.876	-21.0182
214.000000	93.810	-21.1268
218.000000	93.664	-21.2371
220.000000	93.598	-21.2786
224.000000	93.490	-21.3816
227.000000	93.422	-21.4897
230.000000	93.358	-21.6209
233.000000	93.295	-21.7686
236.000000	93.232	-21.9208
240.000000	93.145	-22.0783
243.000000	93.077	-22.1462
247.000000	92.983	-22.2002
250.000000	92.911	-22.2139
254.000000	92.821	-22.1807
258.000000	92.742	-22.1246
262.000000	92.672	-22.1099
265.000000	92.618	-22.1273
269.000000	92.541	-22.1464
272.000000	92.481	-22.1368
276.000000	92.403	-22.0913
280.000000	92.332	-22.0219
285.000000	92.256	-21.9384
290.000000	92.192	-21.9277
295.000000	92.122	-22.0046
300.000000	92.041	-22.0829
304.000000	91.974	-22.1063
307.000000	91.926	-22.1053
311.000000	91.861	-22.0941
315.000000	91.793	-22.0761
320.000000	91.701	-22.0176
325.000000	91.610	-21.9020
330.000000	91.524	-21.7605
335.000000	91.443	-21.6212
340.000000	91.363	-21.4967
345.000000	91.283	-21.3804
350.000000	91.206	-21.2510
355.000000	91.133	-21.1005
360.000000	91.062	-20.9343
365.000000	90.989	-20.7603
370.000000	90.913	-20.5802
375.000000	90.839	-20.3910
382.000000	90.740	-20.1096
387.000000	90.673	-19.8999
395.000000	90.568	-19.5509
400.000000	90.503	-19.3259
406.000000	90.425	-19.0558
412.000000	90.347	-18.7882
418.000000	90.270	-18.5059
425.000000	90.185	-18.1336
431.000000	90.119	-17.7863
437.000000	90.059	-17.4391
444.000000	89.993	-17.0527
450.000000	89.941	-16.7550
455.000000	89.899	-16.5479
462.000000	89.833	-16.3057
468.000000	89.769	-16.0883
475.000000	89.693	-15.7828
482.000000	89.618	-15.4419
487.000000	89.564	-15.1909
494.000000	89.487	-14.8132
500.000000	89.423	-14.4523
508.000000	89.346	-13.9520
515.000000	89.284	-13.5277
522.000000	89.221	-13.1052
530.000000	89.145	-12.5966
538.000000	89.072	-12.0619
545.000000	89.013	-11.5876
552.000000	88.957	-11.1097
560.000000	88.898	-10.5682
570.000000	88.827	-9.9072
580.000000	88.754	-9.2401
590.000000	88.678	-8.5508
600.000000	88.605	-7.8280
608.000000	88.553	-7.2372
615.000000	88.511	-6.7205
622.000000	88.470	-6.1934
630.000000	88.422	-5.5591
640.000000	88.368	-4.7268
650.000000	88.322	-3.8807
660.000000	88.291	-3.0486
670.000000	88.272	-2.2878
680.000000	88.252	-1.6024
690.000000	88.222	-0.9327
700.000000	88.185	-0.2316
710.000000	88.149	0.5107
720.000000	88.117	1.2743
730.000000	88.089	2.0461
740.000000	88.063	2.8293
750.000000	88.039	3.6287
762.000000	88.013	4.6105
775.000000	87.991	5.6976
788.000000	87.977	6.8044
800.000000	87.972	7.8547
812.000000	87.979	8.9302
825.000000	88.002	10.0636
838.000000	88.033	11.1039
850.000000	88.057	12.0093
862.000000	88.075	12.9202
875.000000	88.093	13.9465
885.000000	88.112	14.7653
900.000000	88.148	16.0205
912.000000	88.186	17.0471
925.000000	88.238	18.1737
938.000000	88.303	19.2892
950.000000	88.375	20.2900
962.000000	88.454	21.2613
975.000000	88.551	22.2830
988.000000	88.659	23.2663
1000.000000	88.767	24.1335
1015.000000	88.913	25.1605
1030.000000	89.075	26.0897
1044.000000	89.238	26.8041
1060.000000	89.424	27.3939
1075.000000	89.585	27.7805
1090.000000	89.731	28.0895
1106.000000	89.877	28.3857
1120.000000	89.998	28.6378
1138.000000	90.143	28.9694
1150.000000	90.236	29.1964
1172.000000	90.402	29.6199
1180.000000	90.464	29.7745
1206.000000	90.679	30.2072
1220.000000	90.798	30.3432
1241.000000	90.964	30.4375
1250.000000	91.028	30.4614
1265.000000	91.128	30.5025
1280.000000	91.220	30.5546
1315.000000	91.422	30.7286
1320.000000	91.450	30.7554
1340.000000	91.562	30.8601
1360.000000	91.671	30.9771
1380.000000	91.776	31.1394
1400.000000	91.886	31.3684
1430.000000	92.081	31.7345
1450.000000	92.225	31.8981
1475.000000	92.410	32.0265
1500.000000	92.604	32.1288
1525.000000	92.811	32.2470
1550.000000	93.029	32.4074
1575.000000	93.248	32.5951
1600.000000	93.438	32.7163
1625.000000	93.556	32.7168
1650.000000	93.590	32.6408
1675.000000	93.569	32.5379
1700.000000	93.543	32.4199
1725.000000	93.550	32.2797
1750.000000	93.607	32.1368
1775.000000	93.712	32.0294
1800.000000	93.858	31.9491
1825.000000	94.029	31.8246
1850.000000	94.208	31.6128
1875.000000	94.383	31.3269
1900.000000	94.552	31.0011
1925.000000	94.714	30.6700
1950.000000	94.873	30.3448
1975.000000	95.032	29.9897
2000.000000	95.186	29.5599
2030.000000	95.354	28.9506
2060.000000	95.499	28.2999
2090.000000	95.620	27.6672
2120.000000	95.719	27.1042
2140.000000	95.777	26.8023
2180.000000	95.899	26.4304
2200.000000	95.975	26.3279
2240.000000	96.166	26.1223
2270.000000	96.335	25.8593
2300.000000	96.512	25.4476
2330.000000	96.688	24.8875
2360.000000	96.855	24.2007
2400.000000	97.057	23.1568
2430.000000	97.196	22.3541
2470.000000	97.378	21.3048
2500.000000	97.520	20.4963
2540.000000	97.714	19.3245
2580.000000	97.912	17.9745
2620.000000	98.100	16.3484
2650.000000	98.220	14.9464
2690.000000	98.335	12.9470
2720.000000	98.390	11.4468
2760.000000	98.431	9.5140
2800.000000	98.443	7.6644
2850.000000	98.426	5.4841
2900.000000	98.376	3.4928
2950.000000	98.302	1.7682
3000.000000	98.226	0.2957
3040.000000	98.174	-0.7736
3070.000000	98.142	-1.5303
3110.000000	98.112	-2.4869
3150.000000	98.102	-3.4291
3200.000000	98.111	-4.6929
3250.000000	98.122	-6.1064
3300.000000	98.115	-7.6110
3350.000000	98.082	-9.0754
3400.000000	98.033	-10.4352
3450.000000	97.970	-11.6863
3500.000000	97.903	-12.8181
3550.000000	97.847	-13.8809
3600.000000	97.813	-15.0020
3650.000000	97.793	-16.2942
3700.000000	97.774	-17.7837
3750.000000	97.747	-19.4230
3820.000000	97.692	-21.8919
3870.000000	97.635	-23.7147
3950.000000	97.514	-26.6041
4000.000000	97.422	-28.4187
4060.000000	97.280	-30.6681
4120.000000	97.085	-32.9740
4180.000000	96.826	-35.2560
4250.000000	96.437	-37.7671
4310.000000	96.035	-39.6561
4370.000000	95.595	-41.2416
4440.000000	95.058	-42.7556
4500.000000	94.587	-43.8118
4550.000000	94.191	-44.5274
4620.000000	93.630	-45.2769
4680.000000	93.145	-45.6503
4750.000000	92.586	-45.7311
4820.000000	92.052	-45.4773
4870.000000	91.690	-45.1406
4940.000000	91.211	-44.4929
5000.000000	90.824	-43.7930
5080.000000	90.330	-42.6317
5150.000000	89.917	-41.3612
5220.000000	89.528	-39.8790
5300.000000	89.113	-38.0101
5380.000000	88.721	-36.0259
5450.000000	88.386	-34.2135
5520.000000	88.053	-32.2958
5600.000000	87.683	-29.9504
5700.000000	87.261	-26.8447
5800.000000	86.899	-23.6467
5900.000000	86.594	-20.3929
6000.000000	86.347	-17.0288
6080.000000	86.197	-14.2643
6150.000000	86.101	-11.8269
6220.000000	86.039	-9.4032
6300.000000	86.004	-6.6571
6400.000000	86.013	-3.2402
6500.000000	86.084	0.1455
6600.000000	86.222	3.4343
6700.000000	86.422	6.5765
6800.000000	86.684	9.5743
6900.000000	87.018	12.4124
7000.000000	87.430	15.0164
7100.000000	87.923	17.2820
7200.000000	88.502	19.1082
7300.000000	89.175	20.3669
7400.000000	89.945	20.8527
7500.000000	90.791	20.2896
7620.000000	91.850	17.7759
7750.000000	92.922	12.0996
7880.000000	93.709	2.8307
8000.000000	93.996	-8.4138
8120.000000	93.761	-20.5912
8250.000000	92.928	-32.4678
8380.000000	91.615	-41.1895
8500.000000	90.143	-45.9936
8620.000000	88.585	-48.1003
8750.000000	86.945	-48.1378
8850.000000	85.774	-47.0322
9000.000000	84.209	-44.0952
9120.000000	83.125	-40.9974
9250.000000	82.098	-37.1346
9380.000000	81.203	-32.8761
9500.000000	80.481	-28.7007
9620.000000	79.849	-24.3706
9750.000000	79.251	-19.5384
9880.000000	78.738	-14.5839
10000.000000	78.337	-9.9339
10150.000000	77.925	-4.0304
10300.000000	77.611	1.9618
10440.000000	77.406	7.5926
10600.000000	77.273	14.0540
10750.000000	77.246	20.1130
10900.000000	77.317	26.1291
11060.000000	77.523	32.4774
11200.000000	77.834	37.9383
11380.000000	78.435	44.7612
11500.000000	78.986	49.1407
11720.000000	80.393	56.5647
11800.000000	81.057	58.9619
12060.000000	83.806	64.5889
12200.000000	85.550	65.1876
12410.000000	88.100	60.2247
12500.000000	89.021	55.1897
12650.000000	90.132	42.6486
12800.000000	90.558	26.4442
13150.000000	88.773	-6.1873
13200.000000	88.274	-8.8689
13400.000000	85.981	-14.4932
13600.000000	83.575	-14.1536
13800.000000	81.408	-10.5338
14000.000000	79.670	-5.2921
14300.000000	78.018	3.8405
14500.000000	77.550	10.1599
14750.000000	77.618	17.7697
15000.000000	78.339	24.3609
15250.000000	79.599	28.6375
15500.000000	81.126	28.2855
15750.000000	82.442	20.3537
16000.000000	82.993	4.0862
16250.000000	82.398	-15.4919
16500.000000	80.678	-30.4109
16750.000000	78.195	-36.9876
17000.000000	75.410	-36.6017
17250.000000	72.715	-31.9561
17500.000000	70.372	-25.0184
17750.000000	68.485	-16.8943
18000.000000	67.032	-8.1461
18250.000000	65.940	0.9507
18500.000000	65.142	10.1831
18750.000000	64.585	19.2971
19000.000000	64.235	28.0063
19250.000000	64.053	35.9908
19500.000000	63.983	42.9676
19750.000000	63.948	48.9210
20000.000000	63.888	54.3229
