* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2022 10:42:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: T2 DLC MP
* Measurement: KZ EDX Ultra Sep 20
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.025	-152.8540
20.299999	97.041	-153.6161
20.600000	97.055	-154.3637
20.900000	97.068	-155.0950
21.200001	97.079	-155.8085
21.400000	97.086	-156.2747
21.799999	97.099	-157.1887
22.000000	97.106	-157.6387
22.400000	97.118	-158.5297
22.700001	97.126	-159.1915
23.000000	97.132	-159.8468
23.299999	97.137	-160.4934
23.600000	97.141	-161.1295
24.000000	97.144	-161.9604
24.299999	97.146	-162.5712
24.700001	97.147	-163.3703
25.000000	97.146	-163.9578
25.400000	97.144	-164.7232
25.799999	97.140	-165.4653
26.200001	97.136	-166.1843
26.500000	97.132	-166.7111
26.900000	97.126	-167.4010
27.200001	97.121	-167.9108
27.600000	97.113	-168.5796
28.000000	97.103	-169.2313
28.500000	97.088	-170.0166
29.000000	97.072	-170.7742
29.500000	97.056	-171.5179
30.000000	97.039	-172.2560
30.400000	97.023	-172.8382
30.700001	97.010	-173.2662
31.100000	96.993	-173.8245
31.500000	96.977	-174.3748
32.000000	96.957	-175.0652
32.500000	96.935	-175.7595
33.000000	96.910	-176.4350
33.500000	96.884	-177.0712
34.000000	96.862	-177.6815
34.500000	96.842	-178.3034
35.000000	96.819	-178.9472
35.500000	96.786	-179.5682
36.000000	96.747	179.8939
36.500000	96.711	179.4483
37.000000	96.687	179.0361
37.500000	96.670	178.5886
38.200001	96.642	177.8829
38.700001	96.611	177.3809
39.500000	96.559	176.6621
40.000000	96.533	176.2268
40.599998	96.506	175.6564
41.200001	96.476	175.0203
41.799999	96.437	174.3528
42.500000	96.379	173.5890
43.099998	96.321	172.9856
43.700001	96.258	172.4758
44.400002	96.189	172.0490
45.000000	96.149	171.7980
45.500000	96.134	171.5851
46.200001	96.130	171.1601
46.799999	96.121	170.6663
47.500000	96.089	170.0535
48.200001	96.040	169.5027
48.700001	96.002	169.1556
49.400002	95.946	168.7144
50.000000	95.899	168.3654
50.799999	95.839	167.9168
51.500000	95.789	167.5164
52.200001	95.737	167.1150
53.000000	95.676	166.6806
53.799999	95.619	166.2675
54.500000	95.569	165.9116
55.200001	95.517	165.5753
56.000000	95.456	165.2398
57.000000	95.385	164.8806
58.000000	95.321	164.5316
59.000000	95.260	164.1552
60.000000	95.199	163.7597
60.799999	95.150	163.4456
61.500000	95.108	163.1710
62.200001	95.068	162.8951
63.000000	95.023	162.5826
64.000000	94.967	162.1985
65.000000	94.908	161.8211
66.000000	94.844	161.4641
67.000000	94.776	161.1417
68.000000	94.709	160.8482
69.000000	94.649	160.5480
70.000000	94.595	160.2031
71.000000	94.545	159.7984
72.000000	94.492	159.3424
73.000000	94.427	158.9219
74.000000	94.358	158.6447
75.000000	94.303	158.4786
76.199997	94.250	158.2815
77.500000	94.191	158.0159
78.800003	94.122	157.7245
80.000000	94.053	157.4382
81.199997	93.983	157.1187
82.500000	93.905	156.7402
83.800003	93.824	156.3656
85.000000	93.745	156.0694
86.199997	93.663	155.8465
87.500000	93.573	155.6829
88.500000	93.504	155.5966
90.000000	93.404	155.4922
91.199997	93.331	155.3813
92.500000	93.255	155.1942
93.800003	93.176	154.9741
95.000000	93.104	154.7869
96.199997	93.035	154.6215
97.500000	92.964	154.4581
98.800003	92.894	154.3134
100.000000	92.830	154.2066
101.500000	92.749	154.1133
103.000000	92.670	154.0487
104.400002	92.598	153.9898
106.000000	92.519	153.9018
107.500000	92.447	153.8005
109.000000	92.378	153.7011
110.599998	92.306	153.6066
112.000000	92.240	153.5182
113.800003	92.141	153.3605
