* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 19, 2022 5:56:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tinhifi T2 DLC R
* Measurement: Tinhifi T2 DLC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.603	-125.9223
20.299999	90.689	-126.8487
20.600000	90.761	-127.7964
20.900000	90.820	-128.7152
21.200001	90.867	-129.5562
21.400000	90.897	-130.0606
21.799999	90.960	-130.9489
22.000000	90.996	-131.3498
22.400000	91.081	-132.1206
22.700001	91.153	-132.7166
23.000000	91.228	-133.3556
23.299999	91.299	-134.0367
23.600000	91.363	-134.7447
24.000000	91.437	-135.6955
24.299999	91.483	-136.3867
24.700001	91.537	-137.2590
25.000000	91.575	-137.8753
25.400000	91.624	-138.6577
25.799999	91.673	-139.4138
26.200001	91.720	-140.1589
26.500000	91.756	-140.7153
26.900000	91.800	-141.4566
27.200001	91.832	-142.0126
27.600000	91.872	-142.7534
28.000000	91.907	-143.4897
28.500000	91.945	-144.3905
29.000000	91.977	-145.2498
29.500000	92.008	-146.0583
30.000000	92.041	-146.8287
30.400000	92.070	-147.4358
30.700001	92.091	-147.8937
31.100000	92.119	-148.5107
31.500000	92.145	-149.1293
32.000000	92.171	-149.8878
32.500000	92.195	-150.6144
33.000000	92.217	-151.3100
33.500000	92.240	-151.9892
34.000000	92.262	-152.6646
34.500000	92.281	-153.3356
35.000000	92.298	-153.9944
35.500000	92.314	-154.6378
36.000000	92.329	-155.2723
36.500000	92.344	-155.9064
37.000000	92.357	-156.5412
37.500000	92.366	-157.1690
38.200001	92.375	-158.0179
38.700001	92.380	-158.5982
39.500000	92.388	-159.4901
40.000000	92.392	-160.0306
40.599998	92.397	-160.6641
41.200001	92.400	-161.2784
41.799999	92.403	-161.8711
42.500000	92.406	-162.5392
43.099998	92.408	-163.1024
43.700001	92.410	-163.6628
44.400002	92.409	-164.3095
45.000000	92.406	-164.8518
45.500000	92.402	-165.2941
46.200001	92.396	-165.8997
46.799999	92.390	-166.4078
47.500000	92.383	-166.9920
48.200001	92.375	-167.5721
48.700001	92.369	-167.9828
49.400002	92.359	-168.5456
50.000000	92.349	-169.0127
50.799999	92.335	-169.6128
51.500000	92.323	-170.1155
52.200001	92.311	-170.5956
53.000000	92.298	-171.1224
53.799999	92.285	-171.6325
54.500000	92.275	-172.0660
55.200001	92.267	-172.4955
56.000000	92.259	-173.0001
57.000000	92.246	-173.6586
58.000000	92.227	-174.3199
59.000000	92.205	-174.9672
60.000000	92.179	-175.5941
60.799999	92.156	-176.0716
61.500000	92.136	-176.4694
62.200001	92.117	-176.8498
63.000000	92.094	-177.2650
64.000000	92.067	-177.7587
65.000000	92.041	-178.2339
66.000000	92.014	-178.7013
67.000000	91.986	-179.1644
68.000000	91.955	-179.6199
69.000000	91.924	179.9305
70.000000	91.894	179.4783
71.000000	91.862	179.0214
72.000000	91.829	178.5699
73.000000	91.795	178.1377
74.000000	91.762	177.7430
75.000000	91.733	177.3897
76.199997	91.705	176.9799
77.500000	91.677	176.5200
78.800003	91.646	176.0612
80.000000	91.616	175.6351
81.199997	91.582	175.1873
82.500000	91.541	174.6783
83.800003	91.493	174.1618
85.000000	91.443	173.7017
86.199997	91.388	173.2804
87.500000	91.328	172.8813
88.500000	91.283	172.6114
90.000000	91.221	172.2418
91.199997	91.175	171.9630
92.500000	91.127	171.6753
93.800003	91.082	171.3977
95.000000	91.040	171.1473
96.199997	90.995	170.9053
97.500000	90.944	170.6527
98.800003	90.892	170.4000
100.000000	90.846	170.1624
101.500000	90.791	169.8747
103.000000	90.741	169.6190
104.400002	90.699	169.4115
106.000000	90.651	169.1888
107.500000	90.603	168.9674
109.000000	90.552	168.7195
110.599998	90.501	168.4306
112.000000	90.458	168.1884
113.800003	90.396	167.9742
115.000000	90.345	167.9375
117.199997	90.229	168.1207
118.000000	90.187	168.2309
120.599998	90.095	168.2674
122.000000	90.058	167.9478
124.099998	89.997	167.3491
125.000000	89.973	167.1406
126.500000	89.936	166.8851
128.000000	89.898	166.7198
131.500000	89.795	166.4924
132.000000	89.779	166.4642
134.000000	89.716	166.3439
136.000000	89.653	166.2016
138.000000	89.589	166.0177
140.000000	89.525	165.8051
143.000000	89.436	165.5157
145.000000	89.375	165.3912
147.500000	89.289	165.3431
150.000000	89.197	165.3406
152.500000	89.101	165.3268
155.000000	89.008	165.3471
157.500000	88.924	165.4246
160.000000	88.850	165.5168
162.500000	88.779	165.5985
165.000000	88.703	165.6896
167.500000	88.623	165.8331
170.000000	88.542	166.0792
172.500000	88.467	166.4544
175.000000	88.409	166.9044
177.500000	88.373	167.3141
180.000000	88.356	167.6337
182.500000	88.349	167.8747
185.000000	88.348	168.0395
187.500000	88.350	168.1200
190.000000	88.351	168.1087
192.500000	88.344	168.0214
195.000000	88.320	167.9070
197.500000	88.281	167.8092
200.000000	88.235	167.7574
203.000000	88.179	167.7749
206.000000	88.126	167.8428
209.000000	88.077	167.9024
212.000000	88.029	167.9486
214.000000	87.996	167.9913
218.000000	87.929	168.1451
220.000000	87.899	168.2509
224.000000	87.848	168.4661
227.000000	87.815	168.6001
230.000000	87.783	168.7070
233.000000	87.749	168.7950
236.000000	87.715	168.8731
240.000000	87.667	168.9607
243.000000	87.627	169.0201
247.000000	87.568	169.1257
250.000000	87.522	169.2446
254.000000	87.464	169.4609
258.000000	87.417	169.6989
262.000000	87.377	169.8936
265.000000	87.345	170.0135
269.000000	87.294	170.1844
272.000000	87.254	170.3388
276.000000	87.203	170.5800
280.000000	87.160	170.8495
285.000000	87.119	171.1939
290.000000	87.088	171.4787
295.000000	87.052	171.6794
300.000000	87.005	171.8816
304.000000	86.965	172.0771
307.000000	86.936	172.2357
311.000000	86.901	172.4487
315.000000	86.867	172.6562
320.000000	86.824	172.9205
325.000000	86.782	173.2108
330.000000	86.745	173.5120
335.000000	86.712	173.7922
340.000000	86.678	174.0444
345.000000	86.641	174.2885
