* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 2, 2021 9:24:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tranya T10
* Measurement: Jul 2 21:24:31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	81.425	163.677
20.586	81.402	163.408
20.885	81.351	162.922
21.189	81.293	162.477
21.497	81.238	162.082
21.810	81.189	161.695
22.127	81.146	161.283
22.449	81.107	160.828
22.776	81.070	160.323
23.107	81.033	159.769
23.443	80.993	159.182
23.784	80.952	158.589
24.130	80.912	158.016
24.481	80.875	157.470
24.837	80.842	156.941
25.198	80.812	156.407
25.565	80.786	155.853
25.937	80.764	155.285
26.314	80.741	154.724
26.697	80.716	154.186
27.085	80.687	153.669
27.479	80.652	153.160
27.879	80.613	152.659
28.284	80.569	152.183
28.696	80.527	151.751
29.113	80.492	151.342
29.537	80.460	150.904
29.966	80.422	150.405
30.402	80.371	149.892
30.844	80.314	149.460
31.293	80.271	149.146
31.748	80.253	148.841
32.210	80.251	148.359
32.678	80.234	147.631
33.154	80.181	146.816
33.636	80.099	146.189
34.125	80.026	145.851
34.621	79.996	145.618
35.125	80.001	145.180
35.636	79.995	144.431
36.154	79.942	143.576
36.680	79.844	142.944
37.214	79.734	142.695
37.755	79.650	142.738
38.304	79.616	142.834
38.861	79.622	142.723
39.427	79.641	142.254
40.000	79.642	141.457
40.582	79.608	140.536
41.172	79.546	139.738
41.771	79.480	139.135
42.379	79.430	138.624
42.995	79.391	138.116
43.620	79.352	137.641
44.255	79.313	137.234
44.898	79.276	136.844
45.552	79.239	136.422
46.214	79.200	135.991
46.886	79.161	135.556
47.568	79.122	135.066
48.260	79.076	134.499
48.962	79.019	133.880
49.674	78.958	133.239
50.397	78.904	132.632
51.130	78.871	132.080
51.874	78.857	131.480
52.628	78.833	130.791
53.394	78.785	130.182
54.170	78.746	129.713
54.958	78.724	129.225
55.758	78.696	128.705
56.569	78.665	128.241
57.391	78.638	127.702
58.226	78.591	127.030
59.073	78.521	126.421
59.932	78.461	125.889
60.804	78.408	125.279
61.688	78.351	124.642
62.586	78.307	124.033
63.496	78.278	123.347
64.420	78.239	122.599
65.357	78.187	121.916
66.307	78.140	121.272
67.272	78.097	120.569
68.250	78.048	119.828
69.243	77.991	119.033
70.250	77.915	118.218
71.272	77.835	117.370
72.309	77.728	116.485
73.360	77.625	116.034
74.427	77.632	115.629
75.510	77.655	114.579
76.608	77.621	113.474
77.723	77.581	112.290
78.853	77.446	111.204
80.000	77.300	111.149
81.164	77.286	111.239
82.344	77.287	110.748
83.542	77.239	110.093
84.757	77.163	109.427
85.990	77.067	108.793
87.241	76.982	108.175
88.510	76.913	107.333
89.797	76.816	106.281
91.103	76.686	105.422
92.428	76.590	104.855
93.773	76.536	104.183
95.137	76.482	103.468
96.520	76.427	102.851
97.924	76.378	102.344
99.349	76.336	101.654
100.794	76.239	100.671
102.260	76.107	99.789
103.747	76.004	99.005
105.256	75.934	98.246
106.787	75.869	97.536
108.340	75.776	96.872
109.916	75.643	96.153
111.515	75.501	95.283
113.137	75.397	94.294
114.783	75.341	93.528
116.452	75.311	93.591
118.146	75.351	94.682
119.865	75.479	94.941
121.608	75.333	93.063
123.377	74.928	91.308
125.171	74.639	89.984
126.992	74.520	88.787
128.839	74.461	87.869
130.713	74.363	87.257
132.615	74.236	86.787
134.543	74.109	86.164
136.500	73.967	85.598
138.486	73.824	85.170
140.500	73.693	84.531
142.544	73.591	83.555
144.617	73.531	82.398
146.721	73.435	81.693
148.855	73.344	81.891
151.020	73.290	81.738
153.217	73.148	80.806
155.445	72.947	79.991
157.706	72.781	79.394
160.000	72.644	78.977
162.327	72.577	78.610
164.688	72.514	77.821
167.084	72.330	77.304
169.514	72.105	77.246
171.980	71.903	76.915
174.481	71.714	76.208
177.019	71.531	75.607
179.594	71.348	75.067
182.206	71.155	74.665
184.856	71.043	74.338
187.545	70.956	73.835
190.273	70.842	73.779
193.041	70.732	74.100
195.849	70.563	74.513
198.697	70.380	75.134
201.587	70.326	75.394
204.520	70.396	75.313
207.494	70.474	75.003
210.512	70.476	74.390
213.574	70.413	73.733
216.681	70.353	73.138
219.833	70.269	72.090
223.030	70.116	71.029
226.274	70.004	70.292
229.565	69.879	69.850
232.905	69.690	69.792
236.292	69.500	69.691
239.729	69.422	69.159
243.216	69.377	68.440
246.754	69.289	67.981
250.343	69.183	67.629
253.984	69.082	67.290
257.678	68.978	66.931
261.426	68.870	66.608
