* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 25, 2022 12:13:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Olina dual damper
* Measurement: Olina Dual Filter
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.217	31.4272
20.299999	105.230	30.7073
20.600000	105.243	30.0024
20.900000	105.255	29.3116
21.200001	105.267	28.6341
21.400000	105.275	28.1895
21.799999	105.291	27.3174
22.000000	105.299	26.8902
22.400000	105.313	26.0538
22.700001	105.323	25.4424
23.000000	105.332	24.8440
23.299999	105.340	24.2578
23.600000	105.347	23.6829
24.000000	105.355	22.9332
24.299999	105.359	22.3833
24.700001	105.362	21.6664
25.000000	105.364	21.1406
25.400000	105.365	20.4539
25.799999	105.365	19.7818
26.200001	105.364	19.1224
26.500000	105.363	18.6359
26.900000	105.360	17.9982
27.200001	105.357	17.5284
27.600000	105.353	16.9131
28.000000	105.348	16.3096
28.500000	105.341	15.5701
29.000000	105.334	14.8465
29.500000	105.326	14.1401
30.000000	105.318	13.4515
30.400000	105.313	12.9130
30.700001	105.308	12.5153
31.100000	105.303	11.9922
31.500000	105.297	11.4771
32.000000	105.289	10.8445
32.500000	105.281	10.2249
33.000000	105.271	9.6179
33.500000	105.260	9.0223
34.000000	105.248	8.4371
34.500000	105.235	7.8628
35.000000	105.221	7.2999
35.500000	105.206	6.7487
36.000000	105.190	6.2091
36.500000	105.174	5.6810
37.000000	105.156	5.1643
37.500000	105.139	4.6588
38.200001	105.114	3.9689
38.700001	105.096	3.4877
39.500000	105.068	2.7374
40.000000	105.049	2.2812
40.599998	105.027	1.7479
41.200001	105.004	1.2283
41.799999	104.981	0.7202
42.500000	104.952	0.1425
43.099998	104.927	-0.3379
43.700001	104.901	-0.8053
44.400002	104.871	-1.3397
45.000000	104.844	-1.7916
45.500000	104.822	-2.1627
46.200001	104.790	-2.6715
46.799999	104.763	-3.0986
47.500000	104.732	-3.5892
48.200001	104.701	-4.0717
48.700001	104.678	-4.4104
49.400002	104.647	-4.8743
50.000000	104.619	-5.2610
50.799999	104.582	-5.7596
51.500000	104.550	-6.1804
52.200001	104.518	-6.5857
53.000000	104.482	-7.0275
53.799999	104.448	-7.4513
54.500000	104.420	-7.8171
55.200001	104.394	-8.1842
56.000000	104.365	-8.6068
57.000000	104.329	-9.1424
58.000000	104.292	-9.6895
59.000000	104.252	-10.2419
60.000000	104.206	-10.7811
60.799999	104.166	-11.1878
61.500000	104.130	-11.5229
62.200001	104.095	-11.8439
63.000000	104.054	-12.2001
64.000000	104.003	-12.6325
65.000000	103.951	-13.0487
66.000000	103.899	-13.4512
67.000000	103.848	-13.8439
68.000000	103.798	-14.2252
69.000000	103.749	-14.5925
70.000000	103.702	-14.9497
71.000000	103.657	-15.3025
72.000000	103.611	-15.6508
73.000000	103.563	-15.9912
74.000000	103.513	-16.3187
75.000000	103.463	-16.6287
76.199997	103.405	-16.9874
77.500000	103.347	-17.3943
78.800003	103.291	-17.8332
80.000000	103.239	-18.2553
81.199997	103.185	-18.6807
82.500000	103.123	-19.1277
83.800003	103.057	-19.5526
85.000000	102.991	-19.9174
86.199997	102.920	-20.2412
87.500000	102.841	-20.5346
88.500000	102.782	-20.7228
90.000000	102.697	-20.9589
91.199997	102.634	-21.1149
92.500000	102.571	-21.2609
93.800003	102.515	-21.3979
95.000000	102.468	-21.5264
96.199997	102.424	-21.6613
97.500000	102.378	-21.8196
98.800003	102.334	-21.9954
100.000000	102.292	-22.1739
101.500000	102.238	-22.4154
103.000000	102.183	-22.6777
104.400002	102.129	-22.9434
106.000000	102.065	-23.2548
107.500000	102.003	-23.5202
109.000000	101.945	-23.7496
110.599998	101.888	-23.9825
112.000000	101.837	-24.1873
113.800003	101.763	-24.4402
115.000000	101.706	-24.5892
117.199997	101.589	-24.7889
118.000000	101.545	-24.8359
120.599998	101.417	-24.9532
122.000000	101.360	-25.0321
124.099998	101.282	-25.1651
125.000000	101.250	-25.2162
126.500000	101.196	-25.2833
128.000000	101.141	-25.3268
131.500000	101.011	-25.3619
132.000000	100.993	-25.3607
134.000000	100.927	-25.3362
136.000000	100.872	-25.2927
138.000000	100.823	-25.2765
140.000000	100.773	-25.3273
143.000000	100.690	-25.5243
145.000000	100.632	-25.6960
147.500000	100.561	-25.8851
150.000000	100.489	-26.0225
152.500000	100.410	-26.1227
155.000000	100.321	-26.1773
157.500000	100.234	-26.1975
160.000000	100.156	-26.2233
162.500000	100.081	-26.2697
165.000000	100.003	-26.3237
167.500000	99.922	-26.3631
170.000000	99.839	-26.3669
172.500000	99.758	-26.3329
175.000000	99.683	-26.2795
177.500000	99.613	-26.2250
180.000000	99.545	-26.1748
182.500000	99.478	-26.1285
185.000000	99.413	-26.0867
187.500000	99.347	-26.0477
190.000000	99.283	-26.0063
192.500000	99.218	-25.9573
195.000000	99.155	-25.8968
197.500000	99.093	-25.8208
200.000000	99.034	-25.7253
203.000000	98.965	-25.5875
206.000000	98.902	-25.4468
209.000000	98.841	-25.3281
212.000000	98.777	-25.2269
214.000000	98.732	-25.1548
218.000000	98.636	-24.9609
220.000000	98.590	-24.8376
224.000000	98.506	-24.5781
227.000000	98.448	-24.3984
230.000000	98.391	-24.2335
233.000000	98.335	-24.0763
236.000000	98.280	-23.9246
240.000000	98.207	-23.7322
243.000000	98.150	-23.5894
247.000000	98.071	-23.3779
250.000000	98.011	-23.1858
254.000000	97.936	-22.8755
258.000000	97.874	-22.5447
262.000000	97.821	-22.2631
265.000000	97.780	-22.0876
269.000000	97.722	-21.8572
272.000000	97.677	-21.6638
276.000000	97.621	-21.3749
280.000000	97.572	-21.0660
285.000000	97.522	-20.6900
290.000000	97.481	-20.3929
295.000000	97.434	-20.1880
300.000000	97.374	-19.9874
304.000000	97.322	-19.7911
307.000000	97.284	-19.6272
311.000000	97.233	-19.4000
315.000000	97.183	-19.1701
320.000000	97.118	-18.8630
325.000000	97.055	-18.5153
330.000000	96.997	-18.1431
335.000000	96.946	-17.7752
340.000000	96.898	-17.4267
345.000000	96.849	-17.0913
350.000000	96.799	-16.7542
355.000000	96.751	-16.4106
360.000000	96.703	-16.0645
365.000000	96.658	-15.7181
370.000000	96.613	-15.3706
375.000000	96.570	-15.0207
382.000000	96.513	-14.5294
387.000000	96.473	-14.1783
395.000000	96.412	-13.6129
400.000000	96.375	-13.2562
406.000000	96.334	-12.8301
412.000000	96.293	-12.4085
418.000000	96.253	-11.9761
425.000000	96.209	-11.4391
431.000000	96.179	-10.9642
437.000000	96.156	-10.5056
444.000000	96.135	-10.0107
450.000000	96.121	-9.6341
455.000000	96.109	-9.3669
462.000000	96.083	-9.0464
468.000000	96.052	-8.7656
475.000000	96.010	-8.3892
482.000000	95.970	-7.9788
487.000000	95.941	-7.6788
494.000000	95.900	-7.2350
500.000000	95.867	-6.8209
508.000000	95.831	-6.2557
515.000000	95.803	-5.7803
522.000000	95.775	-5.3142
530.000000	95.743	-4.7657
538.000000	95.716	-4.2012
545.000000	95.696	-3.7101
552.000000	95.678	-3.2251
560.000000	95.661	-2.6862
570.000000	95.640	-2.0396
580.000000	95.617	-1.3937
590.000000	95.594	-0.7311
600.000000	95.574	-0.0437
608.000000	95.563	0.5110
615.000000	95.554	0.9894
622.000000	95.545	1.4716
630.000000	95.537	2.0462
640.000000	95.535	2.7910
650.000000	95.545	3.5323
660.000000	95.568	4.2367
670.000000	95.603	4.8350
680.000000	95.638	5.3000
690.000000	95.667	5.6472
700.000000	95.685	5.8586
710.000000	95.679	5.9071
720.000000	95.619	5.8794
730.000000	95.486	6.1194
740.000000	95.323	7.0323
750.000000	95.219	8.5504
762.000000	95.219	10.4720
775.000000	95.305	12.1156
788.000000	95.401	13.3508
800.000000	95.479	14.3267
812.000000	95.553	15.2440
825.000000	95.638	16.1569
838.000000	95.723	16.9456
850.000000	95.791	17.5981
862.000000	95.851	18.2382
875.000000	95.911	18.9504
885.000000	95.958	19.5121
900.000000	96.031	20.3558
912.000000	96.093	21.0308
925.000000	96.164	21.7577
938.000000	96.242	22.4598
950.000000	96.316	23.0734
962.000000	96.392	23.6603
975.000000	96.474	24.2799
988.000000	96.558	24.8905
1000.000000	96.636	25.4533
1015.000000	96.739	26.1715
1030.000000	96.854	26.8859
1044.000000	96.973	27.4893
1060.000000	97.112	28.0495
1075.000000	97.235	28.4828
1090.000000	97.351	28.8860
1106.000000	97.468	29.3117
1120.000000	97.569	29.6927
1138.000000	97.698	30.2115
1150.000000	97.788	30.5797
1172.000000	97.970	31.2826
1180.000000	98.045	31.5334
1206.000000	98.323	32.1689
1220.000000	98.482	32.3048
1241.000000	98.705	32.2413
1250.000000	98.790	32.1497
1265.000000	98.917	31.9560
1280.000000	99.029	31.7442
1315.000000	99.247	31.2995
1320.000000	99.275	31.2433
1340.000000	99.382	31.0351
1360.000000	99.482	30.8692
1380.000000	99.581	30.7754
1400.000000	99.685	30.7725
1430.000000	99.860	30.8323
1450.000000	99.982	30.8170
1475.000000	100.123	30.7471
1500.000000	100.246	30.6781
1525.000000	100.346	30.6512
1550.000000	100.425	30.6924
1575.000000	100.498	30.7861
1600.000000	100.577	30.8396
1625.000000	100.653	30.8010
1650.000000	100.717	30.7167
1675.000000	100.772	30.6409
1700.000000	100.822	30.5929
1725.000000	100.865	30.5745
1750.000000	100.899	30.6139
1775.000000	100.929	30.7563
1800.000000	100.971	30.9910
1825.000000	101.033	31.2276
1850.000000	101.109	31.3875
1875.000000	101.190	31.4458
1900.000000	101.272	31.4185
1925.000000	101.354	31.3539
1950.000000	101.439	31.2996
1975.000000	101.530	31.2582
2000.000000	101.620	31.2125
2030.000000	101.718	31.1779
2060.000000	101.802	31.2383
2090.000000	101.880	31.4617
2120.000000	101.964	31.8919
2140.000000	102.032	32.3056
2180.000000	102.232	33.3433
2200.000000	102.373	33.8397
2240.000000	102.715	34.4187
2270.000000	102.983	34.3705
2300.000000	103.228	33.9861
2330.000000	103.445	33.4225
2360.000000	103.640	32.7763
2400.000000	103.876	31.8007
2430.000000	104.032	30.9821
2470.000000	104.207	29.8148
2500.000000	104.313	28.9291
2540.000000	104.423	27.8323
2580.000000	104.514	26.8979
2620.000000	104.604	26.0864
2650.000000	104.671	25.5299
2690.000000	104.766	24.8507
2720.000000	104.845	24.3709
2760.000000	104.966	23.6813
2800.000000	105.092	22.8328
2850.000000	105.230	21.5384
2900.000000	105.327	20.1182
2950.000000	105.385	18.7625
3000.000000	105.427	17.5306
3040.000000	105.455	16.5890
3070.000000	105.472	15.9006
3110.000000	105.491	15.0154
3150.000000	105.509	14.1462
3200.000000	105.527	13.0114
3250.000000	105.524	11.7956
3300.000000	105.482	10.5873
3350.000000	105.401	9.5715
3400.000000	105.303	8.8663
3450.000000	105.212	8.4722
3500.000000	105.147	8.3365
3550.000000	105.122	8.3420
3600.000000	105.135	8.3350
3650.000000	105.171	8.2141
3700.000000	105.214	7.9702
3750.000000	105.255	7.6530
3820.000000	105.305	7.1332
3870.000000	105.332	6.7405
3950.000000	105.374	6.1451
4000.000000	105.410	5.7391
4060.000000	105.459	5.1219
4120.000000	105.503	4.3477
4180.000000	105.531	3.4518
4250.000000	105.535	2.3151
4310.000000	105.512	1.3590
4370.000000	105.475	0.4617
4440.000000	105.425	-0.5651
4500.000000	105.374	-1.4698
4550.000000	105.323	-2.2418
4620.000000	105.236	-3.3406
4680.000000	105.143	-4.2545
4750.000000	105.019	-5.2261
4820.000000	104.890	-6.1110
4870.000000	104.796	-6.7206
4940.000000	104.660	-7.5638
5000.000000	104.534	-8.2836
5080.000000	104.343	-9.1951
5150.000000	104.156	-9.8749
5220.000000	103.958	-10.4280
5300.000000	103.724	-10.9320
5380.000000	103.478	-11.3157
5450.000000	103.249	-11.5375
5520.000000	103.005	-11.5991
5600.000000	102.721	-11.4348
5700.000000	102.375	-10.9202
5800.000000	102.054	-10.1614
5900.000000	101.752	-9.2094
6000.000000	101.471	-8.0300
6080.000000	101.270	-6.9355
6150.000000	101.116	-5.9026
6220.000000	100.981	-4.8298
