* Measurement data measured by REW V5.20.5
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 20, 2022 12:37:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Olina Taped
* Measurement: Olina Taped
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.060	-5.2446
20.299999	104.030	-5.8699
20.600000	104.001	-6.4849
20.900000	103.975	-7.0859
21.200001	103.950	-7.6689
21.400000	103.935	-8.0459
21.799999	103.906	-8.7704
22.000000	103.893	-9.1179
22.400000	103.867	-9.7852
22.700001	103.848	-10.2637
23.000000	103.828	-10.7255
23.299999	103.806	-11.1708
23.600000	103.782	-11.6000
24.000000	103.746	-12.1478
24.299999	103.717	-12.5421
24.700001	103.674	-13.0509
25.000000	103.640	-13.4243
25.400000	103.593	-13.9169
25.799999	103.543	-14.4081
26.200001	103.491	-14.9005
26.500000	103.452	-15.2714
26.900000	103.398	-15.7689
27.200001	103.359	-16.1447
27.600000	103.306	-16.6492
28.000000	103.254	-17.1560
28.500000	103.191	-17.7879
29.000000	103.131	-18.4111
29.500000	103.074	-19.0195
30.000000	103.019	-19.6082
30.400000	102.978	-20.0623
30.700001	102.947	-20.3923
31.100000	102.908	-20.8179
31.500000	102.868	-21.2269
32.000000	102.819	-21.7167
32.500000	102.768	-22.1857
33.000000	102.715	-22.6384
33.500000	102.661	-23.0791
34.000000	102.604	-23.5111
34.500000	102.546	-23.9374
35.000000	102.486	-24.3599
35.500000	102.425	-24.7802
36.000000	102.363	-25.1976
36.500000	102.302	-25.6112
37.000000	102.241	-26.0189
37.500000	102.181	-26.4193
38.200001	102.100	-26.9657
38.700001	102.043	-27.3439
39.500000	101.953	-27.9238
40.000000	101.898	-28.2695
40.599998	101.832	-28.6692
41.200001	101.764	-29.0551
41.799999	101.695	-29.4246
42.500000	101.612	-29.8276
43.099998	101.541	-30.1499
43.700001	101.472	-30.4631
44.400002	101.392	-30.8318
45.000000	101.325	-31.1526
45.500000	101.268	-31.4194
46.200001	101.189	-31.7872
46.799999	101.121	-32.0945
47.500000	101.042	-32.4360
48.200001	100.964	-32.7527
48.700001	100.911	-32.9661
49.400002	100.838	-33.2584
50.000000	100.778	-33.5099
50.799999	100.697	-33.8441
51.500000	100.625	-34.1251
52.200001	100.554	-34.3883
53.000000	100.475	-34.6696
53.799999	100.398	-34.9382
54.500000	100.332	-35.1664
55.200001	100.268	-35.3887
56.000000	100.194	-35.6398
57.000000	100.102	-35.9495
58.000000	100.008	-36.2443
59.000000	99.918	-36.5422
60.000000	99.829	-36.8698
60.799999	99.754	-37.1406
61.500000	99.688	-37.3689
62.200001	99.621	-37.5837
63.000000	99.544	-37.8104
64.000000	99.447	-38.0546
65.000000	99.348	-38.2391
66.000000	99.252	-38.3602
67.000000	99.160	-38.4401
68.000000	99.073	-38.5259
69.000000	98.985	-38.6493
