* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 5, 2021 12:59:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tripowin Mele
* Measurement: Sep 5
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.5	26.2186
20.299999	102.5	25.5047
20.600000	102.5	24.8051
20.900000	102.5	24.1180
21.200001	102.5	23.4425
21.400000	102.5	22.9986
21.799999	102.5	22.1271
22.000000	102.5	21.6998
22.400000	102.5	20.8630
22.700001	102.5	20.2503
23.000000	102.5	19.6490
23.299999	102.5	19.0575
23.600000	102.5	18.4744
24.000000	102.5	17.7090
24.299999	102.5	17.1443
24.700001	102.5	16.4049
25.000000	102.5	15.8618
25.400000	102.5	15.1539
25.799999	102.5	14.4642
26.200001	102.5	13.7913
26.500000	102.5	13.2963
26.900000	102.5	12.6478
27.200001	102.5	12.1699
27.600000	102.5	11.5436
28.000000	102.4	10.9306
28.500000	102.4	10.1840
29.000000	102.4	9.4584
29.500000	102.4	8.7508
30.000000	102.4	8.0577
30.400000	102.4	7.5127
30.700001	102.3	7.1098
31.100000	102.3	6.5814
31.500000	102.3	6.0638
32.000000	102.3	5.4313
32.500000	102.3	4.8110
33.000000	102.3	4.1984
33.500000	102.2	3.5919
34.000000	102.2	2.9939
34.500000	102.2	2.4074
35.000000	102.2	1.8343
35.500000	102.1	1.2744
36.000000	102.1	0.7270
36.500000	102.1	0.1919
37.000000	102.1	-0.3307
37.500000	102.0	-0.8412
38.200001	102.0	-1.5378
38.700001	102.0	-2.0238
39.500000	101.9	-2.7813
40.000000	101.9	-3.2421
40.599998	101.9	-3.7832
41.200001	101.8	-4.3122
41.799999	101.8	-4.8286
42.500000	101.8	-5.4142
43.099998	101.7	-5.9028
43.700001	101.7	-6.3806
44.400002	101.6	-6.9246
45.000000	101.6	-7.3795
45.500000	101.6	-7.7516
46.200001	101.5	-8.2637
46.799999	101.5	-8.6939
47.500000	101.4	-9.1829
48.200001	101.4	-9.6567
48.700001	101.4	-9.9868
49.400002	101.3	-10.4390
50.000000	101.3	-10.8190
50.799999	101.2	-11.3158
51.500000	101.2	-11.7389
52.200001	101.2	-12.1450
53.000000	101.1	-12.5846
53.799999	101.1	-13.0039
54.500000	101.0	-13.3623
55.200001	101.0	-13.7173
56.000000	100.9	-14.1227
57.000000	100.9	-14.6332
58.000000	100.8	-15.1444
59.000000	100.8	-15.6462
60.000000	100.7	-16.1357
60.799999	100.7	-16.5179
61.500000	100.6	-16.8408
62.200001	100.6	-17.1505
63.000000	100.5	-17.4901
64.000000	100.4	-17.8998
65.000000	100.4	-18.2994
66.000000	100.3	-18.6920
67.000000	100.3	-19.0747
68.000000	100.2	-19.4429
69.000000	100.1	-19.7944
70.000000	100.1	-20.1231
71.000000	100.0	-20.4281
72.000000	100.0	-20.7268
73.000000	99.9	-21.0275
74.000000	99.8	-21.3104
75.000000	99.8	-21.5640
76.199997	99.7	-21.8528
77.500000	99.6	-22.1761
78.800003	99.5	-22.5054
80.000000	99.5	-22.7926
81.199997	99.4	-23.0574
82.500000	99.3	-23.3237
83.800003	99.2	-23.5626
85.000000	99.2	-23.7533
86.199997	99.1	-23.9247
87.500000	99.1	-24.1118
88.500000	99.0	-24.2715
90.000000	99.0	-24.5388
91.199997	98.9	-24.7664
92.500000	98.8	-25.0217
93.800003	98.8	-25.2852
95.000000	98.7	-25.5316
96.199997	98.7	-25.7758
97.500000	98.6	-26.0334
98.800003	98.5	-26.2775
100.000000	98.5	-26.4832
101.500000	98.4	-26.7096
103.000000	98.3	-26.9073
104.400002	98.3	-27.0770
106.000000	98.2	-27.2657
107.500000	98.1	-27.4442
109.000000	98.0	-27.6266
110.599998	97.9	-27.8248
112.000000	97.9	-27.9998
113.800003	97.8	-28.2164
115.000000	97.7	-28.3422
117.199997	97.6	-28.4903
118.000000	97.5	-28.5101
120.599998	97.4	-28.4564
122.000000	97.3	-28.3781
124.099998	97.2	-28.2365
125.000000	97.2	-28.1711
126.500000	97.1	-28.0588
128.000000	97.1	-27.9487
131.500000	97.0	-27.7756
132.000000	97.0	-27.7675
134.000000	96.9	-27.7788
136.000000	96.9	-27.8506
138.000000	96.8	-27.9747
140.000000	96.7	-28.1332
143.000000	96.6	-28.3658
145.000000	96.5	-28.4635
147.500000	96.4	-28.5023
150.000000	96.4	-28.5156
152.500000	96.3	-28.5424
155.000000	96.2	-28.5219
157.500000	96.1	-28.4249
160.000000	96.0	-28.3220
162.500000	95.9	-28.2644
165.000000	95.8	-28.2427
167.500000	95.8	-28.2189
170.000000	95.7	-28.1609
172.500000	95.6	-28.0622
175.000000	95.5	-27.9398
177.500000	95.4	-27.8166
180.000000	95.3	-27.7097
182.500000	95.3	-27.6173
185.000000	95.2	-27.5273
187.500000	95.1	-27.4401
190.000000	95.1	-27.3596
192.500000	95.0	-27.2745
195.000000	94.9	-27.1569
197.500000	94.8	-26.9975
200.000000	94.8	-26.8118
203.000000	94.7	-26.5745
206.000000	94.6	-26.3455
209.000000	94.6	-26.1444
212.000000	94.5	-25.9722
214.000000	94.5	-25.8612
218.000000	94.4	-25.5939
220.000000	94.3	-25.4301
224.000000	94.2	-25.0885
227.000000	94.1	-24.8534
230.000000	94.1	-24.6282
233.000000	94.0	-24.3943
236.000000	94.0	-24.1571
240.000000	93.9	-23.8604
243.000000	93.8	-23.6501
247.000000	93.7	-23.3549
250.000000	93.7	-23.1008
254.000000	93.6	-22.7072
258.000000	93.5	-22.2918
262.000000	93.5	-21.9247
265.000000	93.4	-21.6855
269.000000	93.4	-21.3713
272.000000	93.3	-21.1151
276.000000	93.3	-20.7420
280.000000	93.2	-20.3493
285.000000	93.2	-19.8744
290.000000	93.1	-19.4867
295.000000	93.1	-19.1918
300.000000	93.0	-18.8981
304.000000	92.9	-18.6273
307.000000	92.9	-18.4091
311.000000	92.8	-18.1119
315.000000	92.8	-17.8135
320.000000	92.7	-17.4210
325.000000	92.7	-16.9885
330.000000	92.6	-16.5336
335.000000	92.5	-16.0859
340.000000	92.5	-15.6595
345.000000	92.4	-15.2461
350.000000	92.4	-14.8289
355.000000	92.3	-14.4025
