* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 15, 2021 12:18:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tronsmart Custom
* Measurement: edx L Nov 15
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.2	169.5959
20.299999	94.2	170.4297
20.600000	94.1	171.2474
20.900000	94.1	172.0452
21.200001	94.1	172.8185
21.400000	94.2	173.3173
21.799999	94.2	174.2683
22.000000	94.2	174.7173
22.400000	94.3	175.5569
22.700001	94.3	176.1340
23.000000	94.4	176.6659
23.299999	94.4	177.1539
23.600000	94.5	177.5992
24.000000	94.6	178.1285
24.299999	94.7	178.4783
24.700001	94.8	178.8833
25.000000	94.8	179.1417
25.400000	94.9	179.4274
25.799999	95.0	179.6484
26.200001	95.1	179.8086
26.500000	95.2	179.8915
26.900000	95.3	179.9561
27.200001	95.4	179.9722
27.600000	95.5	179.9529
28.000000	95.6	179.8893
28.500000	95.7	179.7514
29.000000	95.8	179.5531
29.500000	95.9	179.2997
30.000000	96.0	178.9975
30.400000	96.1	178.7248
30.700001	96.1	178.5043
31.100000	96.2	178.1913
31.500000	96.3	177.8587
32.000000	96.4	177.4182
32.500000	96.4	176.9528
33.000000	96.5	176.4651
33.500000	96.6	175.9576
34.000000	96.7	175.4343
34.500000	96.7	174.8995
35.000000	96.8	174.3563
35.500000	96.9	173.8054
36.000000	96.9	173.2453
36.500000	97.0	172.6749
37.000000	97.0	172.0957
37.500000	97.0	171.5116
38.200001	97.1	170.6910
38.700001	97.1	170.1026
39.500000	97.2	169.1518
40.000000	97.2	168.5510
40.599998	97.2	167.8274
41.200001	97.3	167.1060
41.799999	97.3	166.3886
42.500000	97.3	165.5549
43.099998	97.3	164.8422
43.700001	97.4	164.1342
44.400002	97.4	163.3176
45.000000	97.4	162.6245
45.500000	97.4	162.0486
46.200001	97.4	161.2446
46.799999	97.4	160.5627
47.500000	97.4	159.7839
48.200001	97.4	159.0237
48.700001	97.4	158.4883
49.400002	97.4	157.7449
50.000000	97.4	157.1134
50.799999	97.4	156.2792
51.500000	97.3	155.5495
52.200001	97.3	154.8151
53.000000	97.3	153.9825
53.799999	97.3	153.1789
54.500000	97.3	152.5005
55.200001	97.3	151.8333
56.000000	97.2	151.0744
57.000000	97.2	150.1332
58.000000	97.2	149.2073
59.000000	97.1	148.2888
60.000000	97.1	147.3605
60.799999	97.1	146.6150
61.500000	97.0	145.9745
62.200001	97.0	145.3593
63.000000	97.0	144.6954
64.000000	96.9	143.9100
65.000000	96.9	143.1420
66.000000	96.8	142.3813
67.000000	96.8	141.6326
68.000000	96.7	140.8914
69.000000	96.6	140.1507
70.000000	96.6	139.4121
71.000000	96.5	138.6835
72.000000	96.5	137.9723
73.000000	96.4	137.2752
74.000000	96.4	136.5822
75.000000	96.3	135.8897
76.199997	96.2	135.0650
77.500000	96.1	134.2034
78.800003	96.1	133.4044
80.000000	96.0	132.7050
81.199997	95.9	132.0172
82.500000	95.8	131.2791
83.800003	95.8	130.5470
85.000000	95.7	129.8792
86.199997	95.6	129.2289
87.500000	95.5	128.5598
88.500000	95.5	128.0775
90.000000	95.4	127.3861
91.199997	95.3	126.8352
92.500000	95.2	126.2654
93.800003	95.1	125.7348
95.000000	95.0	125.2297
96.199997	94.9	124.6919
97.500000	94.9	124.1331
98.800003	94.8	123.6772
100.000000	94.7	123.3809
101.500000	94.6	123.1594
103.000000	94.5	123.0165
104.400002	94.5	122.8469
106.000000	94.5	122.4977
107.500000	94.5	121.9733
109.000000	94.5	121.2798
110.599998	94.5	120.4109
112.000000	94.5	119.6061
113.800003	94.4	118.6351
115.000000	94.4	118.1084
117.199997	94.5	117.4699
118.000000	94.6	117.2388
120.599998	94.6	115.9771
122.000000	94.4	115.2867
124.099998	94.1	114.5327
125.000000	93.9	114.2098
126.500000	93.7	113.6149
128.000000	93.6	113.0132
131.500000	93.4	111.9018
132.000000	93.4	111.7669
134.000000	93.3	111.2144
136.000000	93.1	110.6314
138.000000	93.0	110.0859
140.000000	92.9	109.6334
143.000000	92.8	109.1074
145.000000	92.6	108.8114
147.500000	92.5	108.4814
150.000000	92.4	108.1937
152.500000	92.4	107.9052
155.000000	92.3	107.5672
157.500000	92.3	107.1125
160.000000	92.2	106.4934
162.500000	92.2	105.7446
165.000000	92.1	104.9470
167.500000	92.0	104.1623
170.000000	91.9	103.4345
172.500000	91.8	102.7822
175.000000	91.7	102.1890
177.500000	91.6	101.6399
180.000000	91.5	101.1309
182.500000	91.4	100.6548
185.000000	91.3	100.1934
187.500000	91.2	99.7315
190.000000	91.1	99.2749
192.500000	91.0	98.8359
195.000000	90.9	98.4169
197.500000	90.8	98.0131
200.000000	90.7	97.6181
203.000000	90.6	97.1492
206.000000	90.5	96.6840
209.000000	90.4	96.2300
212.000000	90.3	95.7905
214.000000	90.3	95.5038
218.000000	90.1	94.9476
220.000000	90.1	94.6808
224.000000	89.9	94.1653
227.000000	89.8	93.7877
230.000000	89.8	93.4179
233.000000	89.7	93.0601
236.000000	89.6	92.7158
240.000000	89.5	92.2722
243.000000	89.4	91.9442
247.000000	89.3	91.5014
250.000000	89.2	91.1628
254.000000	89.1	90.7194
258.000000	89.0	90.2967
262.000000	88.9	89.8897
265.000000	88.8	89.5912
269.000000	88.7	89.1977
272.000000	88.6	88.9029
276.000000	88.5	88.5123
280.000000	88.5	88.1317
285.000000	88.3	87.6763
290.000000	88.2	87.2417
295.000000	88.1	86.8196
300.000000	88.0	86.4099
304.000000	87.9	86.0933
307.000000	87.9	85.8605
311.000000	87.8	85.5518
315.000000	87.7	85.2430
320.000000	87.6	84.8618
325.000000	87.5	84.4929
330.000000	87.4	84.1371
335.000000	87.4	83.7917
340.000000	87.3	83.4531
345.000000	87.2	83.1223
350.000000	87.1	82.8050
355.000000	87.0	82.5049
360.000000	86.9	82.2196
365.000000	86.8	81.9431
370.000000	86.8	81.6701
375.000000	86.7	81.3965
382.000000	86.6	81.0060
387.000000	86.5	80.7207
395.000000	86.4	80.2562
400.000000	86.3	79.9650
406.000000	86.3	79.6198
412.000000	86.2	79.2828
418.000000	86.1	78.9562
425.000000	86.0	78.5882
431.000000	85.9	78.2844
437.000000	85.9	77.9899
444.000000	85.8	77.6552
450.000000	85.7	77.3765
455.000000	85.6	77.1511
462.000000	85.6	76.8448
468.000000	85.5	76.5886
475.000000	85.4	76.2957
482.000000	85.4	76.0103
487.000000	85.3	75.8120
494.000000	85.2	75.5425
500.000000	85.2	75.3190
508.000000	85.1	75.0305
515.000000	85.0	74.7874
522.000000	85.0	74.5537
530.000000	84.9	74.2964
538.000000	84.8	74.0458
545.000000	84.8	73.8307
552.000000	84.7	73.6200
560.000000	84.7	73.3861
570.000000	84.6	73.1070
580.000000	84.5	72.8448
590.000000	84.5	72.5995
600.000000	84.4	72.3651
608.000000	84.4	72.1837
615.000000	84.3	72.0310
622.000000	84.3	71.8848
630.000000	84.3	71.7247
640.000000	84.2	71.5331
650.000000	84.2	71.3505
660.000000	84.1	71.1775
670.000000	84.1	71.0144
680.000000	84.1	70.8604
690.000000	84.0	70.7141
700.000000	84.0	70.5756
710.000000	84.0	70.4453
720.000000	84.0	70.3218
730.000000	84.0	70.2033
740.000000	83.9	70.0898
750.000000	83.9	69.9811
762.000000	83.9	69.8546
775.000000	83.9	69.7224
788.000000	83.9	69.5963
800.000000	83.9	69.4852
812.000000	83.9	69.3765
825.000000	84.0	69.2542
838.000000	84.0	69.1221
850.000000	84.0	68.9911
862.000000	84.0	68.8515
875.000000	84.1	68.6888
885.000000	84.1	68.5558
900.000000	84.2	68.3450
912.000000	84.2	68.1642
925.000000	84.3	67.9500
938.000000	84.3	67.7101
950.000000	84.4	67.4630
962.000000	84.5	67.1923
975.000000	84.5	66.8723
988.000000	84.6	66.5234
1000.000000	84.7	66.1745
1015.000000	84.8	65.7033
1030.000000	84.9	65.1969
1044.000000	85.0	64.6946
1060.000000	85.1	64.0865
1075.000000	85.2	63.4869
1090.000000	85.3	62.8627
1106.000000	85.4	62.1745
1120.000000	85.5	61.5577
1138.000000	85.6	60.7466
1150.000000	85.7	60.1919
1172.000000	85.8	59.1329
1180.000000	85.9	58.7312
1206.000000	86.1	57.3623
1220.000000	86.2	56.5910
1241.000000	86.3	55.4048
1250.000000	86.4	54.8889
1265.000000	86.5	54.0211
1280.000000	86.6	53.1451
1315.000000	86.8	51.0755
1320.000000	86.9	50.7773
1340.000000	87.0	49.5787
1360.000000	87.1	48.3701
1380.000000	87.3	47.1506
1400.000000	87.4	45.9198
1430.000000	87.7	44.0468
1450.000000	87.9	42.7738
1475.000000	88.1	41.1496
1500.000000	88.2	39.4877
1525.000000	88.4	37.7850
1550.000000	88.6	36.0348
1575.000000	88.7	34.2325
1600.000000	88.9	32.3748
1625.000000	89.0	30.4577
1650.000000	89.2	28.4749
1675.000000	89.3	26.4186
1700.000000	89.4	24.2832
1725.000000	89.5	22.0674
1750.000000	89.6	19.7737
1775.000000	89.7	17.4081
1800.000000	89.8	14.9772
1825.000000	89.9	12.4885
1850.000000	89.9	9.9526
1875.000000	90.0	7.3845
1900.000000	90.0	4.8048
1925.000000	90.0	2.2393
1950.000000	90.0	-0.2887
1975.000000	90.1	-2.7678
2000.000000	90.1	-5.2075
2030.000000	90.1	-8.1187
2060.000000	90.1	-11.0476
2090.000000	90.0	-13.9832
2120.000000	90.0	-16.8636
2140.000000	89.9	-18.7157
2180.000000	89.8	-22.1887
2200.000000	89.7	-23.8048
2240.000000	89.5	-26.8560
2270.000000	89.4	-29.0621
2300.000000	89.3	-31.2520
2330.000000	89.1	-33.4294
2360.000000	89.0	-35.5610
2400.000000	88.8	-38.2539
2430.000000	88.6	-40.1183
2470.000000	88.3	-42.3676
2500.000000	88.2	-43.8731
2540.000000	87.9	-45.6483
2580.000000	87.7	-47.1810
2620.000000	87.4	-48.5059
2650.000000	87.3	-49.3911
2690.000000	87.1	-50.4713
2720.000000	87.0	-51.2365
2760.000000	86.9	-52.2311
2800.000000	86.8	-53.2246
2850.000000	86.7	-54.5098
2900.000000	86.6	-55.9183
2950.000000	86.5	-57.5349
3000.000000	86.5	-59.3839
3040.000000	86.4	-60.9991
3070.000000	86.4	-62.2688
3110.000000	86.3	-64.0263
3150.000000	86.2	-65.8593
3200.000000	86.0	-68.2692
3250.000000	85.9	-70.8000
3300.000000	85.6	-73.3751
3350.000000	85.3	-75.8483
3400.000000	84.9	-78.0520
3450.000000	84.5	-79.8679
3500.000000	84.0	-81.2473
3550.000000	83.5	-82.1599
3600.000000	82.9	-82.5326
3650.000000	82.3	-82.2375
3700.000000	81.7	-81.1307
3750.000000	81.1	-79.1057
3820.000000	80.3	-74.6898
3870.000000	79.8	-70.5313
3950.000000	79.5	-62.7416
4000.000000	79.5	-57.6342
4060.000000	79.7	-51.7888
4120.000000	80.2	-46.6716
4180.000000	80.9	-42.5609
4250.000000	81.7	-39.1670
