* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 14, 2021 11:57:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tronsmart Onyx Prime
* Measurement: edx L Nov 14
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.8	162.7888
20.299999	103.7	162.1895
20.600000	103.7	161.6063
20.900000	103.6	161.0384
21.200001	103.5	160.4858
21.400000	103.5	160.1263
21.799999	103.4	159.4294
22.000000	103.4	159.0924
22.400000	103.3	158.4420
22.700001	103.2	157.9744
23.000000	103.2	157.5228
23.299999	103.1	157.0859
23.600000	103.0	156.6628
24.000000	102.9	156.1197
24.299999	102.9	155.7283
24.700001	102.8	155.2278
25.000000	102.7	154.8684
25.400000	102.7	154.4086
25.799999	102.6	153.9687
26.200001	102.5	153.5466
26.500000	102.4	153.2418
26.900000	102.4	152.8516
27.200001	102.3	152.5714
27.600000	102.2	152.2136
28.000000	102.1	151.8712
28.500000	102.1	151.4604
29.000000	102.0	151.0655
29.500000	101.9	150.6864
30.000000	101.8	150.3231
30.400000	101.7	150.0419
30.700001	101.7	149.8351
31.100000	101.6	149.5628
31.500000	101.6	149.2941
32.000000	101.5	148.9649
32.500000	101.5	148.6461
33.000000	101.4	148.3383
33.500000	101.3	148.0375
34.000000	101.3	147.7376
34.500000	101.2	147.4352
35.000000	101.2	147.1309
35.500000	101.1	146.8278
36.000000	101.1	146.5276
36.500000	101.0	146.2292
37.000000	101.0	145.9306
37.500000	100.9	145.6306
38.200001	100.8	145.2086
38.700001	100.8	144.9066
39.500000	100.7	144.4204
40.000000	100.7	144.1113
40.599998	100.6	143.7328
41.200001	100.6	143.3494
41.799999	100.5	142.9686
42.500000	100.5	142.5334
43.099998	100.4	142.1635
43.700001	100.4	141.7862
44.400002	100.3	141.3300
45.000000	100.2	140.9281
45.500000	100.2	140.5887
46.200001	100.1	140.1065
46.799999	100.1	139.6863
47.500000	100.0	139.1977
48.200001	100.0	138.7277
48.700001	99.9	138.4062
49.400002	99.9	137.9660
50.000000	99.8	137.5869
50.799999	99.7	137.0734
51.500000	99.7	136.6178
