* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2023 1:10:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Truthear Hola R
* Measurement: Truthear Hola R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.929	20.6688
20.299999	99.942	20.0604
20.600000	99.953	19.4647
20.900000	99.964	18.8811
21.200001	99.973	18.3087
21.400000	99.979	17.9330
21.799999	99.989	17.1957
22.000000	99.993	16.8344
22.400000	100.000	16.1276
22.700001	100.004	15.6119
23.000000	100.007	15.1086
23.299999	100.010	14.6166
23.600000	100.012	14.1344
24.000000	100.014	13.5046
24.299999	100.016	13.0400
24.700001	100.016	12.4296
25.000000	100.016	11.9781
25.400000	100.014	11.3848
25.799999	100.011	10.8022
26.200001	100.007	10.2312
26.500000	100.003	9.8106
26.900000	99.997	9.2593
27.200001	99.993	8.8525
27.600000	99.986	8.3182
28.000000	99.979	7.7938
28.500000	99.969	7.1537
29.000000	99.959	6.5324
29.500000	99.949	5.9292
30.000000	99.939	5.3425
30.400000	99.930	4.8846
30.700001	99.924	4.5481
31.100000	99.916	4.1080
31.500000	99.907	3.6766
32.000000	99.895	3.1478
32.500000	99.881	2.6296
33.000000	99.866	2.1227
33.500000	99.848	1.6266
34.000000	99.829	1.1379
34.500000	99.808	0.6522
35.000000	99.786	0.1678
35.500000	99.762	-0.3144
36.000000	99.738	-0.7938
36.500000	99.714	-1.2716
37.000000	99.690	-1.7490
37.500000	99.667	-2.2235
38.200001	99.637	-2.8709
38.700001	99.617	-3.3135
39.500000	99.591	-3.9807
40.000000	99.576	-4.3703
40.599998	99.560	-4.8053
41.200001	99.543	-5.1998
41.799999	99.526	-5.5557
42.500000	99.503	-5.9334
43.099998	99.478	-6.2358
43.700001	99.447	-6.5193
44.400002	99.403	-6.8215
45.000000	99.363	-7.0670
45.500000	99.332	-7.2875
46.200001	99.288	-7.6605
46.799999	99.248	-8.0485
47.500000	99.197	-8.5469
48.200001	99.147	-9.0663
48.700001	99.115	-9.4534
49.400002	99.073	-10.0208
50.000000	99.036	-10.5026
50.799999	98.985	-11.0716
51.500000	98.945	-11.4750
52.200001	98.911	-11.8080
53.000000	98.878	-12.1336
53.799999	98.847	-12.4268
54.500000	98.819	-12.6754
55.200001	98.789	-12.9279
56.000000	98.751	-13.2283
57.000000	98.701	-13.6296
58.000000	98.649	-14.0613
59.000000	98.597	-14.5156
60.000000	98.543	-14.9755
60.799999	98.498	-15.3240
61.500000	98.457	-15.6044
62.200001	98.416	-15.8640
63.000000	98.371	-16.1456
64.000000	98.314	-16.4889
65.000000	98.257	-16.8332
66.000000	98.197	-17.1727
67.000000	98.136	-17.4801
68.000000	98.077	-17.7552
69.000000	98.021	-18.0249
70.000000	97.964	-18.2949
71.000000	97.907	-18.5608
72.000000	97.851	-18.8203
73.000000	97.796	-19.0665
74.000000	97.743	-19.2915
75.000000	97.693	-19.4917
76.199997	97.633	-19.7047
77.500000	97.564	-19.9122
78.800003	97.492	-20.0926
80.000000	97.431	-20.2499
81.199997	97.381	-20.4777
82.500000	97.323	-20.8729
83.800003	97.240	-21.3246
85.000000	97.143	-21.6770
86.199997	97.042	-21.9493
87.500000	96.945	-22.2079
88.500000	96.882	-22.3979
90.000000	96.803	-22.5917
91.199997	96.745	-22.6014
92.500000	96.675	-22.4899
93.800003	96.586	-22.3726
95.000000	96.486	-22.3711
96.199997	96.385	-22.5098
97.500000	96.304	-22.7788
98.800003	96.265	-23.0617
100.000000	96.248	-23.1942
101.500000	96.205	-23.0718
103.000000	96.105	-22.7712
104.400002	95.985	-22.6624
106.000000	95.899	-22.9893
107.500000	95.928	-23.4347
109.000000	96.033	-23.3764
110.599998	96.122	-22.4048
112.000000	96.126	-21.3785
113.800003	96.151	-21.8052
115.000000	96.392	-24.2900
117.199997	97.509	-34.0178
118.000000	97.938	-38.3718
120.599998	98.286	-44.8346
122.000000	97.896	-39.9124
124.099998	97.295	-28.5402
125.000000	97.084	-24.6605
126.500000	96.733	-20.7052
128.000000	96.361	-19.4009
131.500000	95.823	-19.3347
132.000000	95.807	-19.2121
134.000000	95.810	-18.6254
136.000000	95.781	-18.8431
138.000000	95.660	-20.0817
140.000000	95.545	-21.4496
143.000000	95.496	-22.5860
145.000000	95.466	-22.9411
147.500000	95.370	-23.1975
150.000000	95.252	-23.1600
152.500000	95.130	-22.9437
155.000000	95.002	-22.6243
157.500000	94.909	-22.3397
160.000000	94.848	-22.2209
162.500000	94.788	-22.2015
165.000000	94.722	-22.2161
167.500000	94.652	-22.2253
170.000000	94.581	-22.1947
172.500000	94.513	-22.1096
175.000000	94.449	-21.9863
177.500000	94.388	-21.8683
180.000000	94.331	-21.7962
182.500000	94.278	-21.7678
185.000000	94.227	-21.7452
187.500000	94.179	-21.7059
190.000000	94.136	-21.6614
192.500000	94.095	-21.6145
195.000000	94.046	-21.5189
197.500000	93.983	-21.3281
200.000000	93.913	-21.0801
203.000000	93.836	-20.8278
206.000000	93.776	-20.6727
209.000000	93.726	-20.5638
212.000000	93.675	-20.4615
214.000000	93.638	-20.3910
218.000000	93.563	-20.2051
220.000000	93.527	-20.0743
224.000000	93.460	-19.7532
227.000000	93.413	-19.4996
230.000000	93.369	-19.2595
233.000000	93.326	-19.0350
236.000000	93.283	-18.8320
240.000000	93.226	-18.6080
