* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 20, 2022 11:09:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: UM MEST R
* Measurement: MEST R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.388	0.4764
20.299999	99.372	-0.0648
20.600000	99.358	-0.6060
20.900000	99.343	-1.1506
21.200001	99.328	-1.6989
21.400000	99.318	-2.0638
21.799999	99.295	-2.7844
22.000000	99.282	-3.1357
22.400000	99.255	-3.8138
22.700001	99.235	-4.3015
23.000000	99.215	-4.7765
23.299999	99.197	-5.2463
23.600000	99.178	-5.7161
24.000000	99.150	-6.3439
24.299999	99.128	-6.8108
24.700001	99.094	-7.4165
25.000000	99.068	-7.8519
25.400000	99.033	-8.4075
25.799999	99.000	-8.9464
26.200001	98.970	-9.4839
26.500000	98.947	-9.8906
26.900000	98.914	-10.4346
27.200001	98.889	-10.8372
27.600000	98.853	-11.3580
28.000000	98.817	-11.8578
28.500000	98.773	-12.4622
29.000000	98.731	-13.0591
29.500000	98.689	-13.6527
30.000000	98.646	-14.2363
30.400000	98.612	-14.6919
30.700001	98.587	-15.0274
31.100000	98.553	-15.4690
31.500000	98.519	-15.9054
32.000000	98.477	-16.4426
32.500000	98.434	-16.9676
33.000000	98.391	-17.4799
33.500000	98.349	-17.9834
34.000000	98.307	-18.4830
34.500000	98.264	-18.9802
35.000000	98.221	-19.4731
35.500000	98.176	-19.9583
36.000000	98.130	-20.4319
36.500000	98.083	-20.8907
37.000000	98.036	-21.3326
37.500000	97.988	-21.7586
38.200001	97.924	-22.3354
38.700001	97.878	-22.7394
39.500000	97.805	-23.3733
40.000000	97.758	-23.7582
40.599998	97.703	-24.2083
41.200001	97.649	-24.6509
41.799999	97.594	-25.0890
42.500000	97.528	-25.5886
43.099998	97.470	-25.9989
43.700001	97.412	-26.3882
44.400002	97.347	-26.8200
45.000000	97.294	-27.1896
45.500000	97.251	-27.5153
46.200001	97.187	-28.0004
46.799999	97.124	-28.4079
47.500000	97.046	-28.8212
48.200001	96.974	-29.1748
48.700001	96.927	-29.4205
49.400002	96.867	-29.7793
50.000000	96.818	-30.0936
50.799999	96.756	-30.5149
51.500000	96.705	-30.9034
52.200001	96.652	-31.3081
53.000000	96.586	-31.7363
53.799999	96.521	-32.0906
54.500000	96.471	-32.3702
55.200001	96.424	-32.6573
56.000000	96.368	-32.9921
57.000000	96.294	-33.3870
58.000000	96.221	-33.7689
59.000000	96.151	-34.1885
60.000000	96.076	-34.6506
60.799999	96.010	-35.0079
61.500000	95.952	-35.2921
62.200001	95.894	-35.5525
63.000000	95.828	-35.8259
64.000000	95.749	-36.1403
65.000000	95.668	-36.4584
66.000000	95.580	-36.7799
67.000000	95.487	-37.0619
68.000000	95.399	-37.3354
69.000000	95.315	-37.6372
70.000000	95.234	-37.9365
71.000000	95.162	-38.2294
72.000000	95.096	-38.5325
73.000000	95.030	-38.8376
74.000000	94.955	-39.1057
75.000000	94.876	-39.2964
76.199997	94.786	-39.4830
77.500000	94.696	-39.7689
78.800003	94.609	-40.2028
80.000000	94.524	-40.7089
81.199997	94.430	-41.1607
82.500000	94.341	-41.3972
83.800003	94.291	-41.4796
