* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 3:22:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Urbanfun Hybrid
* Measurement: Jun 27 15:22:40
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	74.256	-130.373
20.586	74.316	-131.072
20.885	74.380	-131.698
21.189	74.421	-132.352
21.497	74.461	-133.048
21.810	74.510	-133.778
22.127	74.552	-134.521
22.449	74.582	-135.255
22.776	74.614	-135.972
23.107	74.657	-136.681
23.443	74.699	-137.406
23.784	74.746	-138.171
24.130	74.797	-138.974
24.481	74.849	-139.795
24.837	74.892	-140.606
25.198	74.921	-141.389
25.565	74.961	-142.154
25.937	75.012	-142.925
26.314	75.060	-143.717
26.697	75.109	-144.524
27.085	75.140	-145.311
27.479	75.150	-146.040
27.879	75.172	-146.698
28.284	75.191	-147.313
28.696	75.222	-147.938
29.113	75.268	-148.614
29.537	75.296	-149.341
29.966	75.313	-150.080
30.402	75.320	-150.790
30.844	75.332	-151.465
31.293	75.361	-152.135
31.748	75.388	-152.831
32.210	75.408	-153.554
32.678	75.407	-154.281
33.154	75.424	-155.010
33.636	75.456	-155.764
34.125	75.478	-156.551
34.621	75.497	-157.331
35.125	75.513	-158.051
35.636	75.539	-158.731
36.154	75.580	-159.450
36.680	75.618	-160.235
37.214	75.632	-160.995
37.755	75.625	-161.630
38.304	75.619	-162.172
38.861	75.628	-162.749
39.427	75.616	-163.413
40.000	75.594	-164.110
40.582	75.599	-164.799
41.172	75.600	-165.487
41.771	75.590	-166.169
42.379	75.584	-166.831
42.995	75.598	-167.510
43.620	75.612	-168.222
44.255	75.611	-168.907
44.898	75.605	-169.535
45.552	75.603	-170.173
46.214	75.604	-170.832
46.886	75.598	-171.447
47.568	75.590	-172.046
