* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2022 12:11:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: VE Azure L
* Measurement: KZ EDX Ultra Oct 21
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.248	15.5306
20.299999	94.257	15.1873
20.600000	94.266	14.8726
20.900000	94.278	14.5746
21.200001	94.292	14.2800
21.400000	94.302	14.0804
21.799999	94.322	13.6683
22.000000	94.332	13.4543
22.400000	94.350	13.0110
22.700001	94.361	12.6679
23.000000	94.370	12.3205
23.299999	94.376	11.9743
23.600000	94.381	11.6335
24.000000	94.386	11.1918
24.299999	94.390	10.8695
24.700001	94.394	10.4490
25.000000	94.397	10.1403
25.400000	94.401	9.7422
25.799999	94.404	9.3677
26.200001	94.411	9.0181
26.500000	94.418	8.7639
26.900000	94.431	8.4191
27.200001	94.441	8.1461
27.600000	94.453	7.7624
28.000000	94.458	7.3766
28.500000	94.455	6.9399
29.000000	94.450	6.5880
29.500000	94.452	6.2994
30.000000	94.461	6.0129
30.400000	94.472	5.7539
30.700001	94.479	5.5397
31.100000	94.483	5.2404
31.500000	94.483	4.9451
32.000000	94.480	4.6061
32.500000	94.477	4.3004
33.000000	94.479	3.9965
33.500000	94.483	3.6626
34.000000	94.484	3.2984
34.500000	94.478	2.9427
35.000000	94.469	2.6353
35.500000	94.465	2.3772
36.000000	94.471	2.1237
36.500000	94.483	1.8270
37.000000	94.493	1.4766
37.500000	94.497	1.1016
38.200001	94.491	0.5972
38.700001	94.483	0.2658
39.500000	94.463	-0.2087
40.000000	94.449	-0.4528
40.599998	94.437	-0.6927
41.200001	94.434	-0.9290
41.799999	94.436	-1.2227
42.500000	94.430	-1.6342
43.099998	94.414	-1.9728
43.700001	94.396	-2.2532
44.400002	94.384	-2.5432
45.000000	94.380	-2.8188
45.500000	94.378	-3.0798
46.200001	94.370	-3.4587
46.799999	94.361	-3.7624
47.500000	94.352	-4.0880
48.200001	94.347	-4.4037
48.700001	94.345	-4.6298
49.400002	94.339	-4.9442
50.000000	94.332	-5.2065
50.799999	94.317	-5.5308
51.500000	94.300	-5.7762
52.200001	94.284	-5.9952
53.000000	94.268	-6.2509
53.799999	94.249	-6.5312
54.500000	94.229	-6.7799
55.200001	94.208	-7.0175
56.000000	94.187	-7.2806
57.000000	94.167	-7.6195
58.000000	94.151	-7.9838
59.000000	94.132	-8.3615
60.000000	94.108	-8.7059
60.799999	94.086	-8.9419
61.500000	94.066	-9.1290
62.200001	94.047	-9.3066
63.000000	94.026	-9.5101
64.000000	94.002	-9.8008
