* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 17, 2021 9:21:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Whizzer HE01
* Measurement: edx L Oct 17
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.9	51.7667
20.299999	102.0	51.0575
20.600000	102.1	50.3621
20.900000	102.1	49.6780
21.200001	102.1	49.0037
21.400000	102.2	48.5593
21.799999	102.2	47.6842
22.000000	102.3	47.2545
22.400000	102.3	46.4130
22.700001	102.4	45.7986
23.000000	102.4	45.1981
23.299999	102.5	44.6093
23.600000	102.5	44.0298
24.000000	102.5	43.2684
24.299999	102.6	42.7049
24.700001	102.6	41.9643
25.000000	102.6	41.4184
25.400000	102.7	40.7031
25.799999	102.7	39.9991
26.200001	102.8	39.3020
26.500000	102.8	38.7832
26.900000	102.8	38.1009
27.200001	102.8	37.6021
27.600000	102.9	36.9614
28.000000	102.9	36.3512
28.500000	102.9	35.6202
29.000000	103.0	34.9009
29.500000	103.0	34.1783
30.000000	103.0	33.4551
30.400000	103.0	32.8846
30.700001	103.1	32.4643
31.100000	103.1	31.9142
31.500000	103.1	31.3744
32.000000	103.1	30.7117
32.500000	103.2	30.0627
33.000000	103.2	29.4280
33.500000	103.2	28.8054
34.000000	103.2	28.1908
34.500000	103.2	27.5825
35.000000	103.3	26.9819
35.500000	103.3	26.3920
36.000000	103.3	25.8143
36.500000	103.3	25.2491
37.000000	103.3	24.6967
37.500000	103.3	24.1572
38.200001	103.4	23.4229
38.700001	103.4	22.9117
39.500000	103.4	22.1163
40.000000	103.4	21.6334
40.599998	103.4	21.0685
41.200001	103.4	20.5175
41.799999	103.4	19.9767
42.500000	103.4	19.3549
43.099998	103.4	18.8284
43.700001	103.4	18.3085
44.400002	103.4	17.7123
45.000000	103.5	17.2109
45.500000	103.5	16.7999
46.200001	103.5	16.2355
46.799999	103.5	15.7631
47.500000	103.5	15.2253
48.200001	103.5	14.6995
48.700001	103.5	14.3298
49.400002	103.5	13.8214
50.000000	103.5	13.3953
50.799999	103.5	12.8395
51.500000	103.5	12.3617
52.200001	103.5	11.8922
53.000000	103.5	11.3706
53.799999	103.5	10.8683
54.500000	103.5	10.4431
55.200001	103.5	10.0270
56.000000	103.5	9.5552
57.000000	103.5	8.9589
58.000000	103.5	8.3529
59.000000	103.5	7.7402
60.000000	103.5	7.1260
60.799999	103.4	6.6472
61.500000	103.4	6.2444
62.200001	103.4	5.8553
63.000000	103.4	5.4227
64.000000	103.4	4.8955
65.000000	103.4	4.3871
66.000000	103.4	3.9050
67.000000	103.3	3.4398
68.000000	103.3	2.9837
69.000000	103.3	2.5374
70.000000	103.3	2.0804
71.000000	103.3	1.5984
72.000000	103.3	1.1146
73.000000	103.2	0.6587
74.000000	103.2	0.2335
75.000000	103.2	-0.1775
76.199997	103.2	-0.6669
77.500000	103.2	-1.1903
78.800003	103.2	-1.7095
80.000000	103.1	-2.1984
81.199997	103.1	-2.7104
82.500000	103.1	-3.2953
83.800003	103.1	-3.8877
85.000000	103.0	-4.4100
86.199997	103.0	-4.8936
87.500000	103.0	-5.3734
88.500000	102.9	-5.7162
90.000000	102.9	-6.1996
91.199997	102.9	-6.5669
92.500000	102.8	-6.9522
93.800003	102.8	-7.3325
95.000000	102.8	-7.6826
96.199997	102.7	-8.0304
97.500000	102.7	-8.4003
98.800003	102.6	-8.7571
100.000000	102.6	-9.0701
101.500000	102.6	-9.4399
103.000000	102.5	-9.7968
104.400002	102.5	-10.1284
106.000000	102.5	-10.5146
107.500000	102.4	-10.8867
109.000000	102.4	-11.2644
110.599998	102.4	-11.6764
112.000000	102.3	-12.0542
113.800003	102.3	-12.5663
115.000000	102.2	-12.9115
117.199997	102.2	-13.5066
118.000000	102.1	-13.7020
120.599998	102.1	-14.1880
122.000000	102.0	-14.3264
124.099998	101.9	-14.4828
125.000000	101.9	-14.5674
126.500000	101.8	-14.7458
128.000000	101.8	-14.9584
131.500000	101.7	-15.4733
132.000000	101.7	-15.5411
134.000000	101.6	-15.7910
136.000000	101.5	-15.9935
138.000000	101.5	-16.1327
140.000000	101.4	-16.2070
143.000000	101.3	-16.2405
145.000000	101.3	-16.2853
147.500000	101.3	-16.4525
150.000000	101.3	-16.7524
152.500000	101.2	-17.1167
155.000000	101.2	-17.4706
157.500000	101.1	-17.7854
160.000000	101.1	-18.0876
162.500000	101.0	-18.4091
165.000000	101.0	-18.7451
167.500000	100.9	-19.0621
170.000000	100.8	-19.3300
172.500000	100.7	-19.5458
175.000000	100.7	-19.7312
177.500000	100.6	-19.9092
180.000000	100.6	-20.0917
182.500000	100.5	-20.2794
185.000000	100.4	-20.4659
187.500000	100.4	-20.6464
190.000000	100.3	-20.8168
192.500000	100.2	-20.9733
195.000000	100.2	-21.1157
197.500000	100.1	-21.2448
200.000000	100.1	-21.3559
203.000000	100.0	-21.4611
206.000000	99.9	-21.5544
209.000000	99.9	-21.6620
212.000000	99.8	-21.7822
214.000000	99.8	-21.8558
218.000000	99.6	-21.9469
220.000000	99.6	-21.9616
224.000000	99.5	-21.9689
227.000000	99.4	-21.9836
230.000000	99.4	-22.0104
233.000000	99.3	-22.0437
236.000000	99.3	-22.0806
240.000000	99.2	-22.1318
243.000000	99.1	-22.1630
247.000000	99.0	-22.1738
250.000000	98.9	-22.1431
254.000000	98.9	-22.0421
258.000000	98.8	-21.9150
262.000000	98.7	-21.8336
265.000000	98.7	-21.8057
269.000000	98.6	-21.7660
272.000000	98.5	-21.7101
276.000000	98.5	-21.5966
280.000000	98.4	-21.4560
285.000000	98.3	-21.2847
290.000000	98.3	-21.1870
295.000000	98.2	-21.1740
300.000000	98.1	-21.1578
304.000000	98.0	-21.1044
307.000000	98.0	-21.0447
311.000000	97.9	-20.9521
315.000000	97.9	-20.8514
320.000000	97.8	-20.7015
325.000000	97.7	-20.5083
330.000000	97.6	-20.2849
335.000000	97.5	-20.0583
340.000000	97.5	-19.8458
345.000000	97.4	-19.6425
350.000000	97.3	-19.4306
355.000000	97.2	-19.2028
360.000000	97.2	-18.9615
365.000000	97.1	-18.7086
370.000000	97.0	-18.4453
