* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 26, 2021 11:27:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Yinyoo V2
* Measurement: Jun 26 11:27:18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	73.536	-113.960
20.586	73.614	-114.593
20.885	73.694	-115.126
21.189	73.751	-115.649
21.497	73.813	-116.187
21.810	73.890	-116.752
22.127	73.966	-117.346
22.449	74.033	-117.967
22.776	74.104	-118.611
23.107	74.182	-119.279
23.443	74.254	-119.978
23.784	74.328	-120.706
24.130	74.404	-121.458
24.481	74.482	-122.216
24.837	74.552	-122.962
25.198	74.608	-123.688
25.565	74.673	-124.394
25.937	74.750	-125.089
26.314	74.823	-125.778
26.697	74.903	-126.459
27.085	74.973	-127.127
27.479	75.027	-127.776
27.879	75.094	-128.411
28.284	75.151	-129.039
28.696	75.214	-129.668
29.113	75.286	-130.300
29.537	75.345	-130.932
29.966	75.401	-131.564
30.402	75.452	-132.198
30.844	75.508	-132.840
31.293	75.577	-133.494
31.748	75.640	-134.165
32.210	75.698	-134.859
32.678	75.731	-135.577
33.154	75.776	-136.303
33.636	75.831	-137.013
34.125	75.877	-137.693
34.621	75.931	-138.359
35.125	75.987	-139.036
35.636	76.042	-139.722
36.154	76.103	-140.391
36.680	76.168	-141.028
37.214	76.232	-141.656
37.755	76.280	-142.301
38.304	76.314	-142.951
38.861	76.348	-143.583
39.427	76.364	-144.212
40.000	76.379	-144.872
40.582	76.420	-145.555
41.172	76.455	-146.211
41.771	76.485	-146.841
42.379	76.524	-147.503
42.995	76.571	-148.205
43.620	76.613	-148.874
44.255	76.650	-149.474
44.898	76.688	-150.076
45.552	76.723	-150.736
46.214	76.757	-151.408
46.886	76.784	-152.038
47.568	76.805	-152.642
48.260	76.827	-153.261
48.962	76.834	-153.891
49.674	76.832	-154.521
50.397	76.852	-155.150
51.130	76.886	-155.773
51.874	76.923	-156.383
52.628	76.954	-156.996
53.394	76.963	-157.617
54.170	76.977	-158.221
54.958	77.007	-158.802
55.758	77.035	-159.377
56.569	77.064	-159.952
57.391	77.096	-160.568
58.226	77.113	-161.256
59.073	77.120	-161.932
59.932	77.134	-162.549
60.804	77.145	-163.168
61.688	77.149	-163.799
62.586	77.160	-164.423
63.496	77.179	-165.043
64.420	77.192	-165.644
65.357	77.197	-166.239
66.307	77.196	-166.863
67.272	77.202	-167.468
68.250	77.214	-168.085
69.243	77.213	-168.668
70.250	77.218	-169.213
71.272	77.205	-169.833
72.309	77.188	-170.263
73.360	77.213	-170.813
74.427	77.226	-171.491
75.510	77.234	-172.039
76.608	77.225	-172.677
77.723	77.218	-173.227
78.853	77.221	-173.922
80.000	77.199	-174.501
81.164	77.212	-175.104
82.344	77.202	-175.787
83.542	77.208	-176.477
84.757	77.190	-177.254
85.990	77.168	-177.838
87.241	77.133	-178.439
88.510	77.116	-179.018
89.797	77.065	-179.630
91.103	77.052	179.818
92.428	77.015	179.224
93.773	76.997	178.878
95.137	77.002	178.403
96.520	76.971	177.838
97.924	76.943	177.302
99.349	76.897	176.752
100.794	76.842	176.048
102.260	76.813	175.740
103.747	76.806	175.214
105.256	76.791	174.926
106.787	76.756	174.412
108.340	76.713	173.731
109.916	76.667	173.122
111.515	76.659	172.609
113.137	76.641	172.329
114.783	76.540	171.957
116.452	76.475	171.021
118.146	76.452	170.754
119.865	75.477	167.871
121.608	76.326	170.579
123.377	76.236	169.506
125.171	76.307	168.900
126.992	76.273	168.416
128.839	76.120	168.277
130.713	76.060	167.464
132.615	75.934	167.178
134.543	76.008	166.816
136.500	75.859	166.846
138.486	75.719	166.549
140.500	75.641	165.665
142.544	75.503	166.021
144.617	75.270	165.945
146.721	75.098	170.128
148.855	74.851	167.373
151.020	75.340	170.224
153.217	75.623	171.489
155.445	75.343	169.761
157.706	77.248	-178.564
160.000	76.112	170.507
162.327	75.971	165.252
164.688	76.417	163.363
167.084	76.219	164.190
169.514	75.888	163.298
171.980	75.845	161.871
174.481	75.782	161.645
177.019	75.617	161.371
179.594	75.447	160.707
182.206	75.382	160.058
184.856	75.380	159.766
187.545	75.325	159.377
190.273	75.277	158.812
193.041	75.258	158.477
195.849	75.195	158.298
198.697	75.113	158.016
201.587	75.044	157.650
204.520	74.976	157.605
207.494	74.946	157.398
210.512	74.884	157.039
213.574	74.810	156.626
216.681	74.742	156.252
219.833	74.636	156.048
223.030	74.570	155.808
226.274	74.520	155.534
229.565	74.457	155.194
232.905	74.379	154.902
236.292	74.313	154.667
239.729	74.237	154.408
243.216	74.169	154.065
246.754	74.073	153.783
250.343	73.971	153.593
253.984	73.872	153.435
257.678	73.800	153.661
261.426	73.773	153.470
265.229	73.699	153.170
269.087	73.608	152.934
273.001	73.507	152.870
276.972	73.436	152.831
281.000	73.344	152.791
285.088	73.275	152.822
289.234	73.255	152.938
293.441	73.222	152.499
297.710	73.125	152.173
302.040	73.036	152.038
306.433	72.965	151.946
310.890	72.901	151.893
315.412	72.823	151.766
320.000	72.704	151.563
324.655	72.623	151.650
329.377	72.549	151.673
334.168	72.467	151.719
339.028	72.393	151.753
343.959	72.301	151.644
348.962	72.204	151.674
354.038	72.142	151.723
359.188	72.074	151.778
364.412	71.987	151.833
369.713	71.894	151.898
375.090	71.806	151.982
380.546	71.731	152.102
386.081	71.652	152.207
391.697	71.576	152.330
397.395	71.499	152.449
403.175	71.413	152.625
409.039	71.347	152.815
414.989	71.258	152.869
421.025	71.166	153.031
427.149	71.080	153.248
433.362	71.029	153.668
439.665	70.962	153.786
446.060	70.883	154.050
452.548	70.825	154.435
459.131	70.826	154.345
465.809	70.699	154.303
472.584	70.614	154.524
479.458	70.526	154.878
486.432	70.486	155.178
493.507	70.358	155.021
500.686	70.269	155.669
507.968	70.215	156.084
515.357	70.151	156.324
522.853	70.082	156.603
530.458	69.958	156.893
538.174	69.921	157.540
546.002	69.838	157.731
553.943	69.774	158.317
562.001	69.719	158.777
570.175	69.659	159.095
578.469	69.574	159.520
586.883	69.543	160.051
595.419	69.415	160.430
